seriola_lalandi_dorsalis ENSSLDG00000012102
seriola_dumerili ENSSDUG00000012576
anabas_testudineus ENSATEG00000012244
mastacembelus_armatus ENSMAMG00000015100
labrus_bergylta ENSLBEG00000026549
scophthalmus_maximus ENSSMAG00000006061
maylandia_zebra ENSMZEG00005026723
astatotilapia_calliptera ENSACLG00000013131
haplochromis_burtoni ENSHBUG00000023601
neolamprologus_brichardi ENSNBRG00000014352
pundamilia_nyererei ENSPNYG00000013173
oreochromis_niloticus ENSONIG00000002796
amphilophus_citrinellus ENSACIG00000018741
amphiprion_ocellaris ENSAOCG00000009068
amphiprion_percula ENSAPEG00000004813
stegastes_partitus ENSSPAG00000002772
acanthochromis_polyacanthus ENSAPOG00000016785
xiphophorus_maculatus ENSXMAG00000015559
gambusia_affinis ENSGAFG00000009978
poecilia_latipinna ENSPLAG00000013413
poecilia_formosa ENSPFOG00000002852
poecilia_reticulata ENSPREG00000011468
poecilia_mexicana ENSPMEG00000009719
fundulus_heteroclitus ENSFHEG00000008678
cyprinodon_variegatus ENSCVAG00000001952
kryptolebias_marmoratus ENSKMAG00000008869
oryzias_latipes_asm223469v1 ENSORLG00015011608
oryzias_latipes_asm223467v1 ENSORLG00000003272
oryzias_latipes_asm223471v1 ENSORLG00020001857
oryzias_melastigma ENSOMEG00000014343
mola_mola ENSMMOG00000018240
cynoglossus_semilaevis ENSCSEG00000013076
monopterus_albus ENSMALG00000006601
gasterosteus_aculeatus ENSGACG00000003970
takifugu_rubripes ENSTRUG00000021680
periophthalmus_magnuspinnatus ENSPMGG00000005880
hippocampus_comes ENSHCOG00000015687
gadus_morhua ENSGMOG00000007072
tetraodon_nigroviridis ENSTNIG00000009188
tetraodon_nigroviridis ENSTNIG00000009189
petromyzon_marinus ENSPMAG00000000635
eptatretus_burgeri ENSEBUG00000006554
scleropages_formosus ENSSFOG00015009142
paramormyrops_kingsleyae ENSPKIG00000018718
astyanax_mexicanus ENSAMXG00000020943
pygocentrus_nattereri ENSPNAG00000024647
ictalurus_punctatus ENSIPUG00000014341
danio_rerio ENSDARG00000104082
esox_lucius ENSELUG00000023061
phascolarctos_cinereus ENSPCIG00000024818
notamacropus_eugenii ENSMEUG00000012645
sarcophilus_harrisii ENSSHAG00000002542
monodelphis_domestica ENSMODG00000004181
urocitellus_parryii ENSUPAG00010018184
spermophilus_dauricus ENSSDAG00000009715
ictidomys_tridecemlineatus ENSSTOG00000026496
marmota_marmota_marmota ENSMMMG00000017500
chinchilla_lanigera ENSCLAG00000010192
octodon_degus ENSODEG00000002685
cavia_porcellus ENSCPOG00000008178
cavia_aperea ENSCAPG00000006655
