homo_sapiens ENSG00000127952
gorilla_gorilla ENSGGOG00000014256
pan_troglodytes ENSPTRG00000019315
pan_troglodytes ENSPTRG00000048461
pan_paniscus ENSPPAG00000036397
pongo_abelii ENSPPYG00000017472
nomascus_leucogenys ENSNLEG00000008461
rhinopithecus_roxellana ENSRROG00000041332
rhinopithecus_bieti ENSRBIG00000034291
colobus_angolensis_palliatus ENSCANG00000040472
piliocolobus_tephrosceles ENSPTEG00000019265
cercocebus_atys ENSCATG00000039290
mandrillus_leucophaeus ENSMLEG00000039977
macaca_fascicularis ENSMFAG00000031276
macaca_mulatta ENSMMUG00000020088
macaca_nemestrina ENSMNEG00000006571
theropithecus_gelada ENSTGEG00000005476
papio_anubis ENSPANG00000008065
chlorocebus_sabaeus ENSCSAG00000018144
saimiri_boliviensis_boliviensis ENSSBOG00000025894
cebus_capucinus_imitator ENSCCAG00000034143
callithrix_jacchus ENSCJAG00000001347
aotus_nancymaae ENSANAG00000025196
carlito_syrichta ENSTSYG00000033978
propithecus_coquereli ENSPCOG00000018221
microcebus_murinus ENSMICG00000003929
prolemur_simus ENSPSMG00000013023
otolemur_garnettii ENSOGAG00000027075
cricetulus_griseus_crigri-picr ENSCGRG00015005196
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012136
cricetulus_griseus_crigri_1.0 ENSCGRG00000006530
mesocricetus_auratus ENSMAUG00000003736
microtus_ochrogaster ENSMOCG00000012960
peromyscus_maniculatus_bairdii ENSPEMG00000018661
mus_spicilegus ENSMSIG00000012359
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028842
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000019178
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024423
rattus_norvegicus ENSRNOG00000023366
meriones_unguiculatus ENSMUGG00000001359
nannospalax_galili ENSNGAG00000022860
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027843
castor_canadensis ENSCCNG00000004939
dipodomys_ordii ENSDORG00000009567
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000018560
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004091
fukomys_damarensis ENSFDAG00000009213
chinchilla_lanigera ENSCLAG00000006420
octodon_degus ENSODEG00000015904
cavia_porcellus ENSCPOG00000006224
cavia_aperea ENSCAPG00000017090
spermophilus_dauricus ENSSDAG00000009906
ictidomys_tridecemlineatus ENSSTOG00000016176
urocitellus_parryii ENSUPAG00010015506
marmota_marmota_marmota ENSMMMG00000010925
oryctolagus_cuniculus ENSOCUG00000027186
ochotona_princeps ENSOPRG00000009093
bos_taurus ENSBTAG00000009461
bos_mutus ENSBMUG00000007689
bison_bison_bison ENSBBBG00000007247
capra_hircus ENSCHIG00000024571
ovis_aries ENSOARG00000013593
sus_scrofa ENSSSCG00000020910
vicugna_pacos ENSVPAG00000004137
myotis_lucifugus ENSMLUG00000017794
ursus_maritimus ENSUMAG00000012669
ursus_americanus ENSUAMG00000011342
ailuropoda_melanoleuca ENSAMEG00000010870
neovison_vison ENSNVIG00000003640
mustela_putorius_furo ENSMPUG00000016004
vulpes_vulpes ENSVVUG00000023770
canis_lupus_familiaris ENSCAFG00000013496
panthera_tigris_altaica ENSPTIG00000002810
panthera_pardus ENSPPRG00000004414
felis_catus ENSFCAG00000028786
pteropus_vampyrus ENSPVAG00000003396
tursiops_truncatus ENSTTRG00000013769
equus_asinus_asinus ENSEASG00005016834
equus_caballus ENSECAG00000019261
canis_lupus_dingo ENSCAFG00020013033
loxodonta_africana ENSLAFG00000000884
echinops_telfairi ENSETEG00000016890
dasypus_novemcinctus ENSDNOG00000014668
choloepus_hoffmanni ENSCHOG00000002094
sarcophilus_harrisii ENSSHAG00000013456
notamacropus_eugenii ENSMEUG00000000234
monodelphis_domestica ENSMODG00000013690
ornithorhynchus_anatinus ENSOANG00000010174
chrysemys_picta_bellii ENSCPBG00000027788
gopherus_agassizii ENSGAGG00000022091
pelodiscus_sinensis ENSPSIG00000016155
sphenodon_punctatus ENSSPUG00000006150
