tetraodon_nigroviridis ENSTNIG00000013336
takifugu_rubripes ENSTRUG00000023887
gasterosteus_aculeatus ENSGACG00000009577
fundulus_heteroclitus ENSFHEG00000020384
cyprinodon_variegatus ENSCVAG00000020266
poecilia_formosa ENSPFOG00000017298
poecilia_mexicana ENSPMEG00000012090
poecilia_latipinna ENSPLAG00000010217
poecilia_reticulata ENSPREG00000012155
xiphophorus_couchianus ENSXCOG00000009178
gambusia_affinis ENSGAFG00000011641
kryptolebias_marmoratus ENSKMAG00000020237
oryzias_latipes_asm223471v1 ENSORLG00020008935
oryzias_latipes_asm223467v1 ENSORLG00000022656
oryzias_latipes_asm223469v1 ENSORLG00015013794
oryzias_melastigma ENSOMEG00000007760
acanthochromis_polyacanthus ENSAPOG00000021961
amphiprion_ocellaris ENSAOCG00000017793
maylandia_zebra ENSMZEG00005027499
xiphophorus_maculatus ENSXMAG00000012712
cynoglossus_semilaevis ENSCSEG00000015563
scophthalmus_maximus ENSSMAG00000020050
labrus_bergylta ENSLBEG00000010324
mola_mola ENSMMOG00000008841
seriola_dumerili ENSSDUG00000015462
seriola_lalandi_dorsalis ENSSLDG00000017487
stegastes_partitus ENSSPAG00000000502
amphiprion_percula ENSAPEG00000007606
haplochromis_burtoni ENSHBUG00000017490
astatotilapia_calliptera ENSACLG00000016655
pundamilia_nyererei ENSPNYG00000004664
neolamprologus_brichardi ENSNBRG00000016969
oreochromis_niloticus ENSONIG00000000470
amphilophus_citrinellus ENSACIG00000004917
hippocampus_comes ENSHCOG00000015878
monopterus_albus ENSMALG00000017765
mastacembelus_armatus ENSMAMG00000018143
anabas_testudineus ENSATEG00000007031
periophthalmus_magnuspinnatus ENSPMGG00000015614
gadus_morhua ENSGMOG00000016672
esox_lucius ENSELUG00000006809
pygocentrus_nattereri ENSPNAG00000025303
astyanax_mexicanus ENSAMXG00000020308
ictalurus_punctatus ENSIPUG00000016768
danio_rerio ENSDARG00000043275
paramormyrops_kingsleyae ENSPKIG00000005102
scleropages_formosus ENSSFOG00015010411
lepisosteus_oculatus ENSLOCG00000007632
gopherus_agassizii ENSGAGG00000001094
chelonoidis_abingdonii ENSCABG00000022786
chrysemys_picta_bellii ENSCPBG00000007107
pelodiscus_sinensis ENSPSIG00000017405
crocodylus_porosus ENSCPRG00005009563
anolis_carolinensis ENSACAG00000008585
pogona_vitticeps ENSPVIG00000012638
notechis_scutatus ENSNSUG00000011250
salvator_merianae ENSSMRG00000005256
sphenodon_punctatus ENSSPUG00000014367
anser_brachyrhynchus ENSABRG00000005930
