gasterosteus_aculeatus ENSGACG00000014043
labrus_bergylta ENSLBEG00000022968
mola_mola ENSMMOG00000019028
takifugu_rubripes ENSTRUG00000013684
scophthalmus_maximus ENSSMAG00000000899
cynoglossus_semilaevis ENSCSEG00000015818
seriola_lalandi_dorsalis ENSSLDG00000014331
seriola_dumerili ENSSDUG00000018067
mastacembelus_armatus ENSMAMG00000011411
monopterus_albus ENSMALG00000015010
anabas_testudineus ENSATEG00000013268
maylandia_zebra ENSMZEG00005020078
pundamilia_nyererei ENSPNYG00000009407
astatotilapia_calliptera ENSACLG00000027296
haplochromis_burtoni ENSHBUG00000020183
neolamprologus_brichardi ENSNBRG00000017254
oreochromis_niloticus ENSONIG00000010038
amphilophus_citrinellus ENSACIG00000004723
xiphophorus_maculatus ENSXMAG00000015177
xiphophorus_couchianus ENSXCOG00000001891
gambusia_affinis ENSGAFG00000009709
poecilia_formosa ENSPFOG00000007112
poecilia_latipinna ENSPLAG00000019469
poecilia_mexicana ENSPMEG00000011502
poecilia_reticulata ENSPREG00000016884
fundulus_heteroclitus ENSFHEG00000018126
cyprinodon_variegatus ENSCVAG00000002094
kryptolebias_marmoratus ENSKMAG00000020727
oryzias_latipes_asm223471v1 ENSORLG00020015093
oryzias_latipes_asm223467v1 ENSORLG00000015882
oryzias_latipes_asm223469v1 ENSORLG00015015077
oryzias_melastigma ENSOMEG00000023011
amphiprion_percula ENSAPEG00000009159
amphiprion_ocellaris ENSAOCG00000001773
acanthochromis_polyacanthus ENSAPOG00000023560
stegastes_partitus ENSSPAG00000014981
hippocampus_comes ENSHCOG00000020388
periophthalmus_magnuspinnatus ENSPMGG00000014912
gadus_morhua ENSGMOG00000006206
esox_lucius ENSELUG00000011649
astyanax_mexicanus ENSAMXG00000034206
pygocentrus_nattereri ENSPNAG00000021150
danio_rerio ENSDARG00000076970
choloepus_hoffmanni ENSCHOG00000004037
