ictidomys_tridecemlineatus ENSSTOG00000032005
chinchilla_lanigera ENSCLAG00000014394
nannospalax_galili ENSNGAG00000005538
chinchilla_lanigera ENSCLAG00000002730
oryctolagus_cuniculus ENSOCUG00000008269
ochotona_princeps ENSOPRG00000007121
pan_troglodytes ENSPTRG00000048757
pongo_abelii ENSPPYG00000008066
papio_anubis ENSPANG00000034254
theropithecus_gelada ENSTGEG00000000655
macaca_mulatta ENSMMUG00000018581
macaca_nemestrina ENSMNEG00000036688
theropithecus_gelada ENSTGEG00000001116
papio_anubis ENSPANG00000023624
macaca_fascicularis ENSMFAG00000000668
chlorocebus_sabaeus ENSCSAG00000007753
cercocebus_atys ENSCATG00000036315
mandrillus_leucophaeus ENSMLEG00000036601
saimiri_boliviensis_boliviensis ENSSBOG00000031348
macaca_mulatta ENSMMUG00000012407
theropithecus_gelada ENSTGEG00000018787
rhinopithecus_bieti ENSRBIG00000028395
pan_paniscus ENSPPAG00000009765
pan_troglodytes ENSPTRG00000008076
gorilla_gorilla ENSGGOG00000016729
otolemur_garnettii ENSOGAG00000026701
otolemur_garnettii ENSOGAG00000034614
propithecus_coquereli ENSPCOG00000004226
piliocolobus_tephrosceles ENSPTEG00000027880
microcebus_murinus ENSMICG00000037016
otolemur_garnettii ENSOGAG00000008321
aotus_nancymaae ENSANAG00000020404
aotus_nancymaae ENSANAG00000028950
papio_anubis ENSPANG00000029911
macaca_nemestrina ENSMNEG00000028935
cercocebus_atys ENSCATG00000034322
rhinopithecus_bieti ENSRBIG00000032444
marmota_marmota_marmota ENSMMMG00000021576
pan_troglodytes ENSPTRG00000002376
pan_paniscus ENSPPAG00000042479
homo_sapiens ENSG00000107890
gorilla_gorilla ENSGGOG00000040000
pongo_abelii ENSPPYG00000002165
nomascus_leucogenys ENSNLEG00000016879
rhinopithecus_roxellana ENSRROG00000030573
rhinopithecus_bieti ENSRBIG00000039749
piliocolobus_tephrosceles ENSPTEG00000020412
cercocebus_atys ENSCATG00000036433
theropithecus_gelada ENSTGEG00000001539
mandrillus_leucophaeus ENSMLEG00000037255
macaca_fascicularis ENSMFAG00000033906
macaca_mulatta ENSMMUG00000016403
macaca_nemestrina ENSMNEG00000034377
papio_anubis ENSPANG00000023022
chlorocebus_sabaeus ENSCSAG00000011974
cebus_capucinus_imitator ENSCCAG00000025255
saimiri_boliviensis_boliviensis ENSSBOG00000023704
aotus_nancymaae ENSANAG00000019949
callithrix_jacchus ENSCJAG00000039548
carlito_syrichta ENSTSYG00000008734
prolemur_simus ENSPSMG00000014275
otolemur_garnettii ENSOGAG00000024982
myotis_lucifugus ENSMLUG00000006905
pteropus_vampyrus ENSPVAG00000015902
panthera_pardus ENSPPRG00000009393
panthera_tigris_altaica ENSPTIG00000011276
tursiops_truncatus ENSTTRG00000014453
loxodonta_africana ENSLAFG00000011946
procavia_capensis ENSPCAG00000015016
dasypus_novemcinctus ENSDNOG00000046801
