mesocricetus_auratus ENSMAUG00000012783
cricetulus_griseus_crigri_1.0 ENSCGRG00000017338
jaculus_jaculus ENSJJAG00000003638
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021127
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020230
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020233
microtus_ochrogaster ENSMOCG00000009420
nannospalax_galili ENSNGAG00000014255
ictidomys_tridecemlineatus ENSSTOG00000005852
cavia_porcellus ENSCPOG00000040584
octodon_degus ENSODEG00000003309
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006875
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100018560
fukomys_damarensis ENSFDAG00000006154
dipodomys_ordii ENSDORG00000002609
