maylandia_zebra ENSMZEG00005011845
haplochromis_burtoni ENSHBUG00000013116
astatotilapia_calliptera ENSACLG00000005863
pundamilia_nyererei ENSPNYG00000010986
oreochromis_niloticus ENSONIG00000015344
neolamprologus_brichardi ENSNBRG00000020955
amphilophus_citrinellus ENSACIG00000007412
fundulus_heteroclitus ENSFHEG00000017149
cyprinodon_variegatus ENSCVAG00000000601
poecilia_formosa ENSPFOG00000008453
poecilia_latipinna ENSPLAG00000006669
poecilia_mexicana ENSPMEG00000015480
poecilia_reticulata ENSPREG00000015578
xiphophorus_maculatus ENSXMAG00000022210
xiphophorus_couchianus ENSXCOG00000019420
gambusia_affinis ENSGAFG00000012794
acanthochromis_polyacanthus ENSAPOG00000019121
mastacembelus_armatus ENSMAMG00000022237
monopterus_albus ENSMALG00000011667
anabas_testudineus ENSATEG00000010473
seriola_dumerili ENSSDUG00000000199
seriola_lalandi_dorsalis ENSSLDG00000000959
cynoglossus_semilaevis ENSCSEG00000018836
gasterosteus_aculeatus ENSGACG00000010376
oryzias_latipes_asm223471v1 ENSORLG00020010373
oryzias_latipes_asm223469v1 ENSORLG00015017581
oryzias_latipes_asm223467v1 ENSORLG00000024754
oryzias_melastigma ENSOMEG00000009446
scophthalmus_maximus ENSSMAG00000014728
seriola_dumerili ENSSDUG00000000266
oryzias_latipes_asm223469v1 ENSORLG00015017617
oryzias_latipes_asm223467v1 ENSORLG00000001636
oryzias_melastigma ENSOMEG00000009473
astatotilapia_calliptera ENSACLG00000005805
monopterus_albus ENSMALG00000011704
amphilophus_citrinellus ENSACIG00000007437
xiphophorus_couchianus ENSXCOG00000019418
xiphophorus_maculatus ENSXMAG00000025306
gambusia_affinis ENSGAFG00000012800
kryptolebias_marmoratus ENSKMAG00000001593
amphiprion_ocellaris ENSAOCG00000016937
amphiprion_percula ENSAPEG00000001504
acanthochromis_polyacanthus ENSAPOG00000019088
stegastes_partitus ENSSPAG00000013084
oryzias_latipes_asm223471v1 ENSORLG00020010383
mola_mola ENSMMOG00000017575
labrus_bergylta ENSLBEG00000023863
cynoglossus_semilaevis ENSCSEG00000018857
anabas_testudineus ENSATEG00000010517
amphiprion_percula ENSAPEG00000001383
amphiprion_ocellaris ENSAOCG00000017081
stegastes_partitus ENSSPAG00000013061
kryptolebias_marmoratus ENSKMAG00000001627
mola_mola ENSMMOG00000017572
labrus_bergylta ENSLBEG00000023836
hippocampus_comes ENSHCOG00000018820
tetraodon_nigroviridis ENSTNIG00000004626
periophthalmus_magnuspinnatus ENSPMGG00000008198
gadus_morhua ENSGMOG00000013111
esox_lucius ENSELUG00000014612
danio_rerio ENSDARG00000102690
ictalurus_punctatus ENSIPUG00000010337
