poecilia_reticulata ENSPREG00000011336
xiphophorus_couchianus ENSXCOG00000014633
periophthalmus_magnuspinnatus ENSPMGG00000021819
seriola_dumerili ENSSDUG00000016296
mastacembelus_armatus ENSMAMG00000014547
pygocentrus_nattereri ENSPNAG00000003595
astyanax_mexicanus ENSAMXG00000035662
danio_rerio ENSDARG00000074071
esox_lucius ENSELUG00000021636
gopherus_agassizii ENSGAGG00000019385
chelonoidis_abingdonii ENSCABG00000013271
chrysemys_picta_bellii ENSCPBG00000009592
junco_hyemalis ENSJHYG00000014583
zonotrichia_albicollis ENSZALG00000010307
lonchura_striata_domestica ENSLSDG00000009769
serinus_canaria ENSSCAG00000011551
manacus_vitellinus ENSMVIG00005011442
melopsittacus_undulatus ENSMUNG00000002623
calidris_pygmaea ENSCPGG00000002818
calidris_pugnax ENSCPUG00000003434
gallus_gallus ENSGALG00000035476
meleagris_gallopavo ENSMGAG00000007155
anas_platyrhynchos_platyrhynchos ENSAPLG00000008639
dromaius_novaehollandiae ENSDNVG00000013007
lepidothrix_coronata ENSLCOG00000007627
parus_major ENSPMJG00000008189
coturnix_japonica ENSCJPG00005005466
anser_brachyrhynchus ENSABRG00000018206
nothoprocta_perdicaria ENSNPEG00000007155
anolis_carolinensis ENSACAG00000016079
pogona_vitticeps ENSPVIG00000008128
salvator_merianae ENSSMRG00000017221
pan_troglodytes ENSPTRG00000017627
pan_paniscus ENSPPAG00000037015
homo_sapiens ENSG00000161010
gorilla_gorilla ENSGGOG00000014962
pongo_abelii ENSPPYG00000016131
nomascus_leucogenys ENSNLEG00000001806
papio_anubis ENSPANG00000002750
cercocebus_atys ENSCATG00000038409
theropithecus_gelada ENSTGEG00000018441
macaca_mulatta ENSMMUG00000021056
macaca_fascicularis ENSMFAG00000040511
macaca_nemestrina ENSMNEG00000032717
mandrillus_leucophaeus ENSMLEG00000041022
chlorocebus_sabaeus ENSCSAG00000008324
rhinopithecus_roxellana ENSRROG00000030855
rhinopithecus_bieti ENSRBIG00000010959
colobus_angolensis_palliatus ENSCANG00000032299
cebus_capucinus_imitator ENSCCAG00000028973
callithrix_jacchus ENSCJAG00000010163
saimiri_boliviensis_boliviensis ENSSBOG00000023818
aotus_nancymaae ENSANAG00000030629
carlito_syrichta ENSTSYG00000037392
prolemur_simus ENSPSMG00000011137
propithecus_coquereli ENSPCOG00000018302
microcebus_murinus ENSMICG00000002549
otolemur_garnettii ENSOGAG00000002152
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000020381
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017128
mus_spicilegus ENSMSIG00000009547
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016283
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017419
rattus_norvegicus ENSRNOG00000003068
meriones_unguiculatus ENSMUGG00000023902
peromyscus_maniculatus_bairdii ENSPEMG00000018478
microtus_ochrogaster ENSMOCG00000014732
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001004426
cricetulus_griseus_crigri-picr ENSCGRG00015026078
cricetulus_griseus_crigri_1.0 ENSCGRG00000013468
mesocricetus_auratus ENSMAUG00000016042
nannospalax_galili ENSNGAG00000019013
jaculus_jaculus ENSJJAG00000010968
castor_canadensis ENSCCNG00000027260
ictidomys_tridecemlineatus ENSSTOG00000013660
urocitellus_parryii ENSUPAG00010013026
marmota_marmota_marmota ENSMMMG00000010477
spermophilus_dauricus ENSSDAG00000019528
oryctolagus_cuniculus ENSOCUG00000015452
ochotona_princeps ENSOPRG00000015567
neovison_vison ENSNVIG00000009983
mustela_putorius_furo ENSMPUG00000000636
ailuropoda_melanoleuca ENSAMEG00000008734
canis_lupus_dingo ENSCAFG00020002630
vulpes_vulpes ENSVVUG00000001675
panthera_pardus ENSPPRG00000004317
panthera_tigris_altaica ENSPTIG00000021321
felis_catus ENSFCAG00000014705
pteropus_vampyrus ENSPVAG00000015503
ursus_maritimus ENSUMAG00000024219
ursus_americanus ENSUAMG00000027258
canis_lupus_familiaris ENSCAFG00000000365
myotis_lucifugus ENSMLUG00000001257
bos_taurus ENSBTAG00000015602
bos_mutus ENSBMUG00000014911
bison_bison_bison ENSBBBG00000013424
capra_hircus ENSCHIG00000017185
ovis_aries ENSOARG00000002543
tursiops_truncatus ENSTTRG00000004444
vicugna_pacos ENSVPAG00000000005
sus_scrofa ENSSSCG00000014015
equus_asinus_asinus ENSEASG00005012662
equus_caballus ENSECAG00000020524
erinaceus_europaeus ENSEEUG00000011931
procavia_capensis ENSPCAG00000002473
echinops_telfairi ENSETEG00000005431
loxodonta_africana ENSLAFG00000028457
dasypus_novemcinctus ENSDNOG00000002478
latimeria_chalumnae ENSLACG00000012135
paramormyrops_kingsleyae ENSPKIG00000015209
scleropages_formosus ENSSFOG00015002861
lepisosteus_oculatus ENSLOCG00000011470
eptatretus_burgeri ENSEBUG00000002466
