bos_mutus ENSBMUG00000021621
bos_taurus ENSBTAG00000039018
ovis_aries ENSOARG00000004069
capra_hircus ENSCHIG00000011343
sus_scrofa ENSSSCG00000034084
myotis_lucifugus ENSMLUG00000012479
equus_asinus_asinus ENSEASG00005009107
ursus_americanus ENSUAMG00000007944
ursus_maritimus ENSUMAG00000008231
mustela_putorius_furo ENSMPUG00000019495
neovison_vison ENSNVIG00000004728
panthera_pardus ENSPPRG00000016482
panthera_tigris_altaica ENSPTIG00000006130
felis_catus ENSFCAG00000009157
erinaceus_europaeus ENSEEUG00000011030
pan_troglodytes ENSPTRG00000008557
pan_paniscus ENSPPAG00000013731
homo_sapiens ENSG00000183024
pongo_abelii ENSPPYG00000007801
otolemur_garnettii ENSOGAG00000009121
loxodonta_africana ENSLAFG00000029430
dasypus_novemcinctus ENSDNOG00000023964
rhinopithecus_bieti ENSRBIG00000036148
monodelphis_domestica ENSMODG00000023079
monodelphis_domestica ENSMODG00000023077
phascolarctos_cinereus ENSPCIG00000013965
sarcophilus_harrisii ENSSHAG00000018631
