notechis_scutatus ENSNSUG00000014227
salvator_merianae ENSSMRG00000002225
poecilia_mexicana ENSPMEG00000011338
poecilia_reticulata ENSPREG00000016986
fundulus_heteroclitus ENSFHEG00000018226
oryzias_latipes_asm223467v1 ENSORLG00000029273
oryzias_latipes_asm223471v1 ENSORLG00020014880
oryzias_latipes_asm223469v1 ENSORLG00015014865
oryzias_melastigma ENSOMEG00000023100
stegastes_partitus ENSSPAG00000014871
cynoglossus_semilaevis ENSCSEG00000015871
mastacembelus_armatus ENSMAMG00000011499
mola_mola ENSMMOG00000006276
