dasypus_novemcinctus ENSDNOG00000000525
choloepus_hoffmanni ENSCHOG00000005282
loxodonta_africana ENSLAFG00000008549
procavia_capensis ENSPCAG00000005314
propithecus_coquereli ENSPCOG00000018202
prolemur_simus ENSPSMG00000013450
microcebus_murinus ENSMICG00000032867
otolemur_garnettii ENSOGAG00000003279
homo_sapiens ENSG00000174125
pan_paniscus ENSPPAG00000018402
pongo_abelii ENSPPYG00000014668
nomascus_leucogenys ENSNLEG00000017057
cercocebus_atys ENSCATG00000018736
theropithecus_gelada ENSTGEG00000000804
mandrillus_leucophaeus ENSMLEG00000027239
papio_anubis ENSPANG00000018956
chlorocebus_sabaeus ENSCSAG00000019692
macaca_nemestrina ENSMNEG00000004407
macaca_fascicularis ENSMFAG00000029809
macaca_mulatta ENSMMUG00000016754
colobus_angolensis_palliatus ENSCANG00000013255
piliocolobus_tephrosceles ENSPTEG00000022529
rhinopithecus_bieti ENSRBIG00000035072
callithrix_jacchus ENSCJAG00000000831
tupaia_belangeri ENSTBEG00000006231
mus_spicilegus ENSMSIG00000010831
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000044827
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027239
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0017021
rattus_norvegicus ENSRNOG00000038722
meriones_unguiculatus ENSMUGG00000010459
cricetulus_griseus_crigri-picr ENSCGRG00015000646
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001012288
cricetulus_griseus_crigri_1.0 ENSCGRG00000014123
mesocricetus_auratus ENSMAUG00000000142
peromyscus_maniculatus_bairdii ENSPEMG00000005760
nannospalax_galili ENSNGAG00000022810
jaculus_jaculus ENSJJAG00000021605
spermophilus_dauricus ENSSDAG00000009077
ictidomys_tridecemlineatus ENSSTOG00000021581
urocitellus_parryii ENSUPAG00010017233
marmota_marmota_marmota ENSMMMG00000017739
cavia_aperea ENSCAPG00000006234
cavia_porcellus ENSCPOG00000012205
chinchilla_lanigera ENSCLAG00000017579
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000019856
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020182
fukomys_damarensis ENSFDAG00000018555
castor_canadensis ENSCCNG00000015555
oryctolagus_cuniculus ENSOCUG00000001824
erinaceus_europaeus ENSEEUG00000015862
sorex_araneus ENSSARG00000004368
equus_caballus ENSECAG00000038588
equus_asinus_asinus ENSEASG00005008131
myotis_lucifugus ENSMLUG00000008417
pteropus_vampyrus ENSPVAG00000016709
bison_bison_bison ENSBBBG00000001122
bos_mutus ENSBMUG00000019266
ovis_aries ENSOARG00000000538
tursiops_truncatus ENSTTRG00000004038
sus_scrofa ENSSSCG00000026583
vicugna_pacos ENSVPAG00000000182
ursus_maritimus ENSUMAG00000000600
ursus_americanus ENSUAMG00000015264
ailuropoda_melanoleuca ENSAMEG00000018486
neovison_vison ENSNVIG00000007556
mustela_putorius_furo ENSMPUG00000020155
canis_lupus_familiaris ENSCAFG00000024010
canis_lupus_dingo ENSCAFG00020000220
vulpes_vulpes ENSVVUG00000014535
notamacropus_eugenii ENSMEUG00000012803
