erinaceus_europaeus ENSEEUG00000014680
jaculus_jaculus ENSJJAG00000019371
cebus_capucinus_imitator ENSCCAG00000032774
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100010824
sarcophilus_harrisii ENSSHAG00000011181
taeniopygia_guttata ENSTGUG00000015224
taeniopygia_guttata ENSTGUG00000008766
nothoprocta_perdicaria ENSNPEG00000008132
paramormyrops_kingsleyae ENSPKIG00000004551
oreochromis_niloticus ENSONIG00000009773
neolamprologus_brichardi ENSNBRG00000012096
meleagris_gallopavo ENSMGAG00000012906
coturnix_japonica ENSCJPG00005010100
parus_major ENSPMJG00000011782
pelodiscus_sinensis ENSPSIG00000004222
anolis_carolinensis ENSACAG00000012191
urocitellus_parryii ENSUPAG00010006452
ictidomys_tridecemlineatus ENSSTOG00000019372
marmota_marmota_marmota ENSMMMG00000004920
fukomys_damarensis ENSFDAG00000000363
castor_canadensis ENSCCNG00000005939
dipodomys_ordii ENSDORG00000003304
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020755
mus_spicilegus ENSMSIG00000006458
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000079022
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019857
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0019863
rattus_norvegicus ENSRNOG00000024824
meriones_unguiculatus ENSMUGG00000008673
peromyscus_maniculatus_bairdii ENSPEMG00000030858
microtus_ochrogaster ENSMOCG00000018105
cricetulus_griseus_crigri-picr ENSCGRG00015002855
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011324
papio_anubis ENSPANG00000007983
chlorocebus_sabaeus ENSCSAG00000009743
macaca_mulatta ENSMMUG00000047643
rhinopithecus_roxellana ENSRROG00000023084
colobus_angolensis_palliatus ENSCANG00000042008
cercocebus_atys ENSCATG00000039350
cebus_capucinus_imitator ENSCCAG00000032083
propithecus_coquereli ENSPCOG00000023237
panthera_pardus ENSPPRG00000002336
vulpes_vulpes ENSVVUG00000019498
sus_scrofa ENSSSCG00000005938
ornithorhynchus_anatinus ENSOANG00000007120
xenopus_tropicalis ENSXETG00000034204
poecilia_formosa ENSPFOG00000012997
poecilia_reticulata ENSPREG00000015205
poecilia_mexicana ENSPMEG00000024250
poecilia_latipinna ENSPLAG00000019475
oryzias_latipes_asm223469v1 ENSORLG00015010277
tetraodon_nigroviridis ENSTNIG00000014018
monopterus_albus ENSMALG00000016321
anabas_testudineus ENSATEG00000010346
seriola_dumerili ENSSDUG00000001913
seriola_lalandi_dorsalis ENSSLDG00000016897
labrus_bergylta ENSLBEG00000004123
amphilophus_citrinellus ENSACIG00000002708
neolamprologus_brichardi ENSNBRG00000000364
amphiprion_ocellaris ENSAOCG00000006276
amphiprion_percula ENSAPEG00000005048
acanthochromis_polyacanthus ENSAPOG00000009271
cynoglossus_semilaevis ENSCSEG00000009290
gadus_morhua ENSGMOG00000012707
esox_lucius ENSELUG00000011806
ictalurus_punctatus ENSIPUG00000005154
astyanax_mexicanus ENSAMXG00000019441
lepisosteus_oculatus ENSLOCG00000003807
poecilia_formosa ENSPFOG00000011323
xenopus_tropicalis ENSXETG00000020448
meleagris_gallopavo ENSMGAG00000014863
gallus_gallus ENSGALG00000016843
latimeria_chalumnae ENSLACG00000009918
poecilia_formosa ENSPFOG00000005431
danio_rerio ENSDARG00000007912
poecilia_reticulata ENSPREG00000002796
