cricetulus_griseus_crigri_1.0 ENSCGRG00000003515
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018466
mesocricetus_auratus ENSMAUG00000009031
peromyscus_maniculatus_bairdii ENSPEMG00000014169
microtus_ochrogaster ENSMOCG00000002386
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000004035
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026462
mus_spicilegus ENSMSIG00000018551
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025512
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026958
rattus_norvegicus ENSRNOG00000018937
nannospalax_galili ENSNGAG00000011772
jaculus_jaculus ENSJJAG00000015165
dipodomys_ordii ENSDORG00000000774
chinchilla_lanigera ENSCLAG00000011395
cavia_aperea ENSCAPG00000016826
octodon_degus ENSODEG00000005236
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013949
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000006348
ochotona_princeps ENSOPRG00000008810
ochotona_princeps ENSOPRG00000008581
oryctolagus_cuniculus ENSOCUG00000009681
oryctolagus_cuniculus ENSOCUG00000009676
carlito_syrichta ENSTSYG00000035687
saimiri_boliviensis_boliviensis ENSSBOG00000025392
rhinopithecus_bieti ENSRBIG00000029744
marmota_marmota_marmota ENSMMMG00000020692
mus_spicilegus ENSMSIG00000018536
spermophilus_dauricus ENSSDAG00000012533
castor_canadensis ENSCCNG00000027532
ochotona_princeps ENSOPRG00000011975
mandrillus_leucophaeus ENSMLEG00000037767
cercocebus_atys ENSCATG00000043260
macaca_fascicularis ENSMFAG00000038873
homo_sapiens ENSG00000213366
cebus_capucinus_imitator ENSCCAG00000019764
callithrix_jacchus ENSCJAG00000043588
saimiri_boliviensis_boliviensis ENSSBOG00000034118
aotus_nancymaae ENSANAG00000021643
pan_troglodytes ENSPTRG00000050199
pan_paniscus ENSPPAG00000024775
piliocolobus_tephrosceles ENSPTEG00000026657
cebus_capucinus_imitator ENSCCAG00000031992
prolemur_simus ENSPSMG00000013166
prolemur_simus ENSPSMG00000013160
propithecus_coquereli ENSPCOG00000022361
rhinopithecus_bieti ENSRBIG00000041342
pan_paniscus ENSPPAG00000030951
pan_troglodytes ENSPTRG00000044359
gorilla_gorilla ENSGGOG00000037631
rhinopithecus_roxellana ENSRROG00000035047
rhinopithecus_bieti ENSRBIG00000026441
colobus_angolensis_palliatus ENSCANG00000029022
macaca_nemestrina ENSMNEG00000037106
macaca_fascicularis ENSMFAG00000000343
cercocebus_atys ENSCATG00000032421
macaca_mulatta ENSMMUG00000016705
mandrillus_leucophaeus ENSMLEG00000028269
papio_anubis ENSPANG00000018532
cebus_capucinus_imitator ENSCCAG00000037609
saimiri_boliviensis_boliviensis ENSSBOG00000024493
callithrix_jacchus ENSCJAG00000038768
aotus_nancymaae ENSANAG00000035971
callithrix_jacchus ENSCJAG00000047561
callithrix_jacchus ENSCJAG00000046296
saimiri_boliviensis_boliviensis ENSSBOG00000030910
cebus_capucinus_imitator ENSCCAG00000034111
aotus_nancymaae ENSANAG00000037980
aotus_nancymaae ENSANAG00000019260
cercocebus_atys ENSCATG00000017268
pan_troglodytes ENSPTRG00000001062
pan_troglodytes ENSPTRG00000048423
gorilla_gorilla ENSGGOG00000036563
homo_sapiens ENSG00000134201
pongo_abelii ENSPPYG00000001062
papio_anubis ENSPANG00000025327
papio_anubis ENSPANG00000015725
macaca_fascicularis ENSMFAG00000042340
rhinopithecus_roxellana ENSRROG00000001138
macaca_mulatta ENSMMUG00000046742
papio_anubis ENSPANG00000034793
colobus_angolensis_palliatus ENSCANG00000019006
piliocolobus_tephrosceles ENSPTEG00000036086
rhinopithecus_bieti ENSRBIG00000039994
piliocolobus_tephrosceles ENSPTEG00000018848
rhinopithecus_roxellana ENSRROG00000039609
colobus_angolensis_palliatus ENSCANG00000041536
papio_anubis ENSPANG00000016206
cercocebus_atys ENSCATG00000038870
mandrillus_leucophaeus ENSMLEG00000000945
rhinopithecus_roxellana ENSRROG00000045652
rhinopithecus_bieti ENSRBIG00000041248
callithrix_jacchus ENSCJAG00000044051
chlorocebus_sabaeus ENSCSAG00000001554
theropithecus_gelada ENSTGEG00000001971
ochotona_princeps ENSOPRG00000019206
ochotona_princeps ENSOPRG00000008609
ochotona_princeps ENSOPRG00000008594
oryctolagus_cuniculus ENSOCUG00000024443
oryctolagus_cuniculus ENSOCUG00000023448
erinaceus_europaeus ENSEEUG00000008971
peromyscus_maniculatus_bairdii ENSPEMG00000001314
microtus_ochrogaster ENSMOCG00000014491
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018897
mesocricetus_auratus ENSMAUG00000013416
microtus_ochrogaster ENSMOCG00000005292
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025515
nannospalax_galili ENSNGAG00000014456
spermophilus_dauricus ENSSDAG00000012542
spermophilus_dauricus ENSSDAG00000016622
ictidomys_tridecemlineatus ENSSTOG00000021958
ovis_aries ENSOARG00000019281
capra_hircus ENSCHIG00000012768
bos_taurus ENSBTAG00000037673
bison_bison_bison ENSBBBG00000001483
loxodonta_africana ENSLAFG00000015451
loxodonta_africana ENSLAFG00000012835
loxodonta_africana ENSLAFG00000031283
loxodonta_africana ENSLAFG00000031693
procavia_capensis ENSPCAG00000016489
dasypus_novemcinctus ENSDNOG00000012997
castor_canadensis ENSCCNG00000027522
apteryx_haastii ENSAHAG00000008223
