nothoprocta_perdicaria ENSNPEG00000008063
anser_brachyrhynchus ENSABRG00000008180
crocodylus_porosus ENSCPRG00005012339
gopherus_agassizii ENSGAGG00000010860
notechis_scutatus ENSNSUG00000015459
anolis_carolinensis ENSACAG00000024762
loxodonta_africana ENSLAFG00000005804
procavia_capensis ENSPCAG00000014641
echinops_telfairi ENSETEG00000012588
propithecus_coquereli ENSPCOG00000023900
prolemur_simus ENSPSMG00000006894
microcebus_murinus ENSMICG00000049104
otolemur_garnettii ENSOGAG00000009815
carlito_syrichta ENSTSYG00000007594
castor_canadensis ENSCCNG00000008575
dipodomys_ordii ENSDORG00000003986
microtus_ochrogaster ENSMOCG00000019893
peromyscus_maniculatus_bairdii ENSPEMG00000014501
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023939
cricetulus_griseus_crigri_1.0 ENSCGRG00000013452
cricetulus_griseus_crigri-picr ENSCGRG00015021602
mesocricetus_auratus ENSMAUG00000019229
mus_spicilegus ENSMSIG00000008368
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021573
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022791
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020677
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016380
rattus_norvegicus ENSRNOG00000001769
meriones_unguiculatus ENSMUGG00000026986
meriones_unguiculatus ENSMUGG00000026969
nannospalax_galili ENSNGAG00000020153
urocitellus_parryii ENSUPAG00010000802
spermophilus_dauricus ENSSDAG00000004223
ictidomys_tridecemlineatus ENSSTOG00000004761
marmota_marmota_marmota ENSMMMG00000009579
tupaia_belangeri ENSTBEG00000011720
ochotona_princeps ENSOPRG00000015951
oryctolagus_cuniculus ENSOCUG00000008686
chinchilla_lanigera ENSCLAG00000012555
cavia_porcellus ENSCPOG00000009702
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100019372
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000017162
fukomys_damarensis ENSFDAG00000018630
homo_sapiens ENSG00000061938
pan_troglodytes ENSPTRG00000049620
gorilla_gorilla ENSGGOG00000008767
pongo_abelii ENSPPYG00000014433
nomascus_leucogenys ENSNLEG00000001316
piliocolobus_tephrosceles ENSPTEG00000027927
colobus_angolensis_palliatus ENSCANG00000027231
rhinopithecus_bieti ENSRBIG00000043455
rhinopithecus_roxellana ENSRROG00000036469
theropithecus_gelada ENSTGEG00000027198
cercocebus_atys ENSCATG00000044992
papio_anubis ENSPANG00000019347
chlorocebus_sabaeus ENSCSAG00000008535
macaca_fascicularis ENSMFAG00000046083
macaca_mulatta ENSMMUG00000000972
macaca_nemestrina ENSMNEG00000041359
callithrix_jacchus ENSCJAG00000016427
saimiri_boliviensis_boliviensis ENSSBOG00000031344
cebus_capucinus_imitator ENSCCAG00000031163
aotus_nancymaae ENSANAG00000034455
erinaceus_europaeus ENSEEUG00000013672
sorex_araneus ENSSARG00000003388
ursus_americanus ENSUAMG00000028411
ursus_maritimus ENSUMAG00000003278
ailuropoda_melanoleuca ENSAMEG00000003981
neovison_vison ENSNVIG00000011909
mustela_putorius_furo ENSMPUG00000004016
canis_lupus_dingo ENSCAFG00020003205
canis_lupus_familiaris ENSCAFG00000012918
vulpes_vulpes ENSVVUG00000008337
panthera_tigris_altaica ENSPTIG00000007770
panthera_pardus ENSPPRG00000003511
felis_catus ENSFCAG00000002658
equus_asinus_asinus ENSEASG00005006745
equus_caballus ENSECAG00000001441
pteropus_vampyrus ENSPVAG00000016005
myotis_lucifugus ENSMLUG00000017526
tursiops_truncatus ENSTTRG00000001972
sus_scrofa ENSSSCG00000011849
bos_taurus ENSBTAG00000021364
bos_mutus ENSBMUG00000021177
bison_bison_bison ENSBBBG00000010889
capra_hircus ENSCHIG00000012496
ovis_aries ENSOARG00000020301
dasypus_novemcinctus ENSDNOG00000035045
phascolarctos_cinereus ENSPCIG00000018703
notamacropus_eugenii ENSMEUG00000016145
sarcophilus_harrisii ENSSHAG00000004095
monodelphis_domestica ENSMODG00000018423
sphenodon_punctatus ENSSPUG00000012429
pygocentrus_nattereri ENSPNAG00000000949
astyanax_mexicanus ENSAMXG00000032730
ictalurus_punctatus ENSIPUG00000016924
danio_rerio ENSDARG00000090646
poecilia_formosa ENSPFOG00000006338
fundulus_heteroclitus ENSFHEG00000003145
oryzias_latipes_asm223467v1 ENSORLG00000013216
oryzias_latipes_asm223471v1 ENSORLG00020003268
oryzias_latipes_asm223469v1 ENSORLG00015003558
oryzias_melastigma ENSOMEG00000001101
mastacembelus_armatus ENSMAMG00000011703
oreochromis_niloticus ENSONIG00000006477
takifugu_rubripes ENSTRUG00000007879
tetraodon_nigroviridis ENSTNIG00000013631
gasterosteus_aculeatus ENSGACG00000005390
cynoglossus_semilaevis ENSCSEG00000018810
gadus_morhua ENSGMOG00000004714
esox_lucius ENSELUG00000013145
pogona_vitticeps ENSPVIG00000010682
notechis_scutatus ENSNSUG00000003309
salvator_merianae ENSSMRG00000003059
pelodiscus_sinensis ENSPSIG00000011526
xenopus_tropicalis ENSXETG00000001175
latimeria_chalumnae ENSLACG00000012162
eptatretus_burgeri ENSEBUG00000007996
ciona_savignyi ENSCSAVG00000002668
ciona_intestinalis ENSCING00000003985
drosophila_melanogaster FBgn0028484
