dasypus_novemcinctus ENSDNOG00000046681
oryctolagus_cuniculus ENSOCUG00000023778
ursus_americanus ENSUAMG00000000767
ailuropoda_melanoleuca ENSAMEG00000001369
ursus_maritimus ENSUMAG00000008086
mustela_putorius_furo ENSMPUG00000014220
neovison_vison ENSNVIG00000009695
canis_lupus_familiaris ENSCAFG00000032631
canis_lupus_dingo ENSCAFG00020021830
vulpes_vulpes ENSVVUG00000010009
panthera_tigris_altaica ENSPTIG00000012355
panthera_pardus ENSPPRG00000009422
felis_catus ENSFCAG00000038384
equus_caballus ENSECAG00000012199
equus_asinus_asinus ENSEASG00005019010
pteropus_vampyrus ENSPVAG00000017473
vicugna_pacos ENSVPAG00000009615
sus_scrofa ENSSSCG00000033918
tursiops_truncatus ENSTTRG00000014009
ovis_aries ENSOARG00000012641
capra_hircus ENSCHIG00000015790
bos_mutus ENSBMUG00000022520
bos_mutus ENSBMUG00000007998
bison_bison_bison ENSBBBG00000022844
bos_mutus ENSBMUG00000022485
bos_taurus ENSBTAG00000000812
bison_bison_bison ENSBBBG00000022838
sorex_araneus ENSSARG00000001912
cricetulus_griseus_crigri_1.0 ENSCGRG00000010482
cricetulus_griseus_crigri-picr ENSCGRG00015010595
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001014069
mesocricetus_auratus ENSMAUG00000007287
microtus_ochrogaster ENSMOCG00000017095
peromyscus_maniculatus_bairdii ENSPEMG00000000132
mus_spicilegus ENSMSIG00000028557
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000034652
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018225
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017379
rattus_norvegicus ENSRNOG00000057058
meriones_unguiculatus ENSMUGG00000022255
nannospalax_galili ENSNGAG00000015799
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018509
spermophilus_dauricus ENSSDAG00000024447
echinops_telfairi ENSETEG00000010554
echinops_telfairi ENSETEG00000001448
loxodonta_africana ENSLAFG00000003208
