oryzias_latipes_asm223469v1 ENSORLG00015002620
oryzias_melastigma ENSOMEG00000002590
scophthalmus_maximus ENSSMAG00000013504
oryzias_melastigma ENSOMEG00000002464
sphenodon_punctatus ENSSPUG00000009073
anolis_carolinensis ENSACAG00000011334
taeniopygia_guttata ENSTGUG00000016613
junco_hyemalis ENSJHYG00000007717
cyanistes_caeruleus ENSCCEG00000015554
parus_major ENSPMJG00000013361
lepidothrix_coronata ENSLCOG00000012241
bos_taurus ENSBTAG00000002695
ursus_maritimus ENSUMAG00000002563
pongo_abelii ENSPPYG00000004932
ochotona_princeps ENSOPRG00000002330
dasypus_novemcinctus ENSDNOG00000043516
echinops_telfairi ENSETEG00000001476
takifugu_rubripes ENSTRUG00000022255
petromyzon_marinus ENSPMAG00000005760
