cricetulus_griseus_crigri_1.0 ENSCGRG00000001612
cricetulus_griseus_crigri-picr ENSCGRG00015027900
mus_spicilegus ENSMSIG00000015878
urocitellus_parryii ENSUPAG00010011839
macaca_nemestrina ENSMNEG00000036332
macaca_fascicularis ENSMFAG00000046211
papio_anubis ENSPANG00000032710
mandrillus_leucophaeus ENSMLEG00000032350
cercocebus_atys ENSCATG00000008381
rhinopithecus_roxellana ENSRROG00000033009
rhinopithecus_bieti ENSRBIG00000032864
propithecus_coquereli ENSPCOG00000024786
neovison_vison ENSNVIG00000024559
ursus_maritimus ENSUMAG00000004063
vulpes_vulpes ENSVVUG00000007953
panthera_tigris_altaica ENSPTIG00000020736
pteropus_vampyrus ENSPVAG00000002076
bison_bison_bison ENSBBBG00000006703
bison_bison_bison ENSBBBG00000020416
sus_scrofa ENSSSCG00000040896
