cavia_porcellus ENSCPOG00000010624
cavia_aperea ENSCAPG00000013505
chinchilla_lanigera ENSCLAG00000014752
octodon_degus ENSODEG00000014641
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000009981
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100008067
fukomys_damarensis ENSFDAG00000006619
spermophilus_dauricus ENSSDAG00000011184
ictidomys_tridecemlineatus ENSSTOG00000020765
urocitellus_parryii ENSUPAG00010019912
marmota_marmota_marmota ENSMMMG00000023849
castor_canadensis ENSCCNG00000028244
dipodomys_ordii ENSDORG00000009881
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031621
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031622
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000053877
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000107023
mus_spicilegus ENSMSIG00000025412
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030507
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030508
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013714
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013715
rattus_norvegicus ENSRNOG00000050282
meriones_unguiculatus ENSMUGG00000012955
cricetulus_griseus_crigri_1.0 ENSCGRG00000007295
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010653
microtus_ochrogaster ENSMOCG00000017751
peromyscus_maniculatus_bairdii ENSPEMG00000023495
nannospalax_galili ENSNGAG00000022162
jaculus_jaculus ENSJJAG00000013124
cricetulus_griseus_crigri-picr ENSCGRG00015024673
mesocricetus_auratus ENSMAUG00000010180
oryctolagus_cuniculus ENSOCUG00000004689
ochotona_princeps ENSOPRG00000012630
tupaia_belangeri ENSTBEG00000012612
homo_sapiens ENSG00000080603
homo_sapiens ENSG00000282034
pan_troglodytes ENSPTRG00000008013
pan_paniscus ENSPPAG00000030397
gorilla_gorilla ENSGGOG00000016687
pongo_abelii ENSPPYG00000007284
nomascus_leucogenys ENSNLEG00000015928
mandrillus_leucophaeus ENSMLEG00000028899
cercocebus_atys ENSCATG00000038407
papio_anubis ENSPANG00000025456
theropithecus_gelada ENSTGEG00000011789
macaca_fascicularis ENSMFAG00000032884
macaca_nemestrina ENSMNEG00000016014
macaca_mulatta ENSMMUG00000010556
chlorocebus_sabaeus ENSCSAG00000005857
colobus_angolensis_palliatus ENSCANG00000030469
piliocolobus_tephrosceles ENSPTEG00000026421
rhinopithecus_bieti ENSRBIG00000035866
rhinopithecus_roxellana ENSRROG00000041306
cebus_capucinus_imitator ENSCCAG00000027984
saimiri_boliviensis_boliviensis ENSSBOG00000020890
callithrix_jacchus ENSCJAG00000002760
aotus_nancymaae ENSANAG00000034104
carlito_syrichta ENSTSYG00000003048
propithecus_coquereli ENSPCOG00000028181
microcebus_murinus ENSMICG00000016399
prolemur_simus ENSPSMG00000007280
otolemur_garnettii ENSOGAG00000034739
pteropus_vampyrus ENSPVAG00000011033
myotis_lucifugus ENSMLUG00000010871
equus_caballus ENSECAG00000013174
equus_asinus_asinus ENSEASG00005012920
bos_mutus ENSBMUG00000021753
bos_taurus ENSBTAG00000013917
bison_bison_bison ENSBBBG00000004024
capra_hircus ENSCHIG00000011921
ovis_aries ENSOARG00000007180
tursiops_truncatus ENSTTRG00000013136
vicugna_pacos ENSVPAG00000010461
sus_scrofa ENSSSCG00000007789
ursus_americanus ENSUAMG00000024242
ursus_maritimus ENSUMAG00000013434
ailuropoda_melanoleuca ENSAMEG00000007778
neovison_vison ENSNVIG00000024974
mustela_putorius_furo ENSMPUG00000012170
canis_lupus_familiaris ENSCAFG00000016640
canis_lupus_dingo ENSCAFG00020017948
vulpes_vulpes ENSVVUG00000026829
panthera_tigris_altaica ENSPTIG00000007926
panthera_pardus ENSPPRG00000001918
felis_catus ENSFCAG00000009805
sorex_araneus ENSSARG00000009480
erinaceus_europaeus ENSEEUG00000006525
choloepus_hoffmanni ENSCHOG00000006536
dasypus_novemcinctus ENSDNOG00000034115
loxodonta_africana ENSLAFG00000016601
procavia_capensis ENSPCAG00000001773
echinops_telfairi ENSETEG00000009790
phascolarctos_cinereus ENSPCIG00000016800
notamacropus_eugenii ENSMEUG00000004725
sarcophilus_harrisii ENSSHAG00000009437
monodelphis_domestica ENSMODG00000016166
seriola_lalandi_dorsalis ENSSLDG00000000077
anolis_carolinensis ENSACAG00000011495
xenopus_tropicalis ENSXETG00000034041
labrus_bergylta ENSLBEG00000009390
cyprinodon_variegatus ENSCVAG00000012049
hippocampus_comes ENSHCOG00000003632
cynoglossus_semilaevis ENSCSEG00000014498
amphilophus_citrinellus ENSACIG00000012023
neolamprologus_brichardi ENSNBRG00000023551
takifugu_rubripes ENSTRUG00000011632
