sus_scrofa ENSSSCG00000037863
equus_caballus ENSECAG00000036830
ursus_americanus ENSUAMG00000014635
ursus_maritimus ENSUMAG00000023144
ailuropoda_melanoleuca ENSAMEG00000019001
canis_lupus_dingo ENSCAFG00020001116
ursus_americanus ENSUAMG00000017359
canis_lupus_dingo ENSCAFG00020019351
vulpes_vulpes ENSVVUG00000005762
canis_lupus_dingo ENSCAFG00020027575
callithrix_jacchus ENSCJAG00000048477
callithrix_jacchus ENSCJAG00000044093
callithrix_jacchus ENSCJAG00000038839
callithrix_jacchus ENSCJAG00000046555
saimiri_boliviensis_boliviensis ENSSBOG00000013816
saimiri_boliviensis_boliviensis ENSSBOG00000005693
cebus_capucinus_imitator ENSCCAG00000023130
macaca_mulatta ENSMMUG00000046304
macaca_fascicularis ENSMFAG00000014381
macaca_nemestrina ENSMNEG00000020096
cercocebus_atys ENSCATG00000031323
mandrillus_leucophaeus ENSMLEG00000027423
theropithecus_gelada ENSTGEG00000012865
piliocolobus_tephrosceles ENSPTEG00000027972
rhinopithecus_roxellana ENSRROG00000024797
rhinopithecus_bieti ENSRBIG00000026954
mandrillus_leucophaeus ENSMLEG00000027098
theropithecus_gelada ENSTGEG00000011473
theropithecus_gelada ENSTGEG00000008817
theropithecus_gelada ENSTGEG00000024663
macaca_nemestrina ENSMNEG00000037861
cercocebus_atys ENSCATG00000019992
papio_anubis ENSPANG00000033427
mandrillus_leucophaeus ENSMLEG00000026917
rhinopithecus_roxellana ENSRROG00000027102
piliocolobus_tephrosceles ENSPTEG00000032660
theropithecus_gelada ENSTGEG00000020041
theropithecus_gelada ENSTGEG00000005068
theropithecus_gelada ENSTGEG00000023595
rhinopithecus_bieti ENSRBIG00000019767
piliocolobus_tephrosceles ENSPTEG00000003631
rhinopithecus_bieti ENSRBIG00000042922
rhinopithecus_roxellana ENSRROG00000031476
rhinopithecus_roxellana ENSRROG00000032094
piliocolobus_tephrosceles ENSPTEG00000030995
theropithecus_gelada ENSTGEG00000028359
macaca_nemestrina ENSMNEG00000040811
papio_anubis ENSPANG00000030624
macaca_fascicularis ENSMFAG00000027897
macaca_fascicularis ENSMFAG00000007262
macaca_mulatta ENSMMUG00000038213
macaca_nemestrina ENSMNEG00000024176
papio_anubis ENSPANG00000032801
macaca_fascicularis ENSMFAG00000030194
macaca_mulatta ENSMMUG00000040497
theropithecus_gelada ENSTGEG00000020331
theropithecus_gelada ENSTGEG00000022707
theropithecus_gelada ENSTGEG00000026241
cercocebus_atys ENSCATG00000043436
rhinopithecus_bieti ENSRBIG00000001348
rhinopithecus_roxellana ENSRROG00000009542
piliocolobus_tephrosceles ENSPTEG00000008184
macaca_nemestrina ENSMNEG00000013689
macaca_mulatta ENSMMUG00000003699
macaca_fascicularis ENSMFAG00000024745
theropithecus_gelada ENSTGEG00000010852
piliocolobus_tephrosceles ENSPTEG00000016581
piliocolobus_tephrosceles ENSPTEG00000013307
macaca_fascicularis ENSMFAG00000030416
pan_paniscus ENSPPAG00000025129
gorilla_gorilla ENSGGOG00000024950
pan_troglodytes ENSPTRG00000021516
pan_paniscus ENSPPAG00000033066
pan_troglodytes ENSPTRG00000044802
pan_paniscus ENSPPAG00000016126
nomascus_leucogenys ENSNLEG00000004281
pan_troglodytes ENSPTRG00000043448
nomascus_leucogenys ENSNLEG00000032376
macaca_mulatta ENSMMUG00000046349
macaca_fascicularis ENSMFAG00000043731
macaca_nemestrina ENSMNEG00000029157
colobus_angolensis_palliatus ENSCANG00000001883
propithecus_coquereli ENSPCOG00000012902
mus_spicilegus ENSMSIG00000014116
mus_spicilegus ENSMSIG00000002114
rattus_norvegicus ENSRNOG00000050529
mus_spicilegus ENSMSIG00000001612
rattus_norvegicus ENSRNOG00000045945
meriones_unguiculatus ENSMUGG00000003359
peromyscus_maniculatus_bairdii ENSPEMG00000026183
peromyscus_maniculatus_bairdii ENSPEMG00000025294
peromyscus_maniculatus_bairdii ENSPEMG00000025768
peromyscus_maniculatus_bairdii ENSPEMG00000028894
cricetulus_griseus_crigri-picr ENSCGRG00015016037
cricetulus_griseus_crigri-picr ENSCGRG00015014537
meriones_unguiculatus ENSMUGG00000025942
meriones_unguiculatus ENSMUGG00000025941
meriones_unguiculatus ENSMUGG00000003674
mus_spicilegus ENSMSIG00000011971
urocitellus_parryii ENSUPAG00010019536
otolemur_garnettii ENSOGAG00000024858
