amphiprion_percula ENSAPEG00000023588
amphiprion_ocellaris ENSAOCG00000000791
stegastes_partitus ENSSPAG00000009202
acanthochromis_polyacanthus ENSAPOG00000007938
maylandia_zebra ENSMZEG00005008404
astatotilapia_calliptera ENSACLG00000026146
haplochromis_burtoni ENSHBUG00000011911
gasterosteus_aculeatus ENSGACG00000017136
mola_mola ENSMMOG00000005343
labrus_bergylta ENSLBEG00000001028
scophthalmus_maximus ENSSMAG00000003531
cynoglossus_semilaevis ENSCSEG00000004118
seriola_dumerili ENSSDUG00000019751
seriola_lalandi_dorsalis ENSSLDG00000006032
anabas_testudineus ENSATEG00000011759
mastacembelus_armatus ENSMAMG00000013159
hippocampus_comes ENSHCOG00000006306
oryzias_latipes_asm223471v1 ENSORLG00020016199
oryzias_latipes_asm223469v1 ENSORLG00015015889
oryzias_latipes_asm223467v1 ENSORLG00000007766
oryzias_melastigma ENSOMEG00000003011
kryptolebias_marmoratus ENSKMAG00000004813
takifugu_rubripes ENSTRUG00000025763
gadus_morhua ENSGMOG00000001425
esox_lucius ENSELUG00000013437
pygocentrus_nattereri ENSPNAG00000020058
danio_rerio ENSDARG00000074776
