poecilia_reticulata ENSPREG00000010603
cyprinodon_variegatus ENSCVAG00000008324
oryzias_latipes_asm223471v1 ENSORLG00020007171
pundamilia_nyererei ENSPNYG00000020763
maylandia_zebra ENSMZEG00005001063
haplochromis_burtoni ENSHBUG00000023867
astatotilapia_calliptera ENSACLG00000008978
amphiprion_ocellaris ENSAOCG00000015914
amphiprion_percula ENSAPEG00000002224
seriola_dumerili ENSSDUG00000002394
mastacembelus_armatus ENSMAMG00000017728
labrus_bergylta ENSLBEG00000006362
hippocampus_comes ENSHCOG00000007180
amphiprion_percula ENSAPEG00000002274
amphiprion_ocellaris ENSAOCG00000015951
seriola_lalandi_dorsalis ENSSLDG00000024685
mola_mola ENSMMOG00000004242
oryzias_latipes_asm223467v1 ENSORLG00000023176
oryzias_latipes_asm223471v1 ENSORLG00020007084
oryzias_latipes_asm223467v1 ENSORLG00000023542
oryzias_latipes_asm223471v1 ENSORLG00020006029
oryzias_latipes_asm223467v1 ENSORLG00000030284
oryzias_melastigma ENSOMEG00000021030
oryzias_melastigma ENSOMEG00000006903
oryzias_melastigma ENSOMEG00000012368
oryzias_melastigma ENSOMEG00000002509
oryzias_melastigma ENSOMEG00000009566
oryzias_melastigma ENSOMEG00000023475
oryzias_melastigma ENSOMEG00000002000
oryzias_melastigma ENSOMEG00000006327
oryzias_melastigma ENSOMEG00000002084
esox_lucius ENSELUG00000014407
pygocentrus_nattereri ENSPNAG00000018051
lepisosteus_oculatus ENSLOCG00000012121
sarcophilus_harrisii ENSSHAG00000015609
notamacropus_eugenii ENSMEUG00000003051
prolemur_simus ENSPSMG00000005219
salvator_merianae ENSSMRG00000017394
eptatretus_burgeri ENSEBUG00000010003
drosophila_melanogaster FBgn0004237
drosophila_melanogaster FBgn0001215
drosophila_melanogaster FBgn0004903
