mastacembelus_armatus ENSMAMG00000020496
monopterus_albus ENSMALG00000002478
seriola_dumerili ENSSDUG00000003748
seriola_lalandi_dorsalis ENSSLDG00000014429
cynoglossus_semilaevis ENSCSEG00000010097
scophthalmus_maximus ENSSMAG00000000144
anabas_testudineus ENSATEG00000014462
amphiprion_percula ENSAPEG00000002324
amphiprion_ocellaris ENSAOCG00000010887
acanthochromis_polyacanthus ENSAPOG00000000031
stegastes_partitus ENSSPAG00000004306
oryzias_latipes_asm223471v1 ENSORLG00020021005
oryzias_latipes_asm223467v1 ENSORLG00000025484
oryzias_latipes_asm223469v1 ENSORLG00015011284
oryzias_melastigma ENSOMEG00000021286
poecilia_reticulata ENSPREG00000017220
poecilia_latipinna ENSPLAG00000008476
xiphophorus_maculatus ENSXMAG00000029308
xiphophorus_couchianus ENSXCOG00000008870
gambusia_affinis ENSGAFG00000011458
astatotilapia_calliptera ENSACLG00000001755
maylandia_zebra ENSMZEG00005002003
pundamilia_nyererei ENSPNYG00000008219
haplochromis_burtoni ENSHBUG00000001712
neolamprologus_brichardi ENSNBRG00000010296
oreochromis_niloticus ENSONIG00000015910
amphilophus_citrinellus ENSACIG00000010152
hippocampus_comes ENSHCOG00000005488
esox_lucius ENSELUG00000024428
pygocentrus_nattereri ENSPNAG00000012099
danio_rerio ENSDARG00000094737
