theropithecus_gelada ENSTGEG00000005276
rhinopithecus_bieti ENSRBIG00000030900
homo_sapiens ENSG00000253537
nomascus_leucogenys ENSNLEG00000033853
pan_paniscus ENSPPAG00000042272
otolemur_garnettii ENSOGAG00000034417
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023099
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000103472
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022189
mus_spicilegus ENSMSIG00000002734
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018923
rattus_norvegicus ENSRNOG00000027290
mesocricetus_auratus ENSMAUG00000018245
nannospalax_galili ENSNGAG00000001146
jaculus_jaculus ENSJJAG00000014080
capra_hircus ENSCHIG00000008955
bos_mutus ENSBMUG00000017321
sus_scrofa ENSSSCG00000040315
ursus_maritimus ENSUMAG00000012682
ursus_americanus ENSUAMG00000000704
mustela_putorius_furo ENSMPUG00000008323
canis_lupus_dingo ENSCAFG00020021125
equus_caballus ENSECAG00000005465
myotis_lucifugus ENSMLUG00000030560
