anabas_testudineus ENSATEG00000018386
mastacembelus_armatus ENSMAMG00000021665
poecilia_formosa ENSPFOG00000024766
poecilia_mexicana ENSPMEG00000021671
gambusia_affinis ENSGAFG00000000682
xiphophorus_maculatus ENSXMAG00000024086
cyprinodon_variegatus ENSCVAG00000016711
fundulus_heteroclitus ENSFHEG00000019789
mola_mola ENSMMOG00000005872
stegastes_partitus ENSSPAG00000005382
amphiprion_percula ENSAPEG00000010542
seriola_lalandi_dorsalis ENSSLDG00000012112
gasterosteus_aculeatus ENSGACG00000014621
gadus_morhua ENSGMOG00000011464
