cyprinodon_variegatus ENSCVAG00000019030
fundulus_heteroclitus ENSFHEG00000008566
poecilia_formosa ENSPFOG00000013280
poecilia_latipinna ENSPLAG00000017155
poecilia_mexicana ENSPMEG00000013829
poecilia_reticulata ENSPREG00000016431
gambusia_affinis ENSGAFG00000009693
xiphophorus_maculatus ENSXMAG00000007933
xiphophorus_couchianus ENSXCOG00000020455
kryptolebias_marmoratus ENSKMAG00000004099
oryzias_latipes_asm223467v1 ENSORLG00000001914
oryzias_latipes_asm223471v1 ENSORLG00020000077
oryzias_latipes_asm223469v1 ENSORLG00015006889
gasterosteus_aculeatus ENSGACG00000014904
labrus_bergylta ENSLBEG00000007267
takifugu_rubripes ENSTRUG00000014483
tetraodon_nigroviridis ENSTNIG00000008321
mola_mola ENSMMOG00000012323
astatotilapia_calliptera ENSACLG00000010308
maylandia_zebra ENSMZEG00005015141
pundamilia_nyererei ENSPNYG00000008964
haplochromis_burtoni ENSHBUG00000004848
neolamprologus_brichardi ENSNBRG00000017006
oreochromis_niloticus ENSONIG00000013436
amphilophus_citrinellus ENSACIG00000024078
cynoglossus_semilaevis ENSCSEG00000003461
monopterus_albus ENSMALG00000019573
mastacembelus_armatus ENSMAMG00000022309
seriola_dumerili ENSSDUG00000011051
seriola_lalandi_dorsalis ENSSLDG00000005371
scophthalmus_maximus ENSSMAG00000010077
amphiprion_percula ENSAPEG00000013486
amphiprion_ocellaris ENSAOCG00000001954
acanthochromis_polyacanthus ENSAPOG00000018557
stegastes_partitus ENSSPAG00000021023
anabas_testudineus ENSATEG00000014880
periophthalmus_magnuspinnatus ENSPMGG00000011177
hippocampus_comes ENSHCOG00000018415
gadus_morhua ENSGMOG00000009154
esox_lucius ENSELUG00000020068
pygocentrus_nattereri ENSPNAG00000013061
astyanax_mexicanus ENSAMXG00000006058
ictalurus_punctatus ENSIPUG00000009450
danio_rerio ENSDARG00000076328
scleropages_formosus ENSSFOG00015011979
paramormyrops_kingsleyae ENSPKIG00000016298
lepisosteus_oculatus ENSLOCG00000002826
anas_platyrhynchos_platyrhynchos ENSAPLG00000009471
anser_brachyrhynchus ENSABRG00000019226
meleagris_gallopavo ENSMGAG00000012186
gallus_gallus ENSGALG00000012059
coturnix_japonica ENSCJPG00005021041
numida_meleagris ENSNMEG00000023146
junco_hyemalis ENSJHYG00000017792
zonotrichia_albicollis ENSZALG00000013849
serinus_canaria ENSSCAG00000011151
taeniopygia_guttata ENSTGUG00000003959
lonchura_striata_domestica ENSLSDG00000001569
ficedula_albicollis ENSFALG00000013529
parus_major ENSPMJG00000019902
cyanistes_caeruleus ENSCCEG00000008607
lepidothrix_coronata ENSLCOG00000014555
manacus_vitellinus ENSMVIG00005000172
calidris_pygmaea ENSCPGG00000008939
calidris_pugnax ENSCPUG00000015903
melopsittacus_undulatus ENSMUNG00000002524
apteryx_owenii ENSAOWG00000004593
apteryx_rowi ENSARWG00000017651
apteryx_haastii ENSAHAG00000019054
dromaius_novaehollandiae ENSDNVG00000016559
nothoprocta_perdicaria ENSNPEG00000012379
crocodylus_porosus ENSCPRG00005002944
chelonoidis_abingdonii ENSCABG00000007355
gopherus_agassizii ENSGAGG00000002283
chrysemys_picta_bellii ENSCPBG00000013894
pelodiscus_sinensis ENSPSIG00000003568
anolis_carolinensis ENSACAG00000009843
pogona_vitticeps ENSPVIG00000005267
notechis_scutatus ENSNSUG00000010224
salvator_merianae ENSSMRG00000014342
sphenodon_punctatus ENSSPUG00000016420
monodelphis_domestica ENSMODG00000018380
sarcophilus_harrisii ENSSHAG00000003561
phascolarctos_cinereus ENSPCIG00000018734
notamacropus_eugenii ENSMEUG00000006055
pteropus_vampyrus ENSPVAG00000007825
myotis_lucifugus ENSMLUG00000005512
ursus_maritimus ENSUMAG00000025135
ursus_americanus ENSUAMG00000017818
ailuropoda_melanoleuca ENSAMEG00000004217
neovison_vison ENSNVIG00000012608
mustela_putorius_furo ENSMPUG00000004142
canis_lupus_familiaris ENSCAFG00000012701
vulpes_vulpes ENSVVUG00000007401
panthera_pardus ENSPPRG00000022907
panthera_tigris_altaica ENSPTIG00000018896
felis_catus ENSFCAG00000012556
ovis_aries ENSOARG00000020246
capra_hircus ENSCHIG00000025905
bos_mutus ENSBMUG00000025290
bos_taurus ENSBTAG00000006471
bison_bison_bison ENSBBBG00000011205
tursiops_truncatus ENSTTRG00000014991
sus_scrofa ENSSSCG00000026753
vicugna_pacos ENSVPAG00000010612
equus_asinus_asinus ENSEASG00005006834
equus_caballus ENSECAG00000020840
carlito_syrichta ENSTSYG00000009980
microcebus_murinus ENSMICG00000049504
propithecus_coquereli ENSPCOG00000014785
prolemur_simus ENSPSMG00000006507
otolemur_garnettii ENSOGAG00000002965
castor_canadensis ENSCCNG00000014865
dipodomys_ordii ENSDORG00000007929
urocitellus_parryii ENSUPAG00010021663
spermophilus_dauricus ENSSDAG00000003038
marmota_marmota_marmota ENSMMMG00000008549
pan_paniscus ENSPPAG00000036774
pan_troglodytes ENSPTRG00000015321
homo_sapiens ENSG00000144909
gorilla_gorilla ENSGGOG00000007521
pongo_abelii ENSPPYG00000013460
nomascus_leucogenys ENSNLEG00000000858
macaca_fascicularis ENSMFAG00000044778
macaca_nemestrina ENSMNEG00000034069
macaca_mulatta ENSMMUG00000017125
mandrillus_leucophaeus ENSMLEG00000028964
theropithecus_gelada ENSTGEG00000009071
papio_anubis ENSPANG00000018912
cercocebus_atys ENSCATG00000039022
chlorocebus_sabaeus ENSCSAG00000007995
piliocolobus_tephrosceles ENSPTEG00000012772
colobus_angolensis_palliatus ENSCANG00000017456
rhinopithecus_roxellana ENSRROG00000038957
rhinopithecus_bieti ENSRBIG00000031485
cebus_capucinus_imitator ENSCCAG00000025908
saimiri_boliviensis_boliviensis ENSSBOG00000020548
callithrix_jacchus ENSCJAG00000006828
aotus_nancymaae ENSANAG00000035158
erinaceus_europaeus ENSEEUG00000013946
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000022807
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021583
mus_spicilegus ENSMSIG00000011262
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020687
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016390
