cavia_porcellus ENSCPOG00000033061
cavia_aperea ENSCAPG00000015163
octodon_degus ENSODEG00000016397
chinchilla_lanigera ENSCLAG00000010732
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000007753
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100011916
fukomys_damarensis ENSFDAG00000007932
spermophilus_dauricus ENSSDAG00000013352
ictidomys_tridecemlineatus ENSSTOG00000006967
marmota_marmota_marmota ENSMMMG00000018199
urocitellus_parryii ENSUPAG00010010275
castor_canadensis ENSCCNG00000001867
dipodomys_ordii ENSDORG00000013870
cricetulus_griseus_crigri_1.0 ENSCGRG00000010655
cricetulus_griseus_crigri-picr ENSCGRG00015019685
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001008
mesocricetus_auratus ENSMAUG00000022042
microtus_ochrogaster ENSMOCG00000022884
peromyscus_maniculatus_bairdii ENSPEMG00000005013
peromyscus_maniculatus_bairdii ENSPEMG00000005223
peromyscus_maniculatus_bairdii ENSPEMG00000012903
peromyscus_maniculatus_bairdii ENSPEMG00000014324
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000048222
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000068479
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025113
mus_spicilegus ENSMSIG00000009337
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025640
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025639
nannospalax_galili ENSNGAG00000001449
jaculus_jaculus ENSJJAG00000014416
oryctolagus_cuniculus ENSOCUG00000010712
ochotona_princeps ENSOPRG00000000984
rhinopithecus_bieti ENSRBIG00000036795
rhinopithecus_roxellana ENSRROG00000038547
colobus_angolensis_palliatus ENSCANG00000037291
macaca_nemestrina ENSMNEG00000039309
macaca_fascicularis ENSMFAG00000041549
mandrillus_leucophaeus ENSMLEG00000034181
papio_anubis ENSPANG00000018103
theropithecus_gelada ENSTGEG00000007702
cercocebus_atys ENSCATG00000029772
chlorocebus_sabaeus ENSCSAG00000009498
pan_troglodytes ENSPTRG00000007006
pan_paniscus ENSPPAG00000035333
homo_sapiens ENSG00000140259
gorilla_gorilla ENSGGOG00000006244
pongo_abelii ENSPPYG00000006426
nomascus_leucogenys ENSNLEG00000028568
cebus_capucinus_imitator ENSCCAG00000036634
saimiri_boliviensis_boliviensis ENSSBOG00000023131
callithrix_jacchus ENSCJAG00000002529
aotus_nancymaae ENSANAG00000029657
carlito_syrichta ENSTSYG00000005286
microcebus_murinus ENSMICG00000010193
propithecus_coquereli ENSPCOG00000027336
prolemur_simus ENSPSMG00000020038
otolemur_garnettii ENSOGAG00000010206
tupaia_belangeri ENSTBEG00000005050
piliocolobus_tephrosceles ENSPTEG00000019122
piliocolobus_tephrosceles ENSPTEG00000009678
vicugna_pacos ENSVPAG00000006297
meriones_unguiculatus ENSMUGG00000019496
ursus_americanus ENSUAMG00000025250
ursus_maritimus ENSUMAG00000008336
ailuropoda_melanoleuca ENSAMEG00000015181
mustela_putorius_furo ENSMPUG00000010639
neovison_vison ENSNVIG00000020925
canis_lupus_familiaris ENSCAFG00000013412
canis_lupus_dingo ENSCAFG00020022307
vulpes_vulpes ENSVVUG00000010651
panthera_tigris_altaica ENSPTIG00000009513
panthera_pardus ENSPPRG00000023055
felis_catus ENSFCAG00000006612
equus_asinus_asinus ENSEASG00005004835
equus_caballus ENSECAG00000013485
pteropus_vampyrus ENSPVAG00000007143
myotis_lucifugus ENSMLUG00000013000
bos_mutus ENSBMUG00000020605
bos_taurus ENSBTAG00000017213
bison_bison_bison ENSBBBG00000009922
ovis_aries ENSOARG00000011234
capra_hircus ENSCHIG00000013829
tursiops_truncatus ENSTTRG00000003728
sus_scrofa ENSSSCG00000040383
procavia_capensis ENSPCAG00000004604
echinops_telfairi ENSETEG00000008444
loxodonta_africana ENSLAFG00000007365
choloepus_hoffmanni ENSCHOG00000006113
dasypus_novemcinctus ENSDNOG00000006125
sorex_araneus ENSSARG00000011302
erinaceus_europaeus ENSEEUG00000015190
notamacropus_eugenii ENSMEUG00000013068
sarcophilus_harrisii ENSSHAG00000001326
sarcophilus_harrisii ENSSHAG00000014628
sarcophilus_harrisii ENSSHAG00000010782
phascolarctos_cinereus ENSPCIG00000018276
monodelphis_domestica ENSMODG00000024041
monodelphis_domestica ENSMODG00000024046
monodelphis_domestica ENSMODG00000017741
ornithorhynchus_anatinus ENSOANG00000032124
gopherus_agassizii ENSGAGG00000011719
chelonoidis_abingdonii ENSCABG00000008946
chrysemys_picta_bellii ENSCPBG00000024449
pelodiscus_sinensis ENSPSIG00000007525
zonotrichia_albicollis ENSZALG00000008389
junco_hyemalis ENSJHYG00000000336
serinus_canaria ENSSCAG00000014392
lonchura_striata_domestica ENSLSDG00000010228
taeniopygia_guttata ENSTGUG00000010162
ficedula_albicollis ENSFALG00000011242
parus_major ENSPMJG00000012029
cyanistes_caeruleus ENSCCEG00000003202
manacus_vitellinus ENSMVIG00005006455
lepidothrix_coronata ENSLCOG00000005925
calidris_pygmaea ENSCPGG00000002254
calidris_pugnax ENSCPUG00000009809
melopsittacus_undulatus ENSMUNG00000007328
gallus_gallus ENSGALG00000028295
coturnix_japonica ENSCJPG00005000359
numida_meleagris ENSNMEG00000009911
apteryx_haastii ENSAHAG00000004910
apteryx_owenii ENSAOWG00000008236
apteryx_rowi ENSARWG00000017561
dromaius_novaehollandiae ENSDNVG00000008435
anas_platyrhynchos_platyrhynchos ENSAPLG00000006483
anser_brachyrhynchus ENSABRG00000004507
nothoprocta_perdicaria ENSNPEG00000009893
pogona_vitticeps ENSPVIG00000025312
anolis_carolinensis ENSACAG00000004763
notechis_scutatus ENSNSUG00000020201
salvator_merianae ENSSMRG00000019451
sphenodon_punctatus ENSSPUG00000010207
xenopus_tropicalis ENSXETG00000015470
latimeria_chalumnae ENSLACG00000014961
astatotilapia_calliptera ENSACLG00000008137
maylandia_zebra ENSMZEG00005015824
haplochromis_burtoni ENSHBUG00000002959
pundamilia_nyererei ENSPNYG00000003659
neolamprologus_brichardi ENSNBRG00000010598
oreochromis_niloticus ENSONIG00000006983
amphilophus_citrinellus ENSACIG00000013708
mola_mola ENSMMOG00000016369
scophthalmus_maximus ENSSMAG00000006029
cynoglossus_semilaevis ENSCSEG00000009521
