panthera_tigris_altaica ENSPTIG00000015384
bison_bison_bison ENSBBBG00000016686
mandrillus_leucophaeus ENSMLEG00000038415
mandrillus_leucophaeus ENSMLEG00000039539
macaca_nemestrina ENSMNEG00000034759
rhinopithecus_bieti ENSRBIG00000029440
callithrix_jacchus ENSCJAG00000042356
chinchilla_lanigera ENSCLAG00000007618
octodon_degus ENSODEG00000017692
cavia_aperea ENSCAPG00000017601
cavia_porcellus ENSCPOG00000025944
apteryx_owenii ENSAOWG00000019290
anas_platyrhynchos_platyrhynchos ENSAPLG00000028109
crocodylus_porosus ENSCPRG00005007629
manacus_vitellinus ENSMVIG00005008970
salvator_merianae ENSSMRG00000010757
notechis_scutatus ENSNSUG00000009023
pogona_vitticeps ENSPVIG00000010826
oryzias_latipes_asm223469v1 ENSORLG00015001535
oryzias_latipes_asm223471v1 ENSORLG00020016769
poecilia_mexicana ENSPMEG00000010306
poecilia_mexicana ENSPMEG00000023966
poecilia_latipinna ENSPLAG00000012719
poecilia_latipinna ENSPLAG00000015254
poecilia_reticulata ENSPREG00000002578
haplochromis_burtoni ENSHBUG00000001161
pundamilia_nyererei ENSPNYG00000013677
haplochromis_burtoni ENSHBUG00000004567
pygocentrus_nattereri ENSPNAG00000024029
