homo_sapiens ENSG00000146858
gorilla_gorilla ENSGGOG00000017143
pan_paniscus ENSPPAG00000028178
pan_troglodytes ENSPTRG00000019749
pongo_abelii ENSPPYG00000018043
nomascus_leucogenys ENSNLEG00000031167
piliocolobus_tephrosceles ENSPTEG00000036743
colobus_angolensis_palliatus ENSCANG00000000005
rhinopithecus_roxellana ENSRROG00000036894
rhinopithecus_bieti ENSRBIG00000032569
cercocebus_atys ENSCATG00000034808
chlorocebus_sabaeus ENSCSAG00000008642
macaca_mulatta ENSMMUG00000006549
macaca_fascicularis ENSMFAG00000040119
macaca_nemestrina ENSMNEG00000038394
theropithecus_gelada ENSTGEG00000026218
papio_anubis ENSPANG00000017282
mandrillus_leucophaeus ENSMLEG00000037541
callithrix_jacchus ENSCJAG00000013066
saimiri_boliviensis_boliviensis ENSSBOG00000019747
cebus_capucinus_imitator ENSCCAG00000029946
aotus_nancymaae ENSANAG00000023860
carlito_syrichta ENSTSYG00000006545
propithecus_coquereli ENSPCOG00000018164
prolemur_simus ENSPSMG00000019653
microcebus_murinus ENSMICG00000037636
otolemur_garnettii ENSOGAG00000007169
tupaia_belangeri ENSTBEG00000001596
chinchilla_lanigera ENSCLAG00000001371
octodon_degus ENSODEG00000015469
cavia_porcellus ENSCPOG00000035436
fukomys_damarensis ENSFDAG00000014328
dipodomys_ordii ENSDORG00000013237
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029231
mus_spicilegus ENSMSIG00000029632
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000047749
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028232
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021989
rattus_norvegicus ENSRNOG00000013944
meriones_unguiculatus ENSMUGG00000026732
cricetulus_griseus_crigri-picr ENSCGRG00015027670
cricetulus_griseus_crigri_1.0 ENSCGRG00000010318
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013523
mesocricetus_auratus ENSMAUG00000013475
peromyscus_maniculatus_bairdii ENSPEMG00000017777
microtus_ochrogaster ENSMOCG00000014324
nannospalax_galili ENSNGAG00000001243
ictidomys_tridecemlineatus ENSSTOG00000005656
urocitellus_parryii ENSUPAG00010018465
marmota_marmota_marmota ENSMMMG00000011937
ochotona_princeps ENSOPRG00000008825
equus_caballus ENSECAG00000017385
equus_asinus_asinus ENSEASG00005010306
pteropus_vampyrus ENSPVAG00000017362
ovis_aries ENSOARG00000010842
capra_hircus ENSCHIG00000012540
bos_taurus ENSBTAG00000014250
bos_mutus ENSBMUG00000017358
bison_bison_bison ENSBBBG00000016458
tursiops_truncatus ENSTTRG00000006048
vicugna_pacos ENSVPAG00000007461
sus_scrofa ENSSSCG00000032786
ursus_americanus ENSUAMG00000015110
ailuropoda_melanoleuca ENSAMEG00000017938
neovison_vison ENSNVIG00000022006
mustela_putorius_furo ENSMPUG00000003824
canis_lupus_dingo ENSCAFG00020022342
canis_lupus_familiaris ENSCAFG00000025152
vulpes_vulpes ENSVVUG00000002654
panthera_pardus ENSPPRG00000024549
panthera_tigris_altaica ENSPTIG00000009269
felis_catus ENSFCAG00000044828
dasypus_novemcinctus ENSDNOG00000039619
choloepus_hoffmanni ENSCHOG00000012409
procavia_capensis ENSPCAG00000013211
loxodonta_africana ENSLAFG00000013947
notamacropus_eugenii ENSMEUG00000001385
monodelphis_domestica ENSMODG00000024430
