phascolarctos_cinereus ENSPCIG00000005873
notamacropus_eugenii ENSMEUG00000008871
sarcophilus_harrisii ENSSHAG00000013204
ornithorhynchus_anatinus ENSOANG00000011757
apteryx_haastii ENSAHAG00000019089
apteryx_rowi ENSARWG00000008223
apteryx_owenii ENSAOWG00000012778
dromaius_novaehollandiae ENSDNVG00000017874
nothoprocta_perdicaria ENSNPEG00000000507
anas_platyrhynchos_platyrhynchos ENSAPLG00000011291
anser_brachyrhynchus ENSABRG00000017878
meleagris_gallopavo ENSMGAG00000003781
coturnix_japonica ENSCJPG00005004476
gallus_gallus ENSGALG00000005788
numida_meleagris ENSNMEG00000015299
calidris_pugnax ENSCPUG00000013584
calidris_pygmaea ENSCPGG00000013511
melopsittacus_undulatus ENSMUNG00000008736
taeniopygia_guttata ENSTGUG00000006134
lonchura_striata_domestica ENSLSDG00000000921
serinus_canaria ENSSCAG00000007894
cyanistes_caeruleus ENSCCEG00000020572
parus_major ENSPMJG00000016510
ficedula_albicollis ENSFALG00000003423
zonotrichia_albicollis ENSZALG00000005284
junco_hyemalis ENSJHYG00000017274
lonchura_striata_domestica ENSLSDG00000008859
lepidothrix_coronata ENSLCOG00000006703
manacus_vitellinus ENSMVIG00005014654
crocodylus_porosus ENSCPRG00005009604
gopherus_agassizii ENSGAGG00000004609
chelonoidis_abingdonii ENSCABG00000020968
chrysemys_picta_bellii ENSCPBG00000002320
pelodiscus_sinensis ENSPSIG00000008274
pogona_vitticeps ENSPVIG00000013686
anolis_carolinensis ENSACAG00000001192
salvator_merianae ENSSMRG00000000645
notechis_scutatus ENSNSUG00000013612
ursus_americanus ENSUAMG00000008202
ursus_maritimus ENSUMAG00000010519
ailuropoda_melanoleuca ENSAMEG00000016513
neovison_vison ENSNVIG00000018158
mustela_putorius_furo ENSMPUG00000000175
canis_lupus_dingo ENSCAFG00020025110
canis_lupus_familiaris ENSCAFG00000012990
panthera_pardus ENSPPRG00000018957
panthera_tigris_altaica ENSPTIG00000018255
felis_catus ENSFCAG00000002801
equus_caballus ENSECAG00000008144
equus_asinus_asinus ENSEASG00005008264
pteropus_vampyrus ENSPVAG00000011864
myotis_lucifugus ENSMLUG00000007123
bos_taurus ENSBTAG00000013110
bos_mutus ENSBMUG00000011602
