xiphophorus_couchianus ENSXCOG00000019009
xiphophorus_maculatus ENSXMAG00000027739
poecilia_latipinna ENSPLAG00000008228
gambusia_affinis ENSGAFG00000021319
oryzias_latipes_asm223469v1 ENSORLG00015010652
oryzias_latipes_asm223471v1 ENSORLG00020016182
oryzias_melastigma ENSOMEG00000008042
amphilophus_citrinellus ENSACIG00000017344
pundamilia_nyererei ENSPNYG00000012507
labrus_bergylta ENSLBEG00000012766
labrus_bergylta ENSLBEG00000008585
mola_mola ENSMMOG00000019948
scophthalmus_maximus ENSSMAG00000018225
mastacembelus_armatus ENSMAMG00000014463
periophthalmus_magnuspinnatus ENSPMGG00000009760
astyanax_mexicanus ENSAMXG00000031793
pygocentrus_nattereri ENSPNAG00000007982
ictalurus_punctatus ENSIPUG00000011846
