panthera_tigris_altaica ENSPTIG00000013989
vicugna_pacos ENSVPAG00000011666
pan_paniscus ENSPPAG00000040232
pan_troglodytes ENSPTRG00000013011
homo_sapiens ENSG00000185404
gorilla_gorilla ENSGGOG00000002900
pongo_abelii ENSPPYG00000013254
nomascus_leucogenys ENSNLEG00000034555
theropithecus_gelada ENSTGEG00000017680
papio_anubis ENSPANG00000031809
mandrillus_leucophaeus ENSMLEG00000042246
cercocebus_atys ENSCATG00000035966
macaca_nemestrina ENSMNEG00000042559
chlorocebus_sabaeus ENSCSAG00000006889
piliocolobus_tephrosceles ENSPTEG00000039800
colobus_angolensis_palliatus ENSCANG00000032822
rhinopithecus_roxellana ENSRROG00000029934
rhinopithecus_bieti ENSRBIG00000036610
cebus_capucinus_imitator ENSCCAG00000027859
aotus_nancymaae ENSANAG00000025880
otolemur_garnettii ENSOGAG00000029679
prolemur_simus ENSPSMG00000002196
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014348
choloepus_hoffmanni ENSCHOG00000008416
