astatotilapia_calliptera ENSACLG00000002442
maylandia_zebra ENSMZEG00005022808
oreochromis_niloticus ENSONIG00000005124
amphilophus_citrinellus ENSACIG00000009740
amphiprion_percula ENSAPEG00000003601
amphiprion_ocellaris ENSAOCG00000003286
acanthochromis_polyacanthus ENSAPOG00000010944
gambusia_affinis ENSGAFG00000006962
xiphophorus_maculatus ENSXMAG00000002627
poecilia_latipinna ENSPLAG00000022207
poecilia_formosa ENSPFOG00000003764
fundulus_heteroclitus ENSFHEG00000000458
kryptolebias_marmoratus ENSKMAG00000016837
mola_mola ENSMMOG00000009657
takifugu_rubripes ENSTRUG00000009319
gasterosteus_aculeatus ENSGACG00000011497
labrus_bergylta ENSLBEG00000004752
scophthalmus_maximus ENSSMAG00000001351
stegastes_partitus ENSSPAG00000014104
mastacembelus_armatus ENSMAMG00000019501
anabas_testudineus ENSATEG00000002756
seriola_dumerili ENSSDUG00000007121
seriola_lalandi_dorsalis ENSSLDG00000020044
oryzias_latipes_asm223467v1 ENSORLG00000010647
oryzias_latipes_asm223471v1 ENSORLG00020004500
oryzias_latipes_asm223469v1 ENSORLG00015022049
oryzias_melastigma ENSOMEG00000001352
periophthalmus_magnuspinnatus ENSPMGG00000019041
hippocampus_comes ENSHCOG00000005225
esox_lucius ENSELUG00000013412
pygocentrus_nattereri ENSPNAG00000003438
astyanax_mexicanus ENSAMXG00000042798
ictalurus_punctatus ENSIPUG00000024487
scleropages_formosus ENSSFOG00015020500
haplochromis_burtoni ENSHBUG00000019093
neolamprologus_brichardi ENSNBRG00000022174
cynoglossus_semilaevis ENSCSEG00000013577
gadus_morhua ENSGMOG00000015683
paramormyrops_kingsleyae ENSPKIG00000006104
phascolarctos_cinereus ENSPCIG00000017923
notamacropus_eugenii ENSMEUG00000011934
sarcophilus_harrisii ENSSHAG00000017842
monodelphis_domestica ENSMODG00000017011
ornithorhynchus_anatinus ENSOANG00000004933
anolis_carolinensis ENSACAG00000013752
pogona_vitticeps ENSPVIG00000012499
notechis_scutatus ENSNSUG00000018715
salvator_merianae ENSSMRG00000019471
sphenodon_punctatus ENSSPUG00000018502
ficedula_albicollis ENSFALG00000005905
parus_major ENSPMJG00000007104
taeniopygia_guttata ENSTGUG00000007096
lonchura_striata_domestica ENSLSDG00000006498
serinus_canaria ENSSCAG00000014465
lepidothrix_coronata ENSLCOG00000013918
cyanistes_caeruleus ENSCCEG00000021647
manacus_vitellinus ENSMVIG00005005018
zonotrichia_albicollis ENSZALG00000003640
junco_hyemalis ENSJHYG00000013189
melopsittacus_undulatus ENSMUNG00000002394
melopsittacus_undulatus ENSMUNG00000004175
calidris_pygmaea ENSCPGG00000002999
calidris_pugnax ENSCPUG00000006689
anser_brachyrhynchus ENSABRG00000007211
anas_platyrhynchos_platyrhynchos ENSAPLG00000014398
meleagris_gallopavo ENSMGAG00000006829
coturnix_japonica ENSCJPG00005006255
gallus_gallus ENSGALG00000006101
numida_meleagris ENSNMEG00000016110
apteryx_owenii ENSAOWG00000001639
apteryx_haastii ENSAHAG00000010310
apteryx_rowi ENSARWG00000009740
dromaius_novaehollandiae ENSDNVG00000007543
nothoprocta_perdicaria ENSNPEG00000008449
crocodylus_porosus ENSCPRG00005006295
gopherus_agassizii ENSGAGG00000019506
chelonoidis_abingdonii ENSCABG00000000660
chrysemys_picta_bellii ENSCPBG00000014731
pelodiscus_sinensis ENSPSIG00000014774
meriones_unguiculatus ENSMUGG00000002889
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026253
peromyscus_maniculatus_bairdii ENSPEMG00000027815
nannospalax_galili ENSNGAG00000014373
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000038671
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025731
mus_spicilegus ENSMSIG00000012801
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024805
rattus_norvegicus ENSRNOG00000013992
meriones_unguiculatus ENSMUGG00000004842
mesocricetus_auratus ENSMAUG00000006741
mesocricetus_auratus ENSMAUG00000004621
cricetulus_griseus_crigri_1.0 ENSCGRG00000014284
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001706
microtus_ochrogaster ENSMOCG00000003005
dipodomys_ordii ENSDORG00000013488
urocitellus_parryii ENSUPAG00010003811
marmota_marmota_marmota ENSMMMG00000001220
spermophilus_dauricus ENSSDAG00000007704
ictidomys_tridecemlineatus ENSSTOG00000011978
castor_canadensis ENSCCNG00000030533
jaculus_jaculus ENSJJAG00000013827
cavia_porcellus ENSCPOG00000038193
chinchilla_lanigera ENSCLAG00000004200
octodon_degus ENSODEG00000006629
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000012078
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004198
fukomys_damarensis ENSFDAG00000002842
ochotona_princeps ENSOPRG00000003002
carlito_syrichta ENSTSYG00000033120
otolemur_garnettii ENSOGAG00000026673
prolemur_simus ENSPSMG00000001220
microcebus_murinus ENSMICG00000008840
propithecus_coquereli ENSPCOG00000024163
pan_troglodytes ENSPTRG00000013747
pan_troglodytes ENSPTRG00000044739
pan_paniscus ENSPPAG00000023993
homo_sapiens ENSG00000101246
gorilla_gorilla ENSGGOG00000004799
pongo_abelii ENSPPYG00000011245
nomascus_leucogenys ENSNLEG00000010131
rhinopithecus_roxellana ENSRROG00000010121
rhinopithecus_bieti ENSRBIG00000044065
piliocolobus_tephrosceles ENSPTEG00000005936
mandrillus_leucophaeus ENSMLEG00000034228
cercocebus_atys ENSCATG00000039104
macaca_fascicularis ENSMFAG00000001321
macaca_nemestrina ENSMNEG00000036325
macaca_mulatta ENSMMUG00000000169
papio_anubis ENSPANG00000025599
theropithecus_gelada ENSTGEG00000008512
chlorocebus_sabaeus ENSCSAG00000016609
cebus_capucinus_imitator ENSCCAG00000022484
saimiri_boliviensis_boliviensis ENSSBOG00000021962
callithrix_jacchus ENSCJAG00000010382
aotus_nancymaae ENSANAG00000036343
capra_hircus ENSCHIG00000010007
ovis_aries ENSOARG00000010188
bos_mutus ENSBMUG00000017421
bos_taurus ENSBTAG00000007497
bison_bison_bison ENSBBBG00000018329
canis_lupus_dingo ENSCAFG00020001953
canis_lupus_familiaris ENSCAFG00000030493
pteropus_vampyrus ENSPVAG00000013488
sus_scrofa ENSSSCG00000035304
tursiops_truncatus ENSTTRG00000012222
equus_caballus ENSECAG00000019636
equus_asinus_asinus ENSEASG00005023160
myotis_lucifugus ENSMLUG00000005259
neovison_vison ENSNVIG00000019161
mustela_putorius_furo ENSMPUG00000008452
panthera_pardus ENSPPRG00000024309
felis_catus ENSFCAG00000044777
panthera_tigris_altaica ENSPTIG00000021097
ailuropoda_melanoleuca ENSAMEG00000001741
cavia_aperea ENSCAPG00000011731
cricetulus_griseus_crigri-picr ENSCGRG00015017496
colobus_angolensis_palliatus ENSCANG00000009124
ursus_americanus ENSUAMG00000009303
ursus_maritimus ENSUMAG00000022036
vulpes_vulpes ENSVVUG00000015040
erinaceus_europaeus ENSEEUG00000005894
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001018796
cricetulus_griseus_crigri_1.0 ENSCGRG00000012276
cricetulus_griseus_crigri-picr ENSCGRG00015009175
microtus_ochrogaster ENSMOCG00000011608
loxodonta_africana ENSLAFG00000010685
procavia_capensis ENSPCAG00000001846
echinops_telfairi ENSETEG00000002171
dasypus_novemcinctus ENSDNOG00000001531
dasypus_novemcinctus ENSDNOG00000045912
dasypus_novemcinctus ENSDNOG00000034430
poecilia_mexicana ENSPMEG00000013451
poecilia_reticulata ENSPREG00000019667
xiphophorus_couchianus ENSXCOG00000009364
pundamilia_nyererei ENSPNYG00000023704
haplochromis_burtoni ENSHBUG00000006541
neolamprologus_brichardi ENSNBRG00000019595
tetraodon_nigroviridis ENSTNIG00000005278
monopterus_albus ENSMALG00000015904
danio_rerio ENSDARG00000057857
xenopus_tropicalis ENSXETG00000022246
lepisosteus_oculatus ENSLOCG00000001677
latimeria_chalumnae ENSLACG00000001971
eptatretus_burgeri ENSEBUG00000013459
ciona_intestinalis ENSCING00000024645
ciona_savignyi ENSCSAVG00000003938
drosophila_melanogaster FBgn0030088
caenorhabditis_elegans_strain_n2 WBGene00021841
drosophila_melanogaster FBgn0038915
saccharomyces_cerevisiae_strain_s288c YPL051W
