anolis_carolinensis ENSACAG00000007569
pogona_vitticeps ENSPVIG00000012537
notechis_scutatus ENSNSUG00000018490
salvator_merianae ENSSMRG00000004958
sphenodon_punctatus ENSSPUG00000007110
gopherus_agassizii ENSGAGG00000015733
chelonoidis_abingdonii ENSCABG00000019891
chrysemys_picta_bellii ENSCPBG00000014411
pelodiscus_sinensis ENSPSIG00000005312
calidris_pugnax ENSCPUG00000016793
calidris_pygmaea ENSCPGG00000004897
lonchura_striata_domestica ENSLSDG00000008609
taeniopygia_guttata ENSTGUG00000011407
serinus_canaria ENSSCAG00000008630
junco_hyemalis ENSJHYG00000000437
zonotrichia_albicollis ENSZALG00000016690
ficedula_albicollis ENSFALG00000005284
cyanistes_caeruleus ENSCCEG00000016405
parus_major ENSPMJG00000007130
lepidothrix_coronata ENSLCOG00000014821
manacus_vitellinus ENSMVIG00005016485
melopsittacus_undulatus ENSMUNG00000002834
anser_brachyrhynchus ENSABRG00000019353
anas_platyrhynchos_platyrhynchos ENSAPLG00000009437
meleagris_gallopavo ENSMGAG00000010960
coturnix_japonica ENSCJPG00005018747
gallus_gallus ENSGALG00000010411
numida_meleagris ENSNMEG00000010607
apteryx_owenii ENSAOWG00000013766
apteryx_haastii ENSAHAG00000014887
apteryx_rowi ENSARWG00000002541
dromaius_novaehollandiae ENSDNVG00000007753
nothoprocta_perdicaria ENSNPEG00000000687
crocodylus_porosus ENSCPRG00005006778
phascolarctos_cinereus ENSPCIG00000010348
phascolarctos_cinereus ENSPCIG00000012062
notamacropus_eugenii ENSMEUG00000013513
monodelphis_domestica ENSMODG00000021268
sarcophilus_harrisii ENSSHAG00000018871
sus_scrofa ENSSSCG00000027459
tursiops_truncatus ENSTTRG00000003454
bos_taurus ENSBTAG00000011147
bison_bison_bison ENSBBBG00000004437
capra_hircus ENSCHIG00000007199
ovis_aries ENSOARG00000004684
vicugna_pacos ENSVPAG00000009020
equus_asinus_asinus ENSEASG00005021404
equus_caballus ENSECAG00000023263
ailuropoda_melanoleuca ENSAMEG00000010433
ursus_maritimus ENSUMAG00000012297
canis_lupus_dingo ENSCAFG00020004413
canis_lupus_familiaris ENSCAFG00000008370
mustela_putorius_furo ENSMPUG00000002565
panthera_tigris_altaica ENSPTIG00000007326
panthera_pardus ENSPPRG00000023096
felis_catus ENSFCAG00000010281
