bos_mutus ENSBMUG00000005816
bos_taurus ENSBTAG00000001228
capra_hircus ENSCHIG00000020797
tursiops_truncatus ENSTTRG00000012454
sus_scrofa ENSSSCG00000012845
equus_caballus ENSECAG00000006988
equus_asinus_asinus ENSEASG00005007434
ursus_americanus ENSUAMG00000022161
ursus_maritimus ENSUMAG00000005760
ailuropoda_melanoleuca ENSAMEG00000019256
neovison_vison ENSNVIG00000006156
canis_lupus_dingo ENSCAFG00020006869
canis_lupus_familiaris ENSCAFG00000029494
vulpes_vulpes ENSVVUG00000017269
panthera_pardus ENSPPRG00000020857
panthera_tigris_altaica ENSPTIG00000005363
felis_catus ENSFCAG00000039274
pteropus_vampyrus ENSPVAG00000004464
castor_canadensis ENSCCNG00000011211
dipodomys_ordii ENSDORG00000016455
rattus_norvegicus ENSRNOG00000045680
rattus_norvegicus ENSRNOG00000018448
mus_spicilegus ENSMSIG00000027463
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031806
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000060240
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030695
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013894
meriones_unguiculatus ENSMUGG00000012541
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001004061
cricetulus_griseus_crigri-picr ENSCGRG00015027143
cricetulus_griseus_crigri_1.0 ENSCGRG00000018765
mesocricetus_auratus ENSMAUG00000020875
microtus_ochrogaster ENSMOCG00000011559
peromyscus_maniculatus_bairdii ENSPEMG00000025440
nannospalax_galili ENSNGAG00000014798
nannospalax_galili ENSNGAG00000019415
jaculus_jaculus ENSJJAG00000001067
chinchilla_lanigera ENSCLAG00000001657
octodon_degus ENSODEG00000020414
cavia_aperea ENSCAPG00000011104
cavia_porcellus ENSCPOG00000038749
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100020372
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005270
fukomys_damarensis ENSFDAG00000005636
urocitellus_parryii ENSUPAG00010022874
ictidomys_tridecemlineatus ENSSTOG00000016229
marmota_marmota_marmota ENSMMMG00000005941
tupaia_belangeri ENSTBEG00000013207
prolemur_simus ENSPSMG00000008214
otolemur_garnettii ENSOGAG00000033351
pan_troglodytes ENSPTRG00000028767
pan_paniscus ENSPPAG00000008642
homo_sapiens ENSG00000184524
gorilla_gorilla ENSGGOG00000040625
pongo_abelii ENSPPYG00000002882
gorilla_gorilla ENSGGOG00000022919
nomascus_leucogenys ENSNLEG00000033719
macaca_mulatta ENSMMUG00000042839
chlorocebus_sabaeus ENSCSAG00000018954
theropithecus_gelada ENSTGEG00000023908
piliocolobus_tephrosceles ENSPTEG00000018921
pan_troglodytes ENSPTRG00000048997
pan_paniscus ENSPPAG00000032971
gorilla_gorilla ENSGGOG00000010761
chlorocebus_sabaeus ENSCSAG00000019587
cebus_capucinus_imitator ENSCCAG00000019326
callithrix_jacchus ENSCJAG00000011886
aotus_nancymaae ENSANAG00000037614
loxodonta_africana ENSLAFG00000027130
echinops_telfairi ENSETEG00000011285
sarcophilus_harrisii ENSSHAG00000001429
phascolarctos_cinereus ENSPCIG00000008284
