ailuropoda_melanoleuca ENSAMEG00000017886
ursus_americanus ENSUAMG00000028150
mustela_putorius_furo ENSMPUG00000016845
canis_lupus_familiaris ENSCAFG00000010354
vulpes_vulpes ENSVVUG00000018626
vulpes_vulpes ENSVVUG00000004366
canis_lupus_dingo ENSCAFG00020010290
panthera_pardus ENSPPRG00000002954
panthera_tigris_altaica ENSPTIG00000008167
felis_catus ENSFCAG00000013705
bos_mutus ENSBMUG00000001069
bos_taurus ENSBTAG00000012858
bison_bison_bison ENSBBBG00000022699
ovis_aries ENSOARG00000003009
capra_hircus ENSCHIG00000016169
tursiops_truncatus ENSTTRG00000012627
sus_scrofa ENSSSCG00000010594
equus_caballus ENSECAG00000022574
equus_asinus_asinus ENSEASG00005015183
dipodomys_ordii ENSDORG00000005467
castor_canadensis ENSCCNG00000005614
urocitellus_parryii ENSUPAG00010020468
marmota_marmota_marmota ENSMMMG00000023399
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023967
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025041
mus_spicilegus ENSMSIG00000031492
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023046
rattus_norvegicus ENSRNOG00000020179
meriones_unguiculatus ENSMUGG00000015736
peromyscus_maniculatus_bairdii ENSPEMG00000003970
microtus_ochrogaster ENSMOCG00000017482
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021778
cricetulus_griseus_crigri-picr ENSCGRG00015020409
mesocricetus_auratus ENSMAUG00000018081
nannospalax_galili ENSNGAG00000014147
jaculus_jaculus ENSJJAG00000023674
cavia_porcellus ENSCPOG00000015748
cavia_aperea ENSCAPG00000011400
octodon_degus ENSODEG00000012028
chinchilla_lanigera ENSCLAG00000001259
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000003370
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012692
fukomys_damarensis ENSFDAG00000001181
ochotona_princeps ENSOPRG00000004500
microcebus_murinus ENSMICG00000012316
microcebus_murinus ENSMICG00000028572
propithecus_coquereli ENSPCOG00000015418
papio_anubis ENSPANG00000020954
mandrillus_leucophaeus ENSMLEG00000040980
cercocebus_atys ENSCATG00000030773
theropithecus_gelada ENSTGEG00000021545
chlorocebus_sabaeus ENSCSAG00000005380
macaca_fascicularis ENSMFAG00000035950
macaca_nemestrina ENSMNEG00000036765
rhinopithecus_bieti ENSRBIG00000044011
rhinopithecus_roxellana ENSRROG00000040128
colobus_angolensis_palliatus ENSCANG00000042574
piliocolobus_tephrosceles ENSPTEG00000004965
nomascus_leucogenys ENSNLEG00000015225
pongo_abelii ENSPPYG00000002616
pan_paniscus ENSPPAG00000044029
pan_troglodytes ENSPTRG00000002905
gorilla_gorilla ENSGGOG00000013257
homo_sapiens ENSG00000076685
saimiri_boliviensis_boliviensis ENSSBOG00000020827
cebus_capucinus_imitator ENSCCAG00000026539
callithrix_jacchus ENSCJAG00000018148
aotus_nancymaae ENSANAG00000024718
loxodonta_africana ENSLAFG00000012056
procavia_capensis ENSPCAG00000000981
echinops_telfairi ENSETEG00000016415
sorex_araneus ENSSARG00000000822
carlito_syrichta ENSTSYG00000012959
dasypus_novemcinctus ENSDNOG00000000151
choloepus_hoffmanni ENSCHOG00000004098
notamacropus_eugenii ENSMEUG00000016253
ornithorhynchus_anatinus ENSOANG00000001640
xenopus_tropicalis ENSXETG00000009475
anas_platyrhynchos_platyrhynchos ENSAPLG00000023786
ornithorhynchus_anatinus ENSOANG00000030599
eptatretus_burgeri ENSEBUG00000008207
