maylandia_zebra ENSMZEG00005003799
astatotilapia_calliptera ENSACLG00000027864
pundamilia_nyererei ENSPNYG00000018578
haplochromis_burtoni ENSHBUG00000013070
neolamprologus_brichardi ENSNBRG00000001068
oreochromis_niloticus ENSONIG00000017135
amphilophus_citrinellus ENSACIG00000023064
amphiprion_ocellaris ENSAOCG00000023649
amphiprion_percula ENSAPEG00000012348
acanthochromis_polyacanthus ENSAPOG00000018013
stegastes_partitus ENSSPAG00000008753
xiphophorus_maculatus ENSXMAG00000000996
xiphophorus_couchianus ENSXCOG00000010362
gambusia_affinis ENSGAFG00000020271
poecilia_formosa ENSPFOG00000004411
poecilia_mexicana ENSPMEG00000001386
poecilia_latipinna ENSPLAG00000015277
poecilia_reticulata ENSPREG00000006714
cyprinodon_variegatus ENSCVAG00000019002
fundulus_heteroclitus ENSFHEG00000014291
oryzias_latipes_asm223469v1 ENSORLG00015008620
oryzias_latipes_asm223467v1 ENSORLG00000008672
oryzias_latipes_asm223471v1 ENSORLG00020000898
oryzias_melastigma ENSOMEG00000011006
tetraodon_nigroviridis ENSTNIG00000017979
takifugu_rubripes ENSTRUG00000016072
mola_mola ENSMMOG00000013871
gasterosteus_aculeatus ENSGACG00000011541
labrus_bergylta ENSLBEG00000025234
scophthalmus_maximus ENSSMAG00000015559
cynoglossus_semilaevis ENSCSEG00000014251
seriola_dumerili ENSSDUG00000009858
seriola_lalandi_dorsalis ENSSLDG00000022735
monopterus_albus ENSMALG00000018283
mastacembelus_armatus ENSMAMG00000023388
anabas_testudineus ENSATEG00000024412
periophthalmus_magnuspinnatus ENSPMGG00000001817
hippocampus_comes ENSHCOG00000018446
esox_lucius ENSELUG00000005283
oreochromis_niloticus ENSONIG00000019851
oryzias_melastigma ENSOMEG00000006125
pygocentrus_nattereri ENSPNAG00000016312
astyanax_mexicanus ENSAMXG00000015603
danio_rerio ENSDARG00000014794
