cynoglossus_semilaevis ENSCSEG00000020562
periophthalmus_magnuspinnatus ENSPMGG00000009398
oryzias_latipes_asm223469v1 ENSORLG00015006747
oryzias_latipes_asm223471v1 ENSORLG00020013677
oryzias_latipes_asm223467v1 ENSORLG00000029632
oryzias_melastigma ENSOMEG00000017530
amphiprion_percula ENSAPEG00000020517
amphiprion_ocellaris ENSAOCG00000022561
acanthochromis_polyacanthus ENSAPOG00000019720
stegastes_partitus ENSSPAG00000010489
kryptolebias_marmoratus ENSKMAG00000007369
monopterus_albus ENSMALG00000005637
mastacembelus_armatus ENSMAMG00000020758
anabas_testudineus ENSATEG00000022007
astatotilapia_calliptera ENSACLG00000022585
maylandia_zebra ENSMZEG00005001553
haplochromis_burtoni ENSHBUG00000010640
pundamilia_nyererei ENSPNYG00000016390
neolamprologus_brichardi ENSNBRG00000006958
amphilophus_citrinellus ENSACIG00000010871
seriola_lalandi_dorsalis ENSSLDG00000016511
seriola_dumerili ENSSDUG00000021638
labrus_bergylta ENSLBEG00000004497
mola_mola ENSMMOG00000012636
takifugu_rubripes ENSTRUG00000025160
scophthalmus_maximus ENSSMAG00000014109
poecilia_mexicana ENSPMEG00000007671
poecilia_latipinna ENSPLAG00000014291
poecilia_reticulata ENSPREG00000011558
xiphophorus_couchianus ENSXCOG00000018148
xiphophorus_maculatus ENSXMAG00000022349
gambusia_affinis ENSGAFG00000010800
fundulus_heteroclitus ENSFHEG00000006535
cyprinodon_variegatus ENSCVAG00000015051
esox_lucius ENSELUG00000018774
pygocentrus_nattereri ENSPNAG00000029745
astyanax_mexicanus ENSAMXG00000009295
ictalurus_punctatus ENSIPUG00000010807
paramormyrops_kingsleyae ENSPKIG00000007789
gallus_gallus ENSGALG00000053773
sphenodon_punctatus ENSSPUG00000010501
sus_scrofa ENSSSCG00000000089
phascolarctos_cinereus ENSPCIG00000036050
