seriola_lalandi_dorsalis ENSSLDG00000002485
seriola_dumerili ENSSDUG00000020537
labrus_bergylta ENSLBEG00000007456
scophthalmus_maximus ENSSMAG00000003913
takifugu_rubripes ENSTRUG00000021272
poecilia_reticulata ENSPREG00000006700
xiphophorus_maculatus ENSXMAG00000016233
kryptolebias_marmoratus ENSKMAG00000009158
oryzias_latipes_asm223471v1 ENSORLG00020006112
oryzias_melastigma ENSOMEG00000021268
haplochromis_burtoni ENSHBUG00000005506
pundamilia_nyererei ENSPNYG00000018236
acanthochromis_polyacanthus ENSAPOG00000014309
esox_lucius ENSELUG00000010145
lepisosteus_oculatus ENSLOCG00000002620
latimeria_chalumnae ENSLACG00000018563
