taeniopygia_guttata ENSTGUG00000003359
anas_platyrhynchos_platyrhynchos ENSAPLG00000027386
anser_brachyrhynchus ENSABRG00000007208
melopsittacus_undulatus ENSMUNG00000008161
dromaius_novaehollandiae ENSDNVG00000005940
ficedula_albicollis ENSFALG00000013771
parus_major ENSPMJG00000018863
zonotrichia_albicollis ENSZALG00000003404
numida_meleagris ENSNMEG00000012592
coturnix_japonica ENSCJPG00005004345
pogona_vitticeps ENSPVIG00000007580
anolis_carolinensis ENSACAG00000001695
monodelphis_domestica ENSMODG00000028305
sarcophilus_harrisii ENSSHAG00000001131
mustela_putorius_furo ENSMPUG00000016085
neovison_vison ENSNVIG00000004873
ailuropoda_melanoleuca ENSAMEG00000015429
vulpes_vulpes ENSVVUG00000024830
canis_lupus_familiaris ENSCAFG00000028947
felis_catus ENSFCAG00000044781
panthera_pardus ENSPPRG00000015603
equus_caballus ENSECAG00000011106
ursus_maritimus ENSUMAG00000014004
pteropus_vampyrus ENSPVAG00000015429
myotis_lucifugus ENSMLUG00000000398
bison_bison_bison ENSBBBG00000003006
bos_mutus ENSBMUG00000009116
bos_taurus ENSBTAG00000019517
capra_hircus ENSCHIG00000018073
tursiops_truncatus ENSTTRG00000008656
sus_scrofa ENSSSCG00000025858
macaca_nemestrina ENSMNEG00000029369
macaca_mulatta ENSMMUG00000044533
mandrillus_leucophaeus ENSMLEG00000024470
rhinopithecus_bieti ENSRBIG00000041564
rhinopithecus_roxellana ENSRROG00000028675
colobus_angolensis_palliatus ENSCANG00000039514
nomascus_leucogenys ENSNLEG00000031822
homo_sapiens ENSG00000049540
pan_troglodytes ENSPTRG00000019283
saimiri_boliviensis_boliviensis ENSSBOG00000034365
callithrix_jacchus ENSCJAG00000042064
aotus_nancymaae ENSANAG00000029913
cebus_capucinus_imitator ENSCCAG00000029476
pan_paniscus ENSPPAG00000041530
gorilla_gorilla ENSGGOG00000037197
cercocebus_atys ENSCATG00000030972
papio_anubis ENSPANG00000008675
microcebus_murinus ENSMICG00000045863
carlito_syrichta ENSTSYG00000027436
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029675
mus_spicilegus ENSMSIG00000017355
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028816
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027818
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0024366
rattus_norvegicus ENSRNOG00000001469
meriones_unguiculatus ENSMUGG00000002478
peromyscus_maniculatus_bairdii ENSPEMG00000017632
microtus_ochrogaster ENSMOCG00000018526
cricetulus_griseus_crigri_1.0 ENSCGRG00000001819
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001021282
mesocricetus_auratus ENSMAUG00000017767
jaculus_jaculus ENSJJAG00000013776
castor_canadensis ENSCCNG00000031477
nannospalax_galili ENSNGAG00000012495
octodon_degus ENSODEG00000016045
dipodomys_ordii ENSDORG00000008812
ochotona_princeps ENSOPRG00000015829
tupaia_belangeri ENSTBEG00000007437
equus_asinus_asinus ENSEASG00005015891
procavia_capensis ENSPCAG00000014664
echinops_telfairi ENSETEG00000007638
dasypus_novemcinctus ENSDNOG00000008577
ornithorhynchus_anatinus ENSOANG00000029241
