heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013900
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010555
fukomys_damarensis ENSFDAG00000000452
cavia_aperea ENSCAPG00000009504
cavia_porcellus ENSCPOG00000011847
ictidomys_tridecemlineatus ENSSTOG00000030945
urocitellus_parryii ENSUPAG00010015672
marmota_marmota_marmota ENSMMMG00000014763
cricetulus_griseus_crigri-picr ENSCGRG00015026735
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001013210
cricetulus_griseus_crigri_1.0 ENSCGRG00000019246
mesocricetus_auratus ENSMAUG00000014403
microtus_ochrogaster ENSMOCG00000022409
peromyscus_maniculatus_bairdii ENSPEMG00000012871
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029127
mus_spicilegus ENSMSIG00000019456
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000060882
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028127
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0021883
nannospalax_galili ENSNGAG00000011359
meriones_unguiculatus ENSMUGG00000017753
jaculus_jaculus ENSJJAG00000000160
castor_canadensis ENSCCNG00000016665
spermophilus_dauricus ENSSDAG00000009177
numida_meleagris ENSNMEG00000009723
propithecus_coquereli ENSPCOG00000015891
prolemur_simus ENSPSMG00000014803
microcebus_murinus ENSMICG00000043428
otolemur_garnettii ENSOGAG00000031295
pan_troglodytes ENSPTRG00000047469
pan_paniscus ENSPPAG00000034678
homo_sapiens ENSG00000184408
gorilla_gorilla ENSGGOG00000043715
pongo_abelii ENSPPYG00000017943
nomascus_leucogenys ENSNLEG00000035189
cercocebus_atys ENSCATG00000034255
chlorocebus_sabaeus ENSCSAG00000010780
mandrillus_leucophaeus ENSMLEG00000031627
macaca_fascicularis ENSMFAG00000046158
macaca_nemestrina ENSMNEG00000001242
macaca_mulatta ENSMMUG00000023308
papio_anubis ENSPANG00000032534
theropithecus_gelada ENSTGEG00000017969
colobus_angolensis_palliatus ENSCANG00000040815
saimiri_boliviensis_boliviensis ENSSBOG00000020186
callithrix_jacchus ENSCJAG00000022123
aotus_nancymaae ENSANAG00000019515
tupaia_belangeri ENSTBEG00000012839
equus_caballus ENSECAG00000002703
equus_asinus_asinus ENSEASG00005008938
pteropus_vampyrus ENSPVAG00000010108
neovison_vison ENSNVIG00000001932
mustela_putorius_furo ENSMPUG00000007070
ailuropoda_melanoleuca ENSAMEG00000020256
panthera_pardus ENSPPRG00000008572
panthera_tigris_altaica ENSPTIG00000006572
felis_catus ENSFCAG00000007877
bos_taurus ENSBTAG00000032077
capra_hircus ENSCHIG00000017913
tursiops_truncatus ENSTTRG00000016224
vicugna_pacos ENSVPAG00000000991
choloepus_hoffmanni ENSCHOG00000006817
dasypus_novemcinctus ENSDNOG00000000011
loxodonta_africana ENSLAFG00000008593
procavia_capensis ENSPCAG00000003715
tetraodon_nigroviridis ENSTNIG00000000192
tetraodon_nigroviridis ENSTNIG00000006147
bos_mutus ENSBMUG00000008363
sus_scrofa ENSSSCG00000016621
dipodomys_ordii ENSDORG00000003100
oryctolagus_cuniculus ENSOCUG00000004149
ochotona_princeps ENSOPRG00000016904
octodon_degus ENSODEG00000011671
chinchilla_lanigera ENSCLAG00000004173
canis_lupus_familiaris ENSCAFG00000024216
canis_lupus_familiaris ENSCAFG00000023669
vulpes_vulpes ENSVVUG00000030320
eptatretus_burgeri ENSEBUG00000007503
sorex_araneus ENSSARG00000010020
myotis_lucifugus ENSMLUG00000010696
phascolarctos_cinereus ENSPCIG00000036542
notamacropus_eugenii ENSMEUG00000002717
sarcophilus_harrisii ENSSHAG00000007231
monodelphis_domestica ENSMODG00000024535
gallus_gallus ENSGALG00000009066
meleagris_gallopavo ENSMGAG00000015683
coturnix_japonica ENSCJPG00005012143
taeniopygia_guttata ENSTGUG00000004691
serinus_canaria ENSSCAG00000000182
zonotrichia_albicollis ENSZALG00000007082
ficedula_albicollis ENSFALG00000010001
lepidothrix_coronata ENSLCOG00000003329
manacus_vitellinus ENSMVIG00005001853
anser_brachyrhynchus ENSABRG00000012789
melopsittacus_undulatus ENSMUNG00000016868
calidris_pugnax ENSCPUG00000009319
apteryx_owenii ENSAOWG00000008935
apteryx_haastii ENSAHAG00000019067
apteryx_rowi ENSARWG00000009990
cyanistes_caeruleus ENSCCEG00000004926
anas_platyrhynchos_platyrhynchos ENSAPLG00000031003
calidris_pygmaea ENSCPGG00000005038
parus_major ENSPMJG00000010076
junco_hyemalis ENSJHYG00000014950
lonchura_striata_domestica ENSLSDG00000004333
nothoprocta_perdicaria ENSNPEG00000004847
dromaius_novaehollandiae ENSDNVG00000010197
salvator_merianae ENSSMRG00000012315
chelonoidis_abingdonii ENSCABG00000010268
gopherus_agassizii ENSGAGG00000021293
chrysemys_picta_bellii ENSCPBG00000008266
pelodiscus_sinensis ENSPSIG00000006329
crocodylus_porosus ENSCPRG00005010626
anolis_carolinensis ENSACAG00000007207
pogona_vitticeps ENSPVIG00000005047
notechis_scutatus ENSNSUG00000012032
sphenodon_punctatus ENSSPUG00000006490
