tursiops_truncatus ENSTTRG00000003145
ochotona_princeps ENSOPRG00000015558
pteropus_vampyrus ENSPVAG00000007679
procavia_capensis ENSPCAG00000004324
pongo_abelii ENSPPYG00000013371
notamacropus_eugenii ENSMEUG00000009720
melopsittacus_undulatus ENSMUNG00000016310
petromyzon_marinus ENSPMAG00000007698
eptatretus_burgeri ENSEBUG00000013086
eptatretus_burgeri ENSEBUG00000014185
petromyzon_marinus ENSPMAG00000004812
scleropages_formosus ENSSFOG00015009015
paramormyrops_kingsleyae ENSPKIG00000018857
paramormyrops_kingsleyae ENSPKIG00000014049
scleropages_formosus ENSSFOG00015016138
takifugu_rubripes ENSTRUG00000005375
tetraodon_nigroviridis ENSTNIG00000008890
mola_mola ENSMMOG00000005345
gasterosteus_aculeatus ENSGACG00000002228
labrus_bergylta ENSLBEG00000026185
seriola_dumerili ENSSDUG00000009794
seriola_lalandi_dorsalis ENSSLDG00000021093
scophthalmus_maximus ENSSMAG00000004037
mastacembelus_armatus ENSMAMG00000012917
monopterus_albus ENSMALG00000022623
anabas_testudineus ENSATEG00000011516
amphiprion_ocellaris ENSAOCG00000011017
amphiprion_percula ENSAPEG00000007631
acanthochromis_polyacanthus ENSAPOG00000010639
stegastes_partitus ENSSPAG00000010194
fundulus_heteroclitus ENSFHEG00000006035
cyprinodon_variegatus ENSCVAG00000006486
poecilia_formosa ENSPFOG00000001958
poecilia_mexicana ENSPMEG00000014631
poecilia_latipinna ENSPLAG00000003700
poecilia_reticulata ENSPREG00000016847
xiphophorus_maculatus ENSXMAG00000002072
xiphophorus_couchianus ENSXCOG00000014540
gambusia_affinis ENSGAFG00000018776
kryptolebias_marmoratus ENSKMAG00000018874
oryzias_latipes_asm223469v1 ENSORLG00015008972
oryzias_latipes_asm223471v1 ENSORLG00020013117
oryzias_latipes_asm223467v1 ENSORLG00000018092
oryzias_melastigma ENSOMEG00000010269
maylandia_zebra ENSMZEG00005016741
astatotilapia_calliptera ENSACLG00000006415
haplochromis_burtoni ENSHBUG00000004972
pundamilia_nyererei ENSPNYG00000000714
neolamprologus_brichardi ENSNBRG00000015261
oreochromis_niloticus ENSONIG00000004475
amphilophus_citrinellus ENSACIG00000004789
cynoglossus_semilaevis ENSCSEG00000018102
hippocampus_comes ENSHCOG00000002247
gadus_morhua ENSGMOG00000005976
esox_lucius ENSELUG00000012563
pygocentrus_nattereri ENSPNAG00000013918
astyanax_mexicanus ENSAMXG00000018271
ictalurus_punctatus ENSIPUG00000008109
danio_rerio ENSDARG00000098349
xiphophorus_maculatus ENSXMAG00000007976
xiphophorus_couchianus ENSXCOG00000020570
gambusia_affinis ENSGAFG00000018893
poecilia_mexicana ENSPMEG00000010414
poecilia_formosa ENSPFOG00000003302
poecilia_latipinna ENSPLAG00000017177
poecilia_reticulata ENSPREG00000012588
cyprinodon_variegatus ENSCVAG00000003096
fundulus_heteroclitus ENSFHEG00000018675
kryptolebias_marmoratus ENSKMAG00000003489
oryzias_melastigma ENSOMEG00000009954
oryzias_latipes_asm223467v1 ENSORLG00000029432
takifugu_rubripes ENSTRUG00000014035
tetraodon_nigroviridis ENSTNIG00000008315
mola_mola ENSMMOG00000012357
labrus_bergylta ENSLBEG00000004984
labrus_bergylta ENSLBEG00000000175
hippocampus_comes ENSHCOG00000005745
amphiprion_ocellaris ENSAOCG00000023072
amphiprion_percula ENSAPEG00000015500
acanthochromis_polyacanthus ENSAPOG00000003755
stegastes_partitus ENSSPAG00000011141
haplochromis_burtoni ENSHBUG00000012706
maylandia_zebra ENSMZEG00005021117
pundamilia_nyererei ENSPNYG00000015221
oreochromis_niloticus ENSONIG00000000966
neolamprologus_brichardi ENSNBRG00000024335
amphilophus_citrinellus ENSACIG00000006464
scophthalmus_maximus ENSSMAG00000014149
cynoglossus_semilaevis ENSCSEG00000005322
seriola_dumerili ENSSDUG00000004948
seriola_lalandi_dorsalis ENSSLDG00000004180
monopterus_albus ENSMALG00000016056
mastacembelus_armatus ENSMAMG00000021971
anabas_testudineus ENSATEG00000018324
gasterosteus_aculeatus ENSGACG00000014564
gadus_morhua ENSGMOG00000012763
periophthalmus_magnuspinnatus ENSPMGG00000000729
esox_lucius ENSELUG00000000960
astyanax_mexicanus ENSAMXG00000013400
pygocentrus_nattereri ENSPNAG00000010355
lepisosteus_oculatus ENSLOCG00000009104
monodelphis_domestica ENSMODG00000016476
sarcophilus_harrisii ENSSHAG00000004439
phascolarctos_cinereus ENSPCIG00000026377
pan_troglodytes ENSPTRG00000013097
pan_paniscus ENSPPAG00000035780
homo_sapiens ENSG00000068024
gorilla_gorilla ENSGGOG00000014323
pongo_abelii ENSPPYG00000013328
nomascus_leucogenys ENSNLEG00000013474
mandrillus_leucophaeus ENSMLEG00000036591
cercocebus_atys ENSCATG00000035774
theropithecus_gelada ENSTGEG00000024276
papio_anubis ENSPANG00000001165
macaca_mulatta ENSMMUG00000006077
macaca_nemestrina ENSMNEG00000033168
macaca_fascicularis ENSMFAG00000033242
chlorocebus_sabaeus ENSCSAG00000006011
rhinopithecus_bieti ENSRBIG00000034612
rhinopithecus_roxellana ENSRROG00000035950
piliocolobus_tephrosceles ENSPTEG00000037322
colobus_angolensis_palliatus ENSCANG00000031985
cebus_capucinus_imitator ENSCCAG00000029867
saimiri_boliviensis_boliviensis ENSSBOG00000027074
