sphenodon_punctatus ENSSPUG00000005490
seriola_dumerili ENSSDUG00000012556
anas_platyrhynchos_platyrhynchos ENSAPLG00000030899
anser_brachyrhynchus ENSABRG00000012989
coturnix_japonica ENSCJPG00005005350
meleagris_gallopavo ENSMGAG00000004110
parus_major ENSPMJG00000001981
cyanistes_caeruleus ENSCCEG00000021397
ficedula_albicollis ENSFALG00000000723
junco_hyemalis ENSJHYG00000009232
calidris_pygmaea ENSCPGG00000001183
apteryx_haastii ENSAHAG00000009371
apteryx_rowi ENSARWG00000014251
crocodylus_porosus ENSCPRG00005008144
chelonoidis_abingdonii ENSCABG00000000300
gopherus_agassizii ENSGAGG00000008164
chrysemys_picta_bellii ENSCPBG00000016498
pelodiscus_sinensis ENSPSIG00000004415
pogona_vitticeps ENSPVIG00000001160
notechis_scutatus ENSNSUG00000005925
anolis_carolinensis ENSACAG00000013892
salvator_merianae ENSSMRG00000007983
gallus_gallus ENSGALG00000053351
xenopus_tropicalis ENSXETG00000012615
paramormyrops_kingsleyae ENSPKIG00000017896
paramormyrops_kingsleyae ENSPKIG00000017869
scleropages_formosus ENSSFOG00015009378
scleropages_formosus ENSSFOG00015020448
mastacembelus_armatus ENSMAMG00000004660
monopterus_albus ENSMALG00000007694
anabas_testudineus ENSATEG00000005954
cynoglossus_semilaevis ENSCSEG00000007964
fundulus_heteroclitus ENSFHEG00000019504
cyprinodon_variegatus ENSCVAG00000008191
poecilia_mexicana ENSPMEG00000012774
poecilia_latipinna ENSPLAG00000016793
poecilia_reticulata ENSPREG00000010696
xiphophorus_maculatus ENSXMAG00000029848
oryzias_latipes_asm223467v1 ENSORLG00000011395
oryzias_latipes_asm223469v1 ENSORLG00015001455
oryzias_latipes_asm223471v1 ENSORLG00020001851
oryzias_melastigma ENSOMEG00000005837
astatotilapia_calliptera ENSACLG00000026159
maylandia_zebra ENSMZEG00005005977
haplochromis_burtoni ENSHBUG00000007003
pundamilia_nyererei ENSPNYG00000003180
oreochromis_niloticus ENSONIG00000007921
neolamprologus_brichardi ENSNBRG00000005897
amphiprion_percula ENSAPEG00000002415
acanthochromis_polyacanthus ENSAPOG00000007445
stegastes_partitus ENSSPAG00000017209
scophthalmus_maximus ENSSMAG00000007885
takifugu_rubripes ENSTRUG00000023028
gasterosteus_aculeatus ENSGACG00000003470
hippocampus_comes ENSHCOG00000011168
gadus_morhua ENSGMOG00000019302
esox_lucius ENSELUG00000015307
pygocentrus_nattereri ENSPNAG00000004057
ictalurus_punctatus ENSIPUG00000014346
paramormyrops_kingsleyae ENSPKIG00000024078
amphiprion_percula ENSAPEG00000008507
amphiprion_ocellaris ENSAOCG00000000352
stegastes_partitus ENSSPAG00000015348
astatotilapia_calliptera ENSACLG00000014918
maylandia_zebra ENSMZEG00005004795
pundamilia_nyererei ENSPNYG00000017822
neolamprologus_brichardi ENSNBRG00000019118
xiphophorus_maculatus ENSXMAG00000024355
gambusia_affinis ENSGAFG00000017133
poecilia_formosa ENSPFOG00000009721
poecilia_latipinna ENSPLAG00000005226
poecilia_mexicana ENSPMEG00000001819
poecilia_mexicana ENSPMEG00000017936
poecilia_reticulata ENSPREG00000011773
fundulus_heteroclitus ENSFHEG00000022139
cyprinodon_variegatus ENSCVAG00000018031
mastacembelus_armatus ENSMAMG00000012049
anabas_testudineus ENSATEG00000015279
gasterosteus_aculeatus ENSGACG00000014781
oryzias_latipes_asm223469v1 ENSORLG00015012211
oryzias_latipes_asm223467v1 ENSORLG00000026732
oryzias_melastigma ENSOMEG00000021087
hippocampus_comes ENSHCOG00000002190
gadus_morhua ENSGMOG00000000008
esox_lucius ENSELUG00000006701
pygocentrus_nattereri ENSPNAG00000018022
astyanax_mexicanus ENSAMXG00000039068
ictalurus_punctatus ENSIPUG00000009519
danio_rerio ENSDARG00000088967
lepisosteus_oculatus ENSLOCG00000012370
latimeria_chalumnae ENSLACG00000001312
chinchilla_lanigera ENSCLAG00000016166
octodon_degus ENSODEG00000018004
cavia_porcellus ENSCPOG00000035356
cavia_aperea ENSCAPG00000016392
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014338
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014227
fukomys_damarensis ENSFDAG00000012569
castor_canadensis ENSCCNG00000027003
dipodomys_ordii ENSDORG00000000951
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000035112
mus_spicilegus ENSMSIG00000006627
