peromyscus_maniculatus_bairdii ENSPEMG00000007705
microtus_ochrogaster ENSMOCG00000004178
cricetulus_griseus_crigri_1.0 ENSCGRG00000004999
cricetulus_griseus_crigri-picr ENSCGRG00015003335
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022316
mesocricetus_auratus ENSMAUG00000018860
mus_spicilegus ENSMSIG00000012365
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000063077
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027806
rattus_norvegicus ENSRNOG00000057626
meriones_unguiculatus ENSMUGG00000015745
nannospalax_galili ENSNGAG00000024095
jaculus_jaculus ENSJJAG00000016329
castor_canadensis ENSCCNG00000027837
urocitellus_parryii ENSUPAG00010002657
ictidomys_tridecemlineatus ENSSTOG00000000312
marmota_marmota_marmota ENSMMMG00000017016
pan_troglodytes ENSPTRG00000000127
pan_paniscus ENSPPAG00000042406
gorilla_gorilla ENSGGOG00000026057
homo_sapiens ENSG00000054523
pongo_abelii ENSPPYG00000001902
nomascus_leucogenys ENSNLEG00000009397
rhinopithecus_roxellana ENSRROG00000040981
rhinopithecus_bieti ENSRBIG00000012565
colobus_angolensis_palliatus ENSCANG00000036500
piliocolobus_tephrosceles ENSPTEG00000028944
theropithecus_gelada ENSTGEG00000019336
papio_anubis ENSPANG00000006371
macaca_fascicularis ENSMFAG00000033591
macaca_mulatta ENSMMUG00000002171
macaca_nemestrina ENSMNEG00000042197
cercocebus_atys ENSCATG00000013190
mandrillus_leucophaeus ENSMLEG00000041753
chlorocebus_sabaeus ENSCSAG00000000777
callithrix_jacchus ENSCJAG00000005184
saimiri_boliviensis_boliviensis ENSSBOG00000022087
cebus_capucinus_imitator ENSCCAG00000021043
aotus_nancymaae ENSANAG00000027958
carlito_syrichta ENSTSYG00000013616
prolemur_simus ENSPSMG00000024163
propithecus_coquereli ENSPCOG00000014922
microcebus_murinus ENSMICG00000004526
otolemur_garnettii ENSOGAG00000011150
tupaia_belangeri ENSTBEG00000008738
loxodonta_africana ENSLAFG00000003938
procavia_capensis ENSPCAG00000002210
echinops_telfairi ENSETEG00000013767
dasypus_novemcinctus ENSDNOG00000010370
choloepus_hoffmanni ENSCHOG00000006105
ursus_americanus ENSUAMG00000028401
ursus_maritimus ENSUMAG00000023827
ailuropoda_melanoleuca ENSAMEG00000006585
neovison_vison ENSNVIG00000006888
mustela_putorius_furo ENSMPUG00000016453
canis_lupus_dingo ENSCAFG00020005796
vulpes_vulpes ENSVVUG00000005514
canis_lupus_familiaris ENSCAFG00000019785
panthera_pardus ENSPPRG00000023190
panthera_tigris_altaica ENSPTIG00000007280
felis_catus ENSFCAG00000014588
erinaceus_europaeus ENSEEUG00000010495
tursiops_truncatus ENSTTRG00000003050
vicugna_pacos ENSVPAG00000009317
bos_mutus ENSBMUG00000002168
bison_bison_bison ENSBBBG00000005718
ovis_aries ENSOARG00000005770
capra_hircus ENSCHIG00000018344
sus_scrofa ENSSSCG00000003401
myotis_lucifugus ENSMLUG00000000169
pteropus_vampyrus ENSPVAG00000011199
equus_caballus ENSECAG00000020336
equus_asinus_asinus ENSEASG00005019472
oryctolagus_cuniculus ENSOCUG00000002763
ochotona_princeps ENSOPRG00000000801
octodon_degus ENSODEG00000012480
chinchilla_lanigera ENSCLAG00000006135
cavia_porcellus ENSCPOG00000007858
cavia_aperea ENSCAPG00000015368
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100013134
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004293
fukomys_damarensis ENSFDAG00000008622
phascolarctos_cinereus ENSPCIG00000008194
notamacropus_eugenii ENSMEUG00000006149
sarcophilus_harrisii ENSSHAG00000006427
monodelphis_domestica ENSMODG00000002802
ornithorhynchus_anatinus ENSOANG00000002802
melopsittacus_undulatus ENSMUNG00000016196
melopsittacus_undulatus ENSMUNG00000016197
calidris_pygmaea ENSCPGG00000010842
calidris_pygmaea ENSCPGG00000010868
calidris_pugnax ENSCPUG00000013491
anser_brachyrhynchus ENSABRG00000009152
anas_platyrhynchos_platyrhynchos ENSAPLG00000006535
gallus_gallus ENSGALG00000002726
meleagris_gallopavo ENSMGAG00000004255
coturnix_japonica ENSCJPG00005012493
numida_meleagris ENSNMEG00000013146
apteryx_haastii ENSAHAG00000010929
apteryx_owenii ENSAOWG00000006593
apteryx_rowi ENSARWG00000001827
dromaius_novaehollandiae ENSDNVG00000017410
nothoprocta_perdicaria ENSNPEG00000008674
junco_hyemalis ENSJHYG00000010572
junco_hyemalis ENSJHYG00000010586
zonotrichia_albicollis ENSZALG00000005636
serinus_canaria ENSSCAG00000016975
taeniopygia_guttata ENSTGUG00000003304
taeniopygia_guttata ENSTGUG00000013845
lonchura_striata_domestica ENSLSDG00000004812
cyanistes_caeruleus ENSCCEG00000020370
parus_major ENSPMJG00000014829
ficedula_albicollis ENSFALG00000007231
lepidothrix_coronata ENSLCOG00000014517
manacus_vitellinus ENSMVIG00005006505
crocodylus_porosus ENSCPRG00005003363
gopherus_agassizii ENSGAGG00000004167
chelonoidis_abingdonii ENSCABG00000017478
chrysemys_picta_bellii ENSCPBG00000022046
pelodiscus_sinensis ENSPSIG00000008730
sphenodon_punctatus ENSSPUG00000012779
bos_taurus ENSBTAG00000048747
bos_taurus ENSBTAG00000048790
salvator_merianae ENSSMRG00000013143
salvator_merianae ENSSMRG00000013142
pogona_vitticeps ENSPVIG00000021552
notechis_scutatus ENSNSUG00000009823
pogona_vitticeps ENSPVIG00000021551
anolis_carolinensis ENSACAG00000011994
seriola_lalandi_dorsalis ENSSLDG00000000411
seriola_lalandi_dorsalis ENSSLDG00000011951
seriola_dumerili ENSSDUG00000006934
oreochromis_niloticus ENSONIG00000009146
scophthalmus_maximus ENSSMAG00000017742
monopterus_albus ENSMALG00000021069
mastacembelus_armatus ENSMAMG00000009296
anabas_testudineus ENSATEG00000017727
amphiprion_ocellaris ENSAOCG00000020388
amphiprion_percula ENSAPEG00000018126
acanthochromis_polyacanthus ENSAPOG00000012801
stegastes_partitus ENSSPAG00000010048
pundamilia_nyererei ENSPNYG00000007009
haplochromis_burtoni ENSHBUG00000020677
maylandia_zebra ENSMZEG00005013569
astatotilapia_calliptera ENSACLG00000025714
neolamprologus_brichardi ENSNBRG00000006787
oreochromis_niloticus ENSONIG00000002345
amphilophus_citrinellus ENSACIG00000003589
xiphophorus_maculatus ENSXMAG00000011378
xiphophorus_couchianus ENSXCOG00000004694
gambusia_affinis ENSGAFG00000019238
poecilia_formosa ENSPFOG00000002374
poecilia_mexicana ENSPMEG00000016972
poecilia_latipinna ENSPLAG00000010793
poecilia_reticulata ENSPREG00000015785
fundulus_heteroclitus ENSFHEG00000008271
cyprinodon_variegatus ENSCVAG00000016867
kryptolebias_marmoratus ENSKMAG00000015879
oryzias_latipes_asm223471v1 ENSORLG00020013100
oryzias_latipes_asm223467v1 ENSORLG00000005238
oryzias_latipes_asm223469v1 ENSORLG00015004958
oryzias_melastigma ENSOMEG00000003064
cynoglossus_semilaevis ENSCSEG00000006275
takifugu_rubripes ENSTRUG00000011194
tetraodon_nigroviridis ENSTNIG00000015171
mola_mola ENSMMOG00000009182
labrus_bergylta ENSLBEG00000021644
gasterosteus_aculeatus ENSGACG00000007205
hippocampus_comes ENSHCOG00000015817
periophthalmus_magnuspinnatus ENSPMGG00000014089
gadus_morhua ENSGMOG00000000554
esox_lucius ENSELUG00000013382
astyanax_mexicanus ENSAMXG00000013184
pygocentrus_nattereri ENSPNAG00000022391
ictalurus_punctatus ENSIPUG00000004571
danio_rerio ENSDARG00000037020
scleropages_formosus ENSSFOG00015013753
paramormyrops_kingsleyae ENSPKIG00000013528
lepisosteus_oculatus ENSLOCG00000006679
latimeria_chalumnae ENSLACG00000013564
xenopus_tropicalis ENSXETG00000022163
dipodomys_ordii ENSDORG00000006385
pogona_vitticeps ENSPVIG00000021553
anolis_carolinensis ENSACAG00000027496
calidris_pygmaea ENSCPGG00000010883
melopsittacus_undulatus ENSMUNG00000016195
parus_major ENSPMJG00000014828
ficedula_albicollis ENSFALG00000007234
junco_hyemalis ENSJHYG00000010542
lonchura_striata_domestica ENSLSDG00000002693
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029161
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026813
cricetulus_griseus_crigri_1.0 ENSCGRG00000009266
bos_taurus ENSBTAG00000054239
pundamilia_nyererei ENSPNYG00000006974
