peromyscus_maniculatus_bairdii ENSPEMG00000014489
microtus_ochrogaster ENSMOCG00000001317
cricetulus_griseus_crigri-picr ENSCGRG00015024509
cricetulus_griseus_crigri_1.0 ENSCGRG00000005679
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023956
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026327
mus_spicilegus ENSMSIG00000021490
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000028104
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025380
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026825
rattus_norvegicus ENSRNOG00000021209
meriones_unguiculatus ENSMUGG00000019566
urocitellus_parryii ENSUPAG00010010032
marmota_marmota_marmota ENSMMMG00000015500
spermophilus_dauricus ENSSDAG00000018680
castor_canadensis ENSCCNG00000017038
junco_hyemalis ENSJHYG00000008140
