anas_platyrhynchos_platyrhynchos ENSAPLG00000003781
anser_brachyrhynchus ENSABRG00000001631
gallus_gallus ENSGALG00000033205
coturnix_japonica ENSCJPG00005008276
meleagris_gallopavo ENSMGAG00000012844
numida_meleagris ENSNMEG00000008784
parus_major ENSPMJG00000011759
lonchura_striata_domestica ENSLSDG00000001127
taeniopygia_guttata ENSTGUG00000012561
taeniopygia_guttata ENSTGUG00000012558
zonotrichia_albicollis ENSZALG00000014651
junco_hyemalis ENSJHYG00000013779
serinus_canaria ENSSCAG00000008072
cyanistes_caeruleus ENSCCEG00000010273
ficedula_albicollis ENSFALG00000002641
manacus_vitellinus ENSMVIG00005012037
lepidothrix_coronata ENSLCOG00000014203
calidris_pygmaea ENSCPGG00000004739
calidris_pugnax ENSCPUG00000010055
melopsittacus_undulatus ENSMUNG00000016690
apteryx_owenii ENSAOWG00000012946
apteryx_haastii ENSAHAG00000000188
apteryx_rowi ENSARWG00000011531
dromaius_novaehollandiae ENSDNVG00000018869
nothoprocta_perdicaria ENSNPEG00000005978
crocodylus_porosus ENSCPRG00005011418
gopherus_agassizii ENSGAGG00000007609
chelonoidis_abingdonii ENSCABG00000013699
chrysemys_picta_bellii ENSCPBG00000019765
pelodiscus_sinensis ENSPSIG00000005370
pogona_vitticeps ENSPVIG00000008803
anolis_carolinensis ENSACAG00000011050
notechis_scutatus ENSNSUG00000007815
salvator_merianae ENSSMRG00000002815
sphenodon_punctatus ENSSPUG00000008093
phascolarctos_cinereus ENSPCIG00000010922
notamacropus_eugenii ENSMEUG00000013325
sarcophilus_harrisii ENSSHAG00000012913
monodelphis_domestica ENSMODG00000003452
monodelphis_domestica ENSMODG00000001188
chinchilla_lanigera ENSCLAG00000001398
octodon_degus ENSODEG00000000588
cavia_porcellus ENSCPOG00000014820
cavia_aperea ENSCAPG00000009747
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004220
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002176
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002462
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100004016
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000010482
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100003822
fukomys_damarensis ENSFDAG00000008373
ictidomys_tridecemlineatus ENSSTOG00000012416
spermophilus_dauricus ENSSDAG00000024475
urocitellus_parryii ENSUPAG00010006793
marmota_marmota_marmota ENSMMMG00000003892
dipodomys_ordii ENSDORG00000029798
