cricetulus_griseus_crigri-picr ENSCGRG00015021534
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023352
cricetulus_griseus_crigri_1.0 ENSCGRG00000015533
mesocricetus_auratus ENSMAUG00000018326
mus_spicilegus ENSMSIG00000030869
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000043319
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018046
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018891
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0029805
rattus_norvegicus ENSRNOG00000031106
peromyscus_maniculatus_bairdii ENSPEMG00000024810
microtus_ochrogaster ENSMOCG00000004017
meriones_unguiculatus ENSMUGG00000012346
nannospalax_galili ENSNGAG00000003077
castor_canadensis ENSCCNG00000007200
urocitellus_parryii ENSUPAG00010000038
marmota_marmota_marmota ENSMMMG00000000392
spermophilus_dauricus ENSSDAG00000013413
macaca_nemestrina ENSMNEG00000029272
macaca_fascicularis ENSMFAG00000000497
cercocebus_atys ENSCATG00000041670
mandrillus_leucophaeus ENSMLEG00000038262
papio_anubis ENSPANG00000035285
piliocolobus_tephrosceles ENSPTEG00000012717
cebus_capucinus_imitator ENSCCAG00000035474
saimiri_boliviensis_boliviensis ENSSBOG00000021472
piliocolobus_tephrosceles ENSPTEG00000036309
theropithecus_gelada ENSTGEG00000003775
tupaia_belangeri ENSTBEG00000001883
equus_caballus ENSECAG00000038070
equus_asinus_asinus ENSEASG00005021289
ursus_americanus ENSUAMG00000014079
pteropus_vampyrus ENSPVAG00000003420
ovis_aries ENSOARG00000013720
bos_taurus ENSBTAG00000053789
tursiops_truncatus ENSTTRG00000011601
sus_scrofa ENSSSCG00000002462
procavia_capensis ENSPCAG00000006941
