fundulus_heteroclitus ENSFHEG00000013458
cyprinodon_variegatus ENSCVAG00000001340
xiphophorus_maculatus ENSXMAG00000018468
gambusia_affinis ENSGAFG00000021764
poecilia_formosa ENSPFOG00000010782
poecilia_latipinna ENSPLAG00000008105
poecilia_mexicana ENSPMEG00000002567
poecilia_reticulata ENSPREG00000016696
kryptolebias_marmoratus ENSKMAG00000018906
oryzias_latipes_asm223467v1 ENSORLG00000030201
oryzias_latipes_asm223471v1 ENSORLG00020004740
oryzias_latipes_asm223469v1 ENSORLG00015022703
oryzias_melastigma ENSOMEG00000008934
cynoglossus_semilaevis ENSCSEG00000003376
anabas_testudineus ENSATEG00000001497
monopterus_albus ENSMALG00000015046
seriola_dumerili ENSSDUG00000006833
seriola_lalandi_dorsalis ENSSLDG00000000715
scophthalmus_maximus ENSSMAG00000002467
labrus_bergylta ENSLBEG00000019779
gasterosteus_aculeatus ENSGACG00000000697
maylandia_zebra ENSMZEG00005008170
haplochromis_burtoni ENSHBUG00000021738
pundamilia_nyererei ENSPNYG00000001230
astatotilapia_calliptera ENSACLG00000000139
neolamprologus_brichardi ENSNBRG00000016413
oreochromis_niloticus ENSONIG00000019100
amphilophus_citrinellus ENSACIG00000001066
amphiprion_percula ENSAPEG00000015755
amphiprion_ocellaris ENSAOCG00000007132
acanthochromis_polyacanthus ENSAPOG00000014844
stegastes_partitus ENSSPAG00000002548
mola_mola ENSMMOG00000021854
mastacembelus_armatus ENSMAMG00000002230
takifugu_rubripes ENSTRUG00000003081
tetraodon_nigroviridis ENSTNIG00000014578
hippocampus_comes ENSHCOG00000021049
hippocampus_comes ENSHCOG00000019566
periophthalmus_magnuspinnatus ENSPMGG00000007022
gadus_morhua ENSGMOG00000000868
esox_lucius ENSELUG00000015481
pygocentrus_nattereri ENSPNAG00000003241
astyanax_mexicanus ENSAMXG00000001713
ictalurus_punctatus ENSIPUG00000019836
danio_rerio ENSDARG00000060748
scleropages_formosus ENSSFOG00015014457
paramormyrops_kingsleyae ENSPKIG00000008495
lepisosteus_oculatus ENSLOCG00000006608
seriola_lalandi_dorsalis ENSSLDG00000005996
anolis_carolinensis ENSACAG00000013044
pogona_vitticeps ENSPVIG00000007000
notechis_scutatus ENSNSUG00000003486
salvator_merianae ENSSMRG00000008619
sphenodon_punctatus ENSSPUG00000006435
chelonoidis_abingdonii ENSCABG00000007456
gopherus_agassizii ENSGAGG00000020897
chrysemys_picta_bellii ENSCPBG00000018147
pelodiscus_sinensis ENSPSIG00000015776
apteryx_owenii ENSAOWG00000018456
apteryx_rowi ENSARWG00000017062
apteryx_haastii ENSAHAG00000010515
dromaius_novaehollandiae ENSDNVG00000019212
nothoprocta_perdicaria ENSNPEG00000010934
coturnix_japonica ENSCJPG00005004474
crocodylus_porosus ENSCPRG00005004117
microcebus_murinus ENSMICG00000003812
prolemur_simus ENSPSMG00000020846
propithecus_coquereli ENSPCOG00000021606
otolemur_garnettii ENSOGAG00000012235
gorilla_gorilla ENSGGOG00000001415
homo_sapiens ENSG00000123297
pan_paniscus ENSPPAG00000043428
pan_troglodytes ENSPTRG00000005152
pongo_abelii ENSPPYG00000004708
nomascus_leucogenys ENSNLEG00000017178
rhinopithecus_roxellana ENSRROG00000031769
rhinopithecus_bieti ENSRBIG00000037278
piliocolobus_tephrosceles ENSPTEG00000027331
papio_anubis ENSPANG00000007866
theropithecus_gelada ENSTGEG00000019041
mandrillus_leucophaeus ENSMLEG00000029811
macaca_fascicularis ENSMFAG00000036132
macaca_mulatta ENSMMUG00000005893
macaca_nemestrina ENSMNEG00000026351
cercocebus_atys ENSCATG00000016867
chlorocebus_sabaeus ENSCSAG00000004601
cebus_capucinus_imitator ENSCCAG00000033254
callithrix_jacchus ENSCJAG00000006600
aotus_nancymaae ENSANAG00000038019
castor_canadensis ENSCCNG00000031210
jaculus_jaculus ENSJJAG00000012907
cavia_porcellus ENSCPOG00000037732
octodon_degus ENSODEG00000001882
chinchilla_lanigera ENSCLAG00000009226
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000008559
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005643
fukomys_damarensis ENSFDAG00000016548
ochotona_princeps ENSOPRG00000006670
oryctolagus_cuniculus ENSOCUG00000012512
cavia_aperea ENSCAPG00000007733
dipodomys_ordii ENSDORG00000007272
marmota_marmota_marmota ENSMMMG00000010500
spermophilus_dauricus ENSSDAG00000002357
urocitellus_parryii ENSUPAG00010017664
ictidomys_tridecemlineatus ENSSTOG00000001159
carlito_syrichta ENSTSYG00000028892
colobus_angolensis_palliatus ENSCANG00000030298
saimiri_boliviensis_boliviensis ENSSBOG00000021465
tupaia_belangeri ENSTBEG00000011603
equus_caballus ENSECAG00000010520
equus_asinus_asinus ENSEASG00005007292
sorex_araneus ENSSARG00000000785
ovis_aries ENSOARG00000005095
capra_hircus ENSCHIG00000013850
bos_mutus ENSBMUG00000025418
bos_taurus ENSBTAG00000016912
bison_bison_bison ENSBBBG00000013174
tursiops_truncatus ENSTTRG00000008351
sus_scrofa ENSSSCG00000037767
vicugna_pacos ENSVPAG00000000209
ursus_americanus ENSUAMG00000013142
ursus_maritimus ENSUMAG00000020123
ailuropoda_melanoleuca ENSAMEG00000005452
mustela_putorius_furo ENSMPUG00000002051
neovison_vison ENSNVIG00000003421
canis_lupus_familiaris ENSCAFG00000000293
canis_lupus_dingo ENSCAFG00020022844
canis_lupus_familiaris ENSCAFG00000007218
vulpes_vulpes ENSVVUG00000016735
panthera_pardus ENSPPRG00000009667
panthera_tigris_altaica ENSPTIG00000015290
felis_catus ENSFCAG00000023794
pteropus_vampyrus ENSPVAG00000012141
myotis_lucifugus ENSMLUG00000005940
choloepus_hoffmanni ENSCHOG00000002360
dasypus_novemcinctus ENSDNOG00000049415
loxodonta_africana ENSLAFG00000015177
procavia_capensis ENSPCAG00000003789
echinops_telfairi ENSETEG00000002686
echinops_telfairi ENSETEG00000011705
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001023000
cricetulus_griseus_crigri-picr ENSCGRG00015001267
cricetulus_griseus_crigri_1.0 ENSCGRG00000006566
mesocricetus_auratus ENSMAUG00000011705
peromyscus_maniculatus_bairdii ENSPEMG00000000414
microtus_ochrogaster ENSMOCG00000006104
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000040521
mus_spicilegus ENSMSIG00000019150
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016699
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015873
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031212
rattus_norvegicus ENSRNOG00000048843
meriones_unguiculatus ENSMUGG00000008147
nannospalax_galili ENSNGAG00000014356
erinaceus_europaeus ENSEEUG00000004147
notamacropus_eugenii ENSMEUG00000004047
phascolarctos_cinereus ENSPCIG00000023619
sarcophilus_harrisii ENSSHAG00000009664
monodelphis_domestica ENSMODG00000021351
xenopus_tropicalis ENSXETG00000009653
latimeria_chalumnae ENSLACG00000018125
eptatretus_burgeri ENSEBUG00000003001
ciona_intestinalis ENSCING00000001275
ciona_savignyi ENSCSAVG00000007722
drosophila_melanogaster FBgn0032646
caenorhabditis_elegans_strain_n2 WBGene00010094
