octodon_degus ENSODEG00000001078
cavia_porcellus ENSCPOG00000000486
chinchilla_lanigera ENSCLAG00000003053
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000002872
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100005140
fukomys_damarensis ENSFDAG00000005667
spermophilus_dauricus ENSSDAG00000008580
ictidomys_tridecemlineatus ENSSTOG00000008354
urocitellus_parryii ENSUPAG00010004707
castor_canadensis ENSCCNG00000015713
dipodomys_ordii ENSDORG00000006816
cricetulus_griseus_crigri_1.0 ENSCGRG00000001011
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005491
cricetulus_griseus_crigri-picr ENSCGRG00015008723
mesocricetus_auratus ENSMAUG00000012411
peromyscus_maniculatus_bairdii ENSPEMG00000022777
microtus_ochrogaster ENSMOCG00000019385
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034027
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000062393
mus_spicilegus ENSMSIG00000031424
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032879
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0031427
rattus_norvegicus ENSRNOG00000039323
nannospalax_galili ENSNGAG00000022429
jaculus_jaculus ENSJJAG00000011426
oryctolagus_cuniculus ENSOCUG00000010427
pan_troglodytes ENSPTRG00000048026
pan_paniscus ENSPPAG00000034077
homo_sapiens ENSG00000274588
gorilla_gorilla ENSGGOG00000016570
pongo_abelii ENSPPYG00000020353
nomascus_leucogenys ENSNLEG00000008157
papio_anubis ENSPANG00000023269
theropithecus_gelada ENSTGEG00000001378
cercocebus_atys ENSCATG00000031719
mandrillus_leucophaeus ENSMLEG00000031942
macaca_fascicularis ENSMFAG00000038782
macaca_mulatta ENSMMUG00000016492
macaca_nemestrina ENSMNEG00000034246
chlorocebus_sabaeus ENSCSAG00000012745
colobus_angolensis_palliatus ENSCANG00000018855
piliocolobus_tephrosceles ENSPTEG00000030783
rhinopithecus_bieti ENSRBIG00000011306
rhinopithecus_roxellana ENSRROG00000039565
saimiri_boliviensis_boliviensis ENSSBOG00000028597
cebus_capucinus_imitator ENSCCAG00000008445
callithrix_jacchus ENSCJAG00000003016
aotus_nancymaae ENSANAG00000024570
carlito_syrichta ENSTSYG00000002421
propithecus_coquereli ENSPCOG00000003529
prolemur_simus ENSPSMG00000009837
microcebus_murinus ENSMICG00000010584
otolemur_garnettii ENSOGAG00000016880
tupaia_belangeri ENSTBEG00000007803
marmota_marmota_marmota ENSMMMG00000011066
meriones_unguiculatus ENSMUGG00000012220
ursus_americanus ENSUAMG00000023127
ursus_maritimus ENSUMAG00000004517
ailuropoda_melanoleuca ENSAMEG00000012047
ailuropoda_melanoleuca ENSAMEG00000013311
mustela_putorius_furo ENSMPUG00000014099
canis_lupus_dingo ENSCAFG00020020097
vulpes_vulpes ENSVVUG00000018137
canis_lupus_familiaris ENSCAFG00000016018
panthera_pardus ENSPPRG00000000951
panthera_tigris_altaica ENSPTIG00000009263
felis_catus ENSFCAG00000015283
erinaceus_europaeus ENSEEUG00000002535
sorex_araneus ENSSARG00000010684
ovis_aries ENSOARG00000009663
capra_hircus ENSCHIG00000015820
bos_taurus ENSBTAG00000022962
tursiops_truncatus ENSTTRG00000010426
sus_scrofa ENSSSCG00000012308
vicugna_pacos ENSVPAG00000003757
equus_caballus ENSECAG00000015609
equus_asinus_asinus ENSEASG00005004372
pteropus_vampyrus ENSPVAG00000015249
myotis_lucifugus ENSMLUG00000001673
choloepus_hoffmanni ENSCHOG00000004552
echinops_telfairi ENSETEG00000012751
