amphiprion_percula ENSAPEG00000011469
amphiprion_ocellaris ENSAOCG00000018394
acanthochromis_polyacanthus ENSAPOG00000023007
stegastes_partitus ENSSPAG00000014141
seriola_dumerili ENSSDUG00000006901
fundulus_heteroclitus ENSFHEG00000007435
cyprinodon_variegatus ENSCVAG00000017965
oryzias_latipes_asm223471v1 ENSORLG00020006390
cynoglossus_semilaevis ENSCSEG00000021358
periophthalmus_magnuspinnatus ENSPMGG00000005360
hippocampus_comes ENSHCOG00000009146
labrus_bergylta ENSLBEG00000000534
monopterus_albus ENSMALG00000014797
