microcebus_murinus ENSMICG00000030985
prolemur_simus ENSPSMG00000009332
propithecus_coquereli ENSPCOG00000013454
otolemur_garnettii ENSOGAG00000031599
homo_sapiens ENSG00000230778
pan_troglodytes ENSPTRG00000041551
gorilla_gorilla ENSGGOG00000021955
nomascus_leucogenys ENSNLEG00000002794
rhinopithecus_roxellana ENSRROG00000016033
rhinopithecus_bieti ENSRBIG00000040241
colobus_angolensis_palliatus ENSCANG00000041061
piliocolobus_tephrosceles ENSPTEG00000027173
papio_anubis ENSPANG00000011548
theropithecus_gelada ENSTGEG00000000473
cercocebus_atys ENSCATG00000016959
macaca_fascicularis ENSMFAG00000044081
macaca_mulatta ENSMMUG00000040683
macaca_nemestrina ENSMNEG00000008224
chlorocebus_sabaeus ENSCSAG00000019752
callithrix_jacchus ENSCJAG00000039331
saimiri_boliviensis_boliviensis ENSSBOG00000019611
cebus_capucinus_imitator ENSCCAG00000019183
aotus_nancymaae ENSANAG00000008859
mus_spicilegus ENSMSIG00000012433
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025036
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000078137
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024120
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0025563
rattus_norvegicus ENSRNOG00000042446
meriones_unguiculatus ENSMUGG00000008333
cricetulus_griseus_crigri-picr ENSCGRG00015001483
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001010720
mesocricetus_auratus ENSMAUG00000001563
peromyscus_maniculatus_bairdii ENSPEMG00000014108
microtus_ochrogaster ENSMOCG00000002861
nannospalax_galili ENSNGAG00000007150
jaculus_jaculus ENSJJAG00000002959
chinchilla_lanigera ENSCLAG00000013908
cavia_porcellus ENSCPOG00000023665
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000021079
octodon_degus ENSODEG00000020559
ictidomys_tridecemlineatus ENSSTOG00000026423
urocitellus_parryii ENSUPAG00010016251
castor_canadensis ENSCCNG00000023315
capra_hircus ENSCHIG00000011242
ovis_aries ENSOARG00000000786
bos_taurus ENSBTAG00000046052
bison_bison_bison ENSBBBG00000000873
sus_scrofa ENSSSCG00000035682
equus_asinus_asinus ENSEASG00005016570
equus_caballus ENSECAG00000038072
ursus_americanus ENSUAMG00000004232
neovison_vison ENSNVIG00000016444
canis_lupus_dingo ENSCAFG00020005921
canis_lupus_familiaris ENSCAFG00000029625
vulpes_vulpes ENSVVUG00000026463
panthera_pardus ENSPPRG00000020479
felis_catus ENSFCAG00000029579
dasypus_novemcinctus ENSDNOG00000044094
salvator_merianae ENSSMRG00000015450
notechis_scutatus ENSNSUG00000007646
latimeria_chalumnae ENSLACG00000002310
amphiprion_ocellaris ENSAOCG00000018225
amphiprion_percula ENSAPEG00000021753
acanthochromis_polyacanthus ENSAPOG00000011448
maylandia_zebra ENSMZEG00005027029
astatotilapia_calliptera ENSACLG00000022675
neolamprologus_brichardi ENSNBRG00000000781
pundamilia_nyererei ENSPNYG00000001209
poecilia_reticulata ENSPREG00000021750
gambusia_affinis ENSGAFG00000017580
poecilia_mexicana ENSPMEG00000005730
poecilia_latipinna ENSPLAG00000011038
poecilia_formosa ENSPFOG00000023242
xiphophorus_couchianus ENSXCOG00000011115
xiphophorus_maculatus ENSXMAG00000029700
fundulus_heteroclitus ENSFHEG00000017225
cyprinodon_variegatus ENSCVAG00000013216
oryzias_latipes_asm223471v1 ENSORLG00020003335
oryzias_melastigma ENSOMEG00000017651
takifugu_rubripes ENSTRUG00000024822
mola_mola ENSMMOG00000002109
seriola_dumerili ENSSDUG00000010432
oryzias_latipes_asm223467v1 ENSORLG00000030581
oryzias_latipes_asm223469v1 ENSORLG00015017729
kryptolebias_marmoratus ENSKMAG00000015190
astatotilapia_calliptera ENSACLG00000003408
haplochromis_burtoni ENSHBUG00000000471
stegastes_partitus ENSSPAG00000020555
amphilophus_citrinellus ENSACIG00000015033
scophthalmus_maximus ENSSMAG00000006965
seriola_lalandi_dorsalis ENSSLDG00000003528
labrus_bergylta ENSLBEG00000025809
monopterus_albus ENSMALG00000005942
mastacembelus_armatus ENSMAMG00000008084
anabas_testudineus ENSATEG00000004851
cynoglossus_semilaevis ENSCSEG00000000190
