calidris_pygmaea ENSCPGG00000015417
calidris_pugnax ENSCPUG00000000146
melopsittacus_undulatus ENSMUNG00000005715
parus_major ENSPMJG00000007649
taeniopygia_guttata ENSTGUG00000014109
ficedula_albicollis ENSFALG00000008509
anas_platyrhynchos_platyrhynchos ENSAPLG00000023164
meleagris_gallopavo ENSMGAG00000004829
taeniopygia_guttata ENSTGUG00000000575
zonotrichia_albicollis ENSZALG00000010523
cyanistes_caeruleus ENSCCEG00000007399
gallus_gallus ENSGALG00000032567
apteryx_owenii ENSAOWG00000010478
crocodylus_porosus ENSCPRG00005013506
gopherus_agassizii ENSGAGG00000015955
pelodiscus_sinensis ENSPSIG00000016666
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000055095
mus_spicilegus ENSMSIG00000023972
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023149
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022239
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0018972
rattus_norvegicus ENSRNOG00000046265
rattus_norvegicus ENSRNOG00000048570
rattus_norvegicus ENSRNOG00000013073
meriones_unguiculatus ENSMUGG00000025632
peromyscus_maniculatus_bairdii ENSPEMG00000013473
microtus_ochrogaster ENSMOCG00000022042
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001004645
cricetulus_griseus_crigri-picr ENSCGRG00015004288
cricetulus_griseus_crigri_1.0 ENSCGRG00000000113
mesocricetus_auratus ENSMAUG00000017716
nannospalax_galili ENSNGAG00000018323
jaculus_jaculus ENSJJAG00000009856
castor_canadensis ENSCCNG00000021892
dipodomys_ordii ENSDORG00000005808
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000004409
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017409
fukomys_damarensis ENSFDAG00000009756
cavia_aperea ENSCAPG00000017181
cavia_porcellus ENSCPOG00000007875
chinchilla_lanigera ENSCLAG00000010382
octodon_degus ENSODEG00000005901
ochotona_princeps ENSOPRG00000015164
equus_asinus_asinus ENSEASG00005020711
procavia_capensis ENSPCAG00000008171
vulpes_vulpes ENSVVUG00000021292
canis_lupus_familiaris ENSCAFG00000031368
ursus_americanus ENSUAMG00000027605
ursus_maritimus ENSUMAG00000010005
ailuropoda_melanoleuca ENSAMEG00000009490
neovison_vison ENSNVIG00000009945
panthera_pardus ENSPPRG00000000485
panthera_tigris_altaica ENSPTIG00000010680
felis_catus ENSFCAG00000037488
sorex_araneus ENSSARG00000004312
sus_scrofa ENSSSCG00000039674
chlorocebus_sabaeus ENSCSAG00000011920
carlito_syrichta ENSTSYG00000012577
prolemur_simus ENSPSMG00000014048
propithecus_coquereli ENSPCOG00000012126
microcebus_murinus ENSMICG00000047754
cebus_capucinus_imitator ENSCCAG00000026645
callithrix_jacchus ENSCJAG00000048610
saimiri_boliviensis_boliviensis ENSSBOG00000030299
aotus_nancymaae ENSANAG00000037160
colobus_angolensis_palliatus ENSCANG00000032617
piliocolobus_tephrosceles ENSPTEG00000022469
rhinopithecus_bieti ENSRBIG00000037531
rhinopithecus_roxellana ENSRROG00000024044
macaca_nemestrina ENSMNEG00000040646
macaca_fascicularis ENSMFAG00000034416
cercocebus_atys ENSCATG00000030265
papio_anubis ENSPANG00000007464
mandrillus_leucophaeus ENSMLEG00000031640
theropithecus_gelada ENSTGEG00000028341
pan_paniscus ENSPPAG00000037222
pan_troglodytes ENSPTRG00000017386
gorilla_gorilla ENSGGOG00000000159
homo_sapiens ENSG00000178172
pongo_abelii ENSPPYG00000015923
nomascus_leucogenys ENSNLEG00000010064
urocitellus_parryii ENSUPAG00010013044
ictidomys_tridecemlineatus ENSSTOG00000011797
spermophilus_dauricus ENSSDAG00000017917
marmota_marmota_marmota ENSMMMG00000018915
vicugna_pacos ENSVPAG00000009749
tursiops_truncatus ENSTTRG00000001070
erinaceus_europaeus ENSEEUG00000010004
pteropus_vampyrus ENSPVAG00000015732
myotis_lucifugus ENSMLUG00000016837
bos_mutus ENSBMUG00000025269
bos_taurus ENSBTAG00000033470
bison_bison_bison ENSBBBG00000001700
capra_hircus ENSCHIG00000020018
tupaia_belangeri ENSTBEG00000003832
ovis_aries ENSOARG00000004382
oryctolagus_cuniculus ENSOCUG00000008806
echinops_telfairi ENSETEG00000006096
dasypus_novemcinctus ENSDNOG00000002961
choloepus_hoffmanni ENSCHOG00000011174
notamacropus_eugenii ENSMEUG00000015955
monodelphis_domestica ENSMODG00000025742
ornithorhynchus_anatinus ENSOANG00000009362
