periophthalmus_magnuspinnatus ENSPMGG00000016150
hippocampus_comes ENSHCOG00000010978
scophthalmus_maximus ENSSMAG00000003414
gadus_morhua ENSGMOG00000013828
astyanax_mexicanus ENSAMXG00000037424
pygocentrus_nattereri ENSPNAG00000007760
astyanax_mexicanus ENSAMXG00000040101
amphilophus_citrinellus ENSACIG00000012326
oreochromis_niloticus ENSONIG00000015450
poecilia_reticulata ENSPREG00000012020
poecilia_latipinna ENSPLAG00000001516
xiphophorus_maculatus ENSXMAG00000020002
xiphophorus_couchianus ENSXCOG00000003593
acanthochromis_polyacanthus ENSAPOG00000004126
seriola_dumerili ENSSDUG00000012727
tetraodon_nigroviridis ENSTNIG00000002856
seriola_lalandi_dorsalis ENSSLDG00000006246
labrus_bergylta ENSLBEG00000001046
monopterus_albus ENSMALG00000014412
gadus_morhua ENSGMOG00000019598
astyanax_mexicanus ENSAMXG00000025759
pygocentrus_nattereri ENSPNAG00000007915
ictalurus_punctatus ENSIPUG00000012878
danio_rerio ENSDARG00000032705
danio_rerio ENSDARG00000070053
eptatretus_burgeri ENSEBUG00000006313
ciona_intestinalis ENSCING00000013252
ciona_savignyi ENSCSAVG00000011402
drosophila_melanogaster FBgn0004567
caenorhabditis_elegans_strain_n2 WBGene00001434
drosophila_melanogaster FBgn0031086
