melopsittacus_undulatus ENSMUNG00000016275
coturnix_japonica ENSCJPG00005019782
anolis_carolinensis ENSACAG00000017079
salvator_merianae ENSSMRG00000012421
sphenodon_punctatus ENSSPUG00000016593
chelonoidis_abingdonii ENSCABG00000011194
gopherus_agassizii ENSGAGG00000006989
procavia_capensis ENSPCAG00000011689
loxodonta_africana ENSLAFG00000000641
otolemur_garnettii ENSOGAG00000004667
prolemur_simus ENSPSMG00000004213
dipodomys_ordii ENSDORG00000009110
tupaia_belangeri ENSTBEG00000005088
capra_hircus ENSCHIG00000007195
ovis_aries ENSOARG00000016862
bos_taurus ENSBTAG00000000808
bos_mutus ENSBMUG00000014692
bison_bison_bison ENSBBBG00000022762
bison_bison_bison ENSBBBG00000023487
vicugna_pacos ENSVPAG00000010132
felis_catus ENSFCAG00000042564
myotis_lucifugus ENSMLUG00000005129
myotis_lucifugus ENSMLUG00000005132
canis_lupus_familiaris ENSCAFG00000030967
vulpes_vulpes ENSVVUG00000024554
ursus_maritimus ENSUMAG00000008436
ursus_americanus ENSUAMG00000021332
ailuropoda_melanoleuca ENSAMEG00000018818
panthera_tigris_altaica ENSPTIG00000004070
panthera_pardus ENSPPRG00000019209
felis_catus ENSFCAG00000040163
pteropus_vampyrus ENSPVAG00000006711
equus_asinus_asinus ENSEASG00005004282
equus_caballus ENSECAG00000039282
cricetulus_griseus_crigri_1.0 ENSCGRG00000006635
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001009193
cricetulus_griseus_crigri-picr ENSCGRG00015008175
mesocricetus_auratus ENSMAUG00000011751
microtus_ochrogaster ENSMOCG00000009917
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021172
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000023020
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020277
mus_spicilegus ENSMSIG00000006927
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020280
rattus_norvegicus ENSRNOG00000061425
meriones_unguiculatus ENSMUGG00000022306
nannospalax_galili ENSNGAG00000010870
peromyscus_maniculatus_bairdii ENSPEMG00000027539
castor_canadensis ENSCCNG00000001496
marmota_marmota_marmota ENSMMMG00000023249
spermophilus_dauricus ENSSDAG00000014107
ictidomys_tridecemlineatus ENSSTOG00000004975
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000005048
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100017863
homo_sapiens ENSG00000178449
pongo_abelii ENSPPYG00000004508
chlorocebus_sabaeus ENSCSAG00000019254
theropithecus_gelada ENSTGEG00000003028
macaca_mulatta ENSMMUG00000016470
piliocolobus_tephrosceles ENSPTEG00000004974
callithrix_jacchus ENSCJAG00000044831
callithrix_jacchus ENSCJAG00000045480
neovison_vison ENSNVIG00000005810
ursus_americanus ENSUAMG00000022193
erinaceus_europaeus ENSEEUG00000014800
phascolarctos_cinereus ENSPCIG00000034696
phascolarctos_cinereus ENSPCIG00000009709
scophthalmus_maximus ENSSMAG00000010082
cynoglossus_semilaevis ENSCSEG00000019754
mastacembelus_armatus ENSMAMG00000006138
monopterus_albus ENSMALG00000011640
fundulus_heteroclitus ENSFHEG00000012624
kryptolebias_marmoratus ENSKMAG00000014652
oryzias_latipes_asm223471v1 ENSORLG00020013689
oryzias_latipes_asm223467v1 ENSORLG00000022328
oryzias_latipes_asm223469v1 ENSORLG00015008948
oryzias_melastigma ENSOMEG00000013342
amphiprion_percula ENSAPEG00000011178
amphiprion_ocellaris ENSAOCG00000000163
stegastes_partitus ENSSPAG00000021418
maylandia_zebra ENSMZEG00005004196
astatotilapia_calliptera ENSACLG00000021353
haplochromis_burtoni ENSHBUG00000003352
pundamilia_nyererei ENSPNYG00000006800
neolamprologus_brichardi ENSNBRG00000007094
amphilophus_citrinellus ENSACIG00000014133
labrus_bergylta ENSLBEG00000003505
hippocampus_comes ENSHCOG00000001112
paramormyrops_kingsleyae ENSPKIG00000024660
