saimiri_boliviensis_boliviensis ENSSBOG00000028050
cebus_capucinus_imitator ENSCCAG00000025470
callithrix_jacchus ENSCJAG00000016052
aotus_nancymaae ENSANAG00000021944
mandrillus_leucophaeus ENSMLEG00000039645
papio_anubis ENSPANG00000020272
cercocebus_atys ENSCATG00000029587
macaca_fascicularis ENSMFAG00000039200
macaca_nemestrina ENSMNEG00000028974
macaca_mulatta ENSMMUG00000010953
rhinopithecus_bieti ENSRBIG00000030715
rhinopithecus_roxellana ENSRROG00000040830
colobus_angolensis_palliatus ENSCANG00000026813
theropithecus_gelada ENSTGEG00000025872
chlorocebus_sabaeus ENSCSAG00000008384
piliocolobus_tephrosceles ENSPTEG00000023512
pan_paniscus ENSPPAG00000034628
pan_troglodytes ENSPTRG00000007768
gorilla_gorilla ENSGGOG00000000684
homo_sapiens ENSG00000122304
pongo_abelii ENSPPYG00000007102
nomascus_leucogenys ENSNLEG00000029108
propithecus_coquereli ENSPCOG00000015869
microcebus_murinus ENSMICG00000034528
bos_taurus ENSBTAG00000032880
bos_mutus ENSBMUG00000015709
bison_bison_bison ENSBBBG00000022101
capra_hircus ENSCHIG00000013141
sus_scrofa ENSSSCG00000024307
ailuropoda_melanoleuca ENSAMEG00000014757
mesocricetus_auratus ENSMAUG00000018158
microtus_ochrogaster ENSMOCG00000016193
peromyscus_maniculatus_bairdii ENSPEMG00000031329
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020450
mus_spicilegus ENSMSIG00000008430
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021344
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000038015
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0016157
rattus_norvegicus ENSRNOG00000002539
nannospalax_galili ENSNGAG00000019850
echinops_telfairi ENSETEG00000018699
