mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022493
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000029184
mus_spicilegus ENSMSIG00000022849
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021584
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0020578
rattus_norvegicus ENSRNOG00000047298
meriones_unguiculatus ENSMUGG00000022962
cricetulus_griseus_crigri-picr ENSCGRG00015020079
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007577
cricetulus_griseus_crigri_1.0 ENSCGRG00000020036
peromyscus_maniculatus_bairdii ENSPEMG00000003887
nannospalax_galili ENSNGAG00000011183
nannospalax_galili ENSNGAG00000009641
spermophilus_dauricus ENSSDAG00000006387
ictidomys_tridecemlineatus ENSSTOG00000030659
spermophilus_dauricus ENSSDAG00000023774
spermophilus_dauricus ENSSDAG00000016796
ictidomys_tridecemlineatus ENSSTOG00000016472
spermophilus_dauricus ENSSDAG00000006384
marmota_marmota_marmota ENSMMMG00000022579
fukomys_damarensis ENSFDAG00000019352
castor_canadensis ENSCCNG00000028332
oryctolagus_cuniculus ENSOCUG00000017472
pan_troglodytes ENSPTRG00000047098
pan_paniscus ENSPPAG00000026156
homo_sapiens ENSG00000112462
gorilla_gorilla ENSGGOG00000027890
macaca_fascicularis ENSMFAG00000009074
chlorocebus_sabaeus ENSCSAG00000019067
theropithecus_gelada ENSTGEG00000004211
otolemur_garnettii ENSOGAG00000033409
ovis_aries ENSOARG00000008901
capra_hircus ENSCHIG00000015106
bos_mutus ENSBMUG00000002848
bos_taurus ENSBTAG00000039562
sus_scrofa ENSSSCG00000030598
erinaceus_europaeus ENSEEUG00000013922
equus_asinus_asinus ENSEASG00005008623
equus_caballus ENSECAG00000030823
ursus_americanus ENSUAMG00000013561
ursus_maritimus ENSUMAG00000023356
ailuropoda_melanoleuca ENSAMEG00000018900
loxodonta_africana ENSLAFG00000031131
echinops_telfairi ENSETEG00000005993
dasypus_novemcinctus ENSDNOG00000047831
dasypus_novemcinctus ENSDNOG00000040605
equus_caballus ENSECAG00000037257
equus_asinus_asinus ENSEASG00005008605
equus_caballus ENSECAG00000034429
equus_caballus ENSECAG00000030454
equus_asinus_asinus ENSEASG00005008621
equus_caballus ENSECAG00000030182
bos_mutus ENSBMUG00000002865
bos_mutus ENSBMUG00000002883
bos_taurus ENSBTAG00000048441
bison_bison_bison ENSBBBG00000016387
capra_hircus ENSCHIG00000008437
bos_taurus ENSBTAG00000052463
bos_mutus ENSBMUG00000002893
capra_hircus ENSCHIG00000005734
sus_scrofa ENSSSCG00000038796
sus_scrofa ENSSSCG00000040230
sus_scrofa ENSSSCG00000038723
sus_scrofa ENSSSCG00000034892
sus_scrofa ENSSSCG00000040759
ailuropoda_melanoleuca ENSAMEG00000018911
ursus_americanus ENSUAMG00000004255
castor_canadensis ENSCCNG00000028335
loxodonta_africana ENSLAFG00000030210
dasypus_novemcinctus ENSDNOG00000046272
dasypus_novemcinctus ENSDNOG00000003125
dasypus_novemcinctus ENSDNOG00000043202
phascolarctos_cinereus ENSPCIG00000019346
anser_brachyrhynchus ENSABRG00000011883
