astatotilapia_calliptera ENSACLG00000008876
pygocentrus_nattereri ENSPNAG00000019604
notamacropus_eugenii ENSMEUG00000011849
phascolarctos_cinereus ENSPCIG00000033203
sarcophilus_harrisii ENSSHAG00000011765
monodelphis_domestica ENSMODG00000003389
mus_spicilegus ENSMSIG00000014396
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023907
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025194
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022986
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014476
rattus_norvegicus ENSRNOG00000046727
meriones_unguiculatus ENSMUGG00000022427
cricetulus_griseus_crigri_1.0 ENSCGRG00000009703
cricetulus_griseus_crigri-picr ENSCGRG00015023889
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001011487
mesocricetus_auratus ENSMAUG00000017544
peromyscus_maniculatus_bairdii ENSPEMG00000011249
microtus_ochrogaster ENSMOCG00000008644
nannospalax_galili ENSNGAG00000017615
jaculus_jaculus ENSJJAG00000020088
castor_canadensis ENSCCNG00000010951
dipodomys_ordii ENSDORG00000009085
chinchilla_lanigera ENSCLAG00000003041
octodon_degus ENSODEG00000016634
cavia_porcellus ENSCPOG00000010942
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100000655
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014313
fukomys_damarensis ENSFDAG00000012992
spermophilus_dauricus ENSSDAG00000022742
urocitellus_parryii ENSUPAG00010018333
ictidomys_tridecemlineatus ENSSTOG00000009688
marmota_marmota_marmota ENSMMMG00000022832
oryctolagus_cuniculus ENSOCUG00000008164
ochotona_princeps ENSOPRG00000003829
tupaia_belangeri ENSTBEG00000005727
pan_troglodytes ENSPTRG00000049872
pan_paniscus ENSPPAG00000040849
homo_sapiens ENSG00000023839
gorilla_gorilla ENSGGOG00000002275
pongo_abelii ENSPPYG00000002558
nomascus_leucogenys ENSNLEG00000014650
piliocolobus_tephrosceles ENSPTEG00000028698
colobus_angolensis_palliatus ENSCANG00000030504
rhinopithecus_bieti ENSRBIG00000036097
rhinopithecus_roxellana ENSRROG00000042002
cercocebus_atys ENSCATG00000028971
mandrillus_leucophaeus ENSMLEG00000037629
theropithecus_gelada ENSTGEG00000017694
papio_anubis ENSPANG00000021230
macaca_fascicularis ENSMFAG00000042907
macaca_mulatta ENSMMUG00000023764
macaca_nemestrina ENSMNEG00000038501
chlorocebus_sabaeus ENSCSAG00000005698
saimiri_boliviensis_boliviensis ENSSBOG00000034924
cebus_capucinus_imitator ENSCCAG00000037977
callithrix_jacchus ENSCJAG00000017142
aotus_nancymaae ENSANAG00000021520
carlito_syrichta ENSTSYG00000030562
propithecus_coquereli ENSPCOG00000025440
prolemur_simus ENSPSMG00000010528
microcebus_murinus ENSMICG00000006689
otolemur_garnettii ENSOGAG00000001587
bos_mutus ENSBMUG00000018169
bos_taurus ENSBTAG00000008936
bison_bison_bison ENSBBBG00000020631
ovis_aries ENSOARG00000013004
capra_hircus ENSCHIG00000023862
tursiops_truncatus ENSTTRG00000011855
vicugna_pacos ENSVPAG00000005004
sus_scrofa ENSSSCG00000010543
equus_asinus_asinus ENSEASG00005009680
equus_caballus ENSECAG00000019828
ursus_americanus ENSUAMG00000024202
ursus_maritimus ENSUMAG00000022691
ailuropoda_melanoleuca ENSAMEG00000007018
mustela_putorius_furo ENSMPUG00000016985
neovison_vison ENSNVIG00000019248
canis_lupus_familiaris ENSCAFG00000009536
canis_lupus_dingo ENSCAFG00020007504
vulpes_vulpes ENSVVUG00000023522
panthera_pardus ENSPPRG00000010266
panthera_tigris_altaica ENSPTIG00000021926
felis_catus ENSFCAG00000014380
myotis_lucifugus ENSMLUG00000013008
pteropus_vampyrus ENSPVAG00000016129
erinaceus_europaeus ENSEEUG00000015939
choloepus_hoffmanni ENSCHOG00000001696
dasypus_novemcinctus ENSDNOG00000000321
loxodonta_africana ENSLAFG00000014342
procavia_capensis ENSPCAG00000005248
echinops_telfairi ENSETEG00000008502
sorex_araneus ENSSARG00000005554
ornithorhynchus_anatinus ENSOANG00000005819
