aotus_nancymaae ENSANAG00000030488
cebus_capucinus_imitator ENSCCAG00000035627
piliocolobus_tephrosceles ENSPTEG00000028912
colobus_angolensis_palliatus ENSCANG00000038860
macaca_mulatta ENSMMUG00000045013
rhinopithecus_roxellana ENSRROG00000037835
rhinopithecus_bieti ENSRBIG00000043261
macaca_fascicularis ENSMFAG00000046000
macaca_nemestrina ENSMNEG00000042894
cercocebus_atys ENSCATG00000034874
papio_anubis ENSPANG00000030357
theropithecus_gelada ENSTGEG00000017548
mandrillus_leucophaeus ENSMLEG00000034126
pan_paniscus ENSPPAG00000024674
pan_troglodytes ENSPTRG00000043238
gorilla_gorilla ENSGGOG00000039203
saimiri_boliviensis_boliviensis ENSSBOG00000033928
callithrix_jacchus ENSCJAG00000038587
prolemur_simus ENSPSMG00000022202
propithecus_coquereli ENSPCOG00000025971
microcebus_murinus ENSMICG00000036038
spermophilus_dauricus ENSSDAG00000003029
urocitellus_parryii ENSUPAG00010017369
marmota_marmota_marmota ENSMMMG00000011019
ursus_americanus ENSUAMG00000025650
ursus_maritimus ENSUMAG00000019911
bos_mutus ENSBMUG00000025571
bos_taurus ENSBTAG00000051593
capra_hircus ENSCHIG00000023881
sus_scrofa ENSSSCG00000037118
panthera_pardus ENSPPRG00000007974
panthera_tigris_altaica ENSPTIG00000016848
felis_catus ENSFCAG00000032389
phascolarctos_cinereus ENSPCIG00000023748
