prolemur_simus ENSPSMG00000018020
microcebus_murinus ENSMICG00000045415
propithecus_coquereli ENSPCOG00000025817
cebus_capucinus_imitator ENSCCAG00000008444
saimiri_boliviensis_boliviensis ENSSBOG00000019242
callithrix_jacchus ENSCJAG00000040499
aotus_nancymaae ENSANAG00000020100
pan_paniscus ENSPPAG00000003967
pan_troglodytes ENSPTRG00000047397
homo_sapiens ENSG00000235106
gorilla_gorilla ENSGGOG00000037177
nomascus_leucogenys ENSNLEG00000033990
cercocebus_atys ENSCATG00000022029
theropithecus_gelada ENSTGEG00000010426
macaca_fascicularis ENSMFAG00000015537
macaca_nemestrina ENSMNEG00000019590
colobus_angolensis_palliatus ENSCANG00000006464
piliocolobus_tephrosceles ENSPTEG00000029991
rhinopithecus_bieti ENSRBIG00000009048
rhinopithecus_roxellana ENSRROG00000003747
cricetulus_griseus_crigri_1.0 ENSCGRG00000018459
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001006747
panthera_tigris_altaica ENSPTIG00000005287
sphenodon_punctatus ENSSPUG00000017546
