labrus_bergylta ENSLBEG00000002078
takifugu_rubripes ENSTRUG00000023551
neolamprologus_brichardi ENSNBRG00000017989
cynoglossus_semilaevis ENSCSEG00000006750
astatotilapia_calliptera ENSACLG00000001044
maylandia_zebra ENSMZEG00005027832
pundamilia_nyererei ENSPNYG00000022435
haplochromis_burtoni ENSHBUG00000010186
astatotilapia_calliptera ENSACLG00000001163
amphilophus_citrinellus ENSACIG00000007947
cyprinodon_variegatus ENSCVAG00000003460
anabas_testudineus ENSATEG00000009668
mastacembelus_armatus ENSMAMG00000022426
seriola_dumerili ENSSDUG00000023358
seriola_lalandi_dorsalis ENSSLDG00000004862
amphiprion_ocellaris ENSAOCG00000016288
amphiprion_percula ENSAPEG00000008789
acanthochromis_polyacanthus ENSAPOG00000004752
stegastes_partitus ENSSPAG00000011659
mola_mola ENSMMOG00000016815
hippocampus_comes ENSHCOG00000002240
tetraodon_nigroviridis ENSTNIG00000001292
poecilia_latipinna ENSPLAG00000019265
poecilia_reticulata ENSPREG00000001349
periophthalmus_magnuspinnatus ENSPMGG00000002932
gadus_morhua ENSGMOG00000000263
oryctolagus_cuniculus ENSOCUG00000024632
ochotona_princeps ENSOPRG00000005573
urocitellus_parryii ENSUPAG00010004190
ictidomys_tridecemlineatus ENSSTOG00000000818
mus_spicilegus ENSMSIG00000024570
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031712
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000048377
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030600
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013805
rattus_norvegicus ENSRNOG00000018917
meriones_unguiculatus ENSMUGG00000009589
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001007522
cricetulus_griseus_crigri-picr ENSCGRG00015000895
cricetulus_griseus_crigri_1.0 ENSCGRG00000000100
mesocricetus_auratus ENSMAUG00000002075
microtus_ochrogaster ENSMOCG00000021677
