panthera_pardus ENSPPRG00000003446
panthera_tigris_altaica ENSPTIG00000013960
felis_catus ENSFCAG00000035958
mustela_putorius_furo ENSMPUG00000002789
ursus_maritimus ENSUMAG00000010353
ursus_americanus ENSUAMG00000009186
capra_hircus ENSCHIG00000025081
ovis_aries ENSOARG00000014940
bison_bison_bison ENSBBBG00000016262
bos_taurus ENSBTAG00000050920
ailuropoda_melanoleuca ENSAMEG00000014461
vulpes_vulpes ENSVVUG00000011147
canis_lupus_familiaris ENSCAFG00000030027
sus_scrofa ENSSSCG00000038712
tursiops_truncatus ENSTTRG00000007217
equus_asinus_asinus ENSEASG00005008529
equus_caballus ENSECAG00000008356
pan_paniscus ENSPPAG00000034514
pan_troglodytes ENSPTRG00000011398
homo_sapiens ENSG00000161551
gorilla_gorilla ENSGGOG00000008242
pongo_abelii ENSPPYG00000010328
nomascus_leucogenys ENSNLEG00000005968
macaca_fascicularis ENSMFAG00000002696
macaca_mulatta ENSMMUG00000002310
macaca_nemestrina ENSMNEG00000021265
theropithecus_gelada ENSTGEG00000004301
papio_anubis ENSPANG00000030076
cercocebus_atys ENSCATG00000036278
mandrillus_leucophaeus ENSMLEG00000041766
chlorocebus_sabaeus ENSCSAG00000002008
piliocolobus_tephrosceles ENSPTEG00000024507
colobus_angolensis_palliatus ENSCANG00000037572
rhinopithecus_roxellana ENSRROG00000040373
rhinopithecus_bieti ENSRBIG00000030560
cebus_capucinus_imitator ENSCCAG00000017201
saimiri_boliviensis_boliviensis ENSSBOG00000028012
callithrix_jacchus ENSCJAG00000002084
aotus_nancymaae ENSANAG00000034072
saimiri_boliviensis_boliviensis ENSSBOG00000035106
aotus_nancymaae ENSANAG00000022590
carlito_syrichta ENSTSYG00000025710
propithecus_coquereli ENSPCOG00000026609
prolemur_simus ENSPSMG00000026060
castor_canadensis ENSCCNG00000000200
procavia_capensis ENSPCAG00000015385
procavia_capensis ENSPCAG00000002217
procavia_capensis ENSPCAG00000015423
echinops_telfairi ENSETEG00000000958
choloepus_hoffmanni ENSCHOG00000007433
