panthera_pardus ENSPPRG00000003453
panthera_tigris_altaica ENSPTIG00000006562
ailuropoda_melanoleuca ENSAMEG00000000734
sus_scrofa ENSSSCG00000034144
sus_scrofa ENSSSCG00000037367
pan_troglodytes ENSPTRG00000052426
pan_paniscus ENSPPAG00000030435
gorilla_gorilla ENSGGOG00000025047
pan_troglodytes ENSPTRG00000045483
pan_paniscus ENSPPAG00000026684
gorilla_gorilla ENSGGOG00000039423
cercocebus_atys ENSCATG00000040642
mandrillus_leucophaeus ENSMLEG00000023637
macaca_mulatta ENSMMUG00000045007
macaca_nemestrina ENSMNEG00000029378
papio_anubis ENSPANG00000035417
colobus_angolensis_palliatus ENSCANG00000037493
pan_troglodytes ENSPTRG00000045692
pan_paniscus ENSPPAG00000027740
gorilla_gorilla ENSGGOG00000042615
aotus_nancymaae ENSANAG00000029070
dasypus_novemcinctus ENSDNOG00000007446
nothoprocta_perdicaria ENSNPEG00000001690
