gambusia_affinis ENSGAFG00000015719
xiphophorus_maculatus ENSXMAG00000014289
poecilia_formosa ENSPFOG00000002846
poecilia_reticulata ENSPREG00000015429
poecilia_mexicana ENSPMEG00000020171
poecilia_latipinna ENSPLAG00000008854
cyprinodon_variegatus ENSCVAG00000011301
fundulus_heteroclitus ENSFHEG00000017818
kryptolebias_marmoratus ENSKMAG00000001143
oryzias_latipes_asm223467v1 ENSORLG00000014944
oryzias_latipes_asm223469v1 ENSORLG00015012664
oryzias_latipes_asm223471v1 ENSORLG00020015062
oryzias_melastigma ENSOMEG00000019293
hippocampus_comes ENSHCOG00000019061
monopterus_albus ENSMALG00000018953
mastacembelus_armatus ENSMAMG00000009495
anabas_testudineus ENSATEG00000012031
seriola_dumerili ENSSDUG00000003882
seriola_lalandi_dorsalis ENSSLDG00000019905
scophthalmus_maximus ENSSMAG00000012285
mola_mola ENSMMOG00000006831
takifugu_rubripes ENSTRUG00000024872
gasterosteus_aculeatus ENSGACG00000014336
amphiprion_ocellaris ENSAOCG00000014053
amphiprion_percula ENSAPEG00000012125
acanthochromis_polyacanthus ENSAPOG00000004756
stegastes_partitus ENSSPAG00000007342
pundamilia_nyererei ENSPNYG00000016475
haplochromis_burtoni ENSHBUG00000013218
maylandia_zebra ENSMZEG00005010422
astatotilapia_calliptera ENSACLG00000019705
oreochromis_niloticus ENSONIG00000019054
neolamprologus_brichardi ENSNBRG00000024116
amphilophus_citrinellus ENSACIG00000023395
labrus_bergylta ENSLBEG00000015736
cynoglossus_semilaevis ENSCSEG00000001366
periophthalmus_magnuspinnatus ENSPMGG00000000896
gadus_morhua ENSGMOG00000011658
esox_lucius ENSELUG00000005086
astyanax_mexicanus ENSAMXG00000018578
pygocentrus_nattereri ENSPNAG00000026617
ictalurus_punctatus ENSIPUG00000022091
danio_rerio ENSDARG00000089828
paramormyrops_kingsleyae ENSPKIG00000002972
scleropages_formosus ENSSFOG00015009366
lepisosteus_oculatus ENSLOCG00000008269
notamacropus_eugenii ENSMEUG00000006503
notamacropus_eugenii ENSMEUG00000006491
phascolarctos_cinereus ENSPCIG00000025838
sarcophilus_harrisii ENSSHAG00000011667
monodelphis_domestica ENSMODG00000007814
chinchilla_lanigera ENSCLAG00000002628
octodon_degus ENSODEG00000017572
cavia_porcellus ENSCPOG00000006675
cavia_aperea ENSCAPG00000016474
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000014252
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100012879
spermophilus_dauricus ENSSDAG00000001645
ictidomys_tridecemlineatus ENSSTOG00000033040
urocitellus_parryii ENSUPAG00010004823
marmota_marmota_marmota ENSMMMG00000008155
castor_canadensis ENSCCNG00000015547
dipodomys_ordii ENSDORG00000028211
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031681
mus_spicilegus ENSMSIG00000023267
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000040177
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030567
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0013774
rattus_norvegicus ENSRNOG00000020597
meriones_unguiculatus ENSMUGG00000025884
peromyscus_maniculatus_bairdii ENSPEMG00000020879
microtus_ochrogaster ENSMOCG00000017003
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001022004
cricetulus_griseus_crigri_1.0 ENSCGRG00000001982
cricetulus_griseus_crigri-picr ENSCGRG00015002255
mesocricetus_auratus ENSMAUG00000006383
nannospalax_galili ENSNGAG00000020488
jaculus_jaculus ENSJJAG00000022848
tupaia_belangeri ENSTBEG00000001372
tupaia_belangeri ENSTBEG00000000281
rhinopithecus_roxellana ENSRROG00000026348
rhinopithecus_bieti ENSRBIG00000032338
piliocolobus_tephrosceles ENSPTEG00000031816
colobus_angolensis_palliatus ENSCANG00000037394
macaca_fascicularis ENSMFAG00000033899
macaca_mulatta ENSMMUG00000008564
macaca_nemestrina ENSMNEG00000033455
chlorocebus_sabaeus ENSCSAG00000004568
mandrillus_leucophaeus ENSMLEG00000035517
cercocebus_atys ENSCATG00000038112
papio_anubis ENSPANG00000020468
theropithecus_gelada ENSTGEG00000028549
pan_troglodytes ENSPTRG00000003017
pan_paniscus ENSPPAG00000040286
gorilla_gorilla ENSGGOG00000007191
homo_sapiens ENSG00000119965
pongo_abelii ENSPPYG00000002725
nomascus_leucogenys ENSNLEG00000017047
cebus_capucinus_imitator ENSCCAG00000029118
saimiri_boliviensis_boliviensis ENSSBOG00000030071
callithrix_jacchus ENSCJAG00000001125
aotus_nancymaae ENSANAG00000020459
pan_troglodytes ENSPTRG00000048474
pan_paniscus ENSPPAG00000026413
gorilla_gorilla ENSGGOG00000006191
nomascus_leucogenys ENSNLEG00000017042
piliocolobus_tephrosceles ENSPTEG00000031840
rhinopithecus_bieti ENSRBIG00000041773
aotus_nancymaae ENSANAG00000018257
carlito_syrichta ENSTSYG00000010949
propithecus_coquereli ENSPCOG00000027710
propithecus_coquereli ENSPCOG00000018262
prolemur_simus ENSPSMG00000016359
microcebus_murinus ENSMICG00000015190
prolemur_simus ENSPSMG00000016356
microcebus_murinus ENSMICG00000035025
ursus_maritimus ENSUMAG00000005180
ursus_maritimus ENSUMAG00000005171
ursus_americanus ENSUAMG00000019270
ailuropoda_melanoleuca ENSAMEG00000004685
mustela_putorius_furo ENSMPUG00000002809
mustela_putorius_furo ENSMPUG00000002801
neovison_vison ENSNVIG00000007783
