mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029903
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000030122
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028861
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0022621
rattus_norvegicus ENSRNOG00000060098
meriones_unguiculatus ENSMUGG00000012646
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001001584
cricetulus_griseus_crigri_1.0 ENSCGRG00000018140
mesocricetus_auratus ENSMAUG00000014936
peromyscus_maniculatus_bairdii ENSPEMG00000016593
microtus_ochrogaster ENSMOCG00000011411
ovis_aries ENSOARG00000020353
