manacus_vitellinus ENSMVIG00005004284
lepidothrix_coronata ENSLCOG00000008220
lonchura_striata_domestica ENSLSDG00000004743
serinus_canaria ENSSCAG00000015222
zonotrichia_albicollis ENSZALG00000009971
junco_hyemalis ENSJHYG00000010615
ficedula_albicollis ENSFALG00000010580
cyanistes_caeruleus ENSCCEG00000021455
parus_major ENSPMJG00000007636
melopsittacus_undulatus ENSMUNG00000007129
calidris_pugnax ENSCPUG00000008415
calidris_pygmaea ENSCPGG00000009089
coturnix_japonica ENSCJPG00005003003
meleagris_gallopavo ENSMGAG00000005451
gallus_gallus ENSGALG00000005195
numida_meleagris ENSNMEG00000015993
anas_platyrhynchos_platyrhynchos ENSAPLG00000011733
anser_brachyrhynchus ENSABRG00000002290
apteryx_rowi ENSARWG00000009630
apteryx_owenii ENSAOWG00000000417
apteryx_haastii ENSAHAG00000000916
dromaius_novaehollandiae ENSDNVG00000014577
nothoprocta_perdicaria ENSNPEG00000009693
crocodylus_porosus ENSCPRG00005005417
gopherus_agassizii ENSGAGG00000012290
chelonoidis_abingdonii ENSCABG00000004242
chrysemys_picta_bellii ENSCPBG00000027086
pelodiscus_sinensis ENSPSIG00000003694
anolis_carolinensis ENSACAG00000004657
notechis_scutatus ENSNSUG00000014095
salvator_merianae ENSSMRG00000012628
sphenodon_punctatus ENSSPUG00000014462
phascolarctos_cinereus ENSPCIG00000013390
notamacropus_eugenii ENSMEUG00000015218
sarcophilus_harrisii ENSSHAG00000014512
monodelphis_domestica ENSMODG00000016709
castor_canadensis ENSCCNG00000015341
dipodomys_ordii ENSDORG00000016585
peromyscus_maniculatus_bairdii ENSPEMG00000019925
microtus_ochrogaster ENSMOCG00000021030
cricetulus_griseus_crigri-picr ENSCGRG00015015575
cricetulus_griseus_crigri_1.0 ENSCGRG00000011589
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001005341
mesocricetus_auratus ENSMAUG00000014762
mus_spicilegus ENSMSIG00000016398
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024775
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025698
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000039050
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0026219
rattus_norvegicus ENSRNOG00000057756
meriones_unguiculatus ENSMUGG00000015912
nannospalax_galili ENSNGAG00000000345
jaculus_jaculus ENSJJAG00000011104
cavia_aperea ENSCAPG00000015202
cavia_porcellus ENSCPOG00000006907
octodon_degus ENSODEG00000003927
chinchilla_lanigera ENSCLAG00000005408
heterocephalus_glaber_hetgla_1.0 ENSHGLG00100014860
heterocephalus_glaber_hetgla_female_1.0 ENSHGLG00000015027
fukomys_damarensis ENSFDAG00000006783
ictidomys_tridecemlineatus ENSSTOG00000011355
urocitellus_parryii ENSUPAG00010008572
spermophilus_dauricus ENSSDAG00000005664
marmota_marmota_marmota ENSMMMG00000004561
oryctolagus_cuniculus ENSOCUG00000005656
ochotona_princeps ENSOPRG00000015398
pan_troglodytes ENSPTRG00000013703
pan_paniscus ENSPPAG00000013340
gorilla_gorilla ENSGGOG00000008445
homo_sapiens ENSG00000130703
pongo_abelii ENSPPYG00000011201
